date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-12-22,"The Thunderdome, Santa Barbara, California",Merrimack,UCSB,Home,55.6,10,2.6,1,103.0,69.2,18,0.404,52,0.346,18,0.212,11,0.727,8,6,200,75.8,23.3,7,17,50,12.1,8,0.481,25,0.24,6,44.6,25,0.437,20.9,15,27,0.444,12,0.5,6
2019-12-29,"Hammel Court, North Andover, Massachusetts",Boston University,Merrimack,Away,44.0,11,0.0,0,113.1,73.1,19,0.537,54,0.463,25,0.204,11,0.818,9,7,200,109.8,18.5,5,16,67,11.5,7,0.296,16,0.5,8,45.3,24,0.566,10.6,7,38,0.447,17,0.462,6
2020-01-02,"William H. Pitt Center, Fairfield, Connecticut",Merrimack,Sacred Heart,Away,56.0,14,2.6,1,89.1,54.5,18,0.474,58,0.431,25,0.276,16,0.625,10,7,200,101.6,24.2,8,20,65,20.3,13,0.362,21,0.238,5,39.4,26,0.495,9.7,7,37,0.541,20,0.5,7
2020-01-04,"Hammel Court, North Andover, Massachusetts",Robert Morris,Merrimack,Away,59.1,13,7.3,3,101.5,74.2,23,0.51,48,0.458,22,0.292,14,0.643,9,8,200,85.3,18.5,5,16,58,10.3,7,0.333,16,0.313,5,48.3,28,0.531,26.0,19,32,0.531,17,0.467,7
2020-01-09,"Hammel Court, North Andover, Massachusetts",Mount St. Mary's,Merrimack,Home,42.3,11,11.4,5,95.3,50.0,16,0.528,54,0.481,26,0.185,10,0.7,7,8,200,100.0,19.2,5,19,64,18.8,12,0.296,16,0.313,5,36.2,21,0.545,15.9,11,38,0.553,21,0.5,8
2020-01-11,"Detrick Gymnasium, New Britain, Connecticut",Merrimack,Central Connecticut,Away,64.7,11,7.7,2,76.7,57.7,15,0.438,48,0.354,17,0.521,25,0.64,16,8,200,96.7,32.3,10,18,58,30.0,18,0.479,23,0.348,8,43.9,25,0.484,14.5,10,25,0.36,9,0.529,9
2020-01-15,"Hammel Court, North Andover, Massachusetts",Bryant,Merrimack,Home,42.3,11,10.7,3,101.5,83.3,20,0.527,56,0.464,26,0.339,19,0.632,12,8,200,107.6,20.7,6,13,71,13.6,9,0.411,23,0.304,7,49.1,26,0.546,8.5,6,33,0.576,19,0.556,10
2020-01-18,"UPMC Events Center, Moon, Pennsylvania",Merrimack,Robert Morris,Away,38.9,7,6.5,2,81.7,82.1,23,0.5,40,0.45,18,0.45,18,0.722,13,8,200,88.3,12.0,3,17,53,11.7,7,0.375,15,0.267,4,49.1,26,0.546,21.3,13,25,0.56,14,0.579,11
2020-01-20,"DeGol Arena, Loretto, Pennsylvania",Merrimack,Saint Francis (PA),Away,65.4,17,8.1,3,83.3,78.3,18,0.663,46,0.565,26,0.261,12,0.917,11,8,200,109.1,20.0,4,14,72,22.7,15,0.413,19,0.474,9,51.2,22,0.696,23.8,16,27,0.63,17,0.6,12
2020-01-23,"Hammel Court, North Andover, Massachusetts",Fairleigh Dickinson,Merrimack,Home,66.7,16,4.2,2,93.4,72.2,26,0.453,64,0.375,24,0.375,24,0.667,16,8,250,97.4,30.0,12,15,74,10.5,8,0.391,25,0.4,10,50.0,38,0.491,13.9,12,39,0.359,14,0.619,13
2020-01-30,"Hammel Court, North Andover, Massachusetts",St. Francis (NY),Merrimack,Home,47.6,10,3.1,1,70.4,81.1,30,0.462,52,0.404,21,0.308,16,0.813,13,8,200,85.9,25.8,8,16,61,15.5,11,0.365,19,0.316,6,55.9,38,0.512,22.4,17,33,0.455,15,0.636,14
2020-02-01,"Hammel Court, North Andover, Massachusetts",LIU,Merrimack,Home,56.0,14,23.5,8,92.2,66.7,16,0.602,49,0.51,25,0.429,21,0.524,11,8,200,109.4,25.0,7,17,70,14.1,9,0.449,22,0.409,9,44.2,23,0.593,14.7,10,27,0.593,16,0.652,15
2020-02-06,"Rothman Center, Teaneck, New Jersey",Merrimack,Fairleigh Dickinson,Away,81.0,17,16.7,4,82.8,85.7,24,0.5,51,0.412,21,0.176,9,0.667,6,8,200,89.1,20.7,6,17,57,9.4,6,0.49,25,0.36,9,52.6,30,0.516,21.4,15,26,0.462,12,0.667,16
2020-02-08,"Steinberg Wellness Center, Brooklyn, New York",Merrimack,LIU,Home,46.2,12,8.6,3,94.4,59.4,19,0.455,66,0.394,26,0.121,8,0.5,4,9,225,90.1,21.1,8,22,64,14.1,10,0.273,18,0.444,8,38.6,27,0.458,12.6,10,48,0.375,18,0.64,16
2020-02-13,"Pope Physical Education Center, Brooklyn Heights, New York",Merrimack,St. Francis (NY),Away,54.5,12,2.3,1,75.8,74.3,26,0.531,48,0.458,22,0.313,15,0.6,9,9,200,90.9,18.5,5,11,60,12.1,8,0.396,19,0.368,7,50.0,31,0.544,21.6,15,29,0.517,15,0.654,17
2020-02-15,"Hammel Court, North Andover, Massachusetts",Wagner,Merrimack,Home,91.7,22,11.8,4,105.4,65.2,15,0.646,48,0.5,24,0.229,11,0.545,6,9,200,121.4,16.0,4,11,68,8.9,5,0.5,24,0.583,14,39.6,19,0.639,10.2,6,24,0.417,10,0.667,18
2020-02-18,"Chace Athletic Center , Smithfield, Rhode Island",Merrimack,Bryant,Home,65.0,13,7.7,2,96.8,55.0,11,0.41,61,0.328,20,0.066,4,0.5,2,10,200,82.5,22.0,9,20,52,17.5,11,0.492,30,0.333,10,32.8,20,0.413,13.7,10,31,0.323,10,0.643,18
2020-02-21,"Hammel Court, North Andover, Massachusetts",Sacred Heart,Merrimack,Home,72.7,16,17.9,5,83.8,60.0,21,0.538,52,0.423,22,0.231,12,0.667,8,10,200,94.1,10.0,3,20,64,19.1,13,0.5,26,0.462,12,36.9,24,0.555,17.3,12,26,0.385,10,0.655,19
2020-02-23,"Knott Arena, Emmitsburg, Maryland",Merrimack,Mount St. Mary's,Home,63.2,12,10.0,4,103.2,63.6,21,0.469,49,0.388,19,0.245,12,0.917,11,11,200,90.5,3.6,1,23,57,9.5,6,0.449,22,0.364,8,36.1,22,0.521,15.6,10,27,0.407,11,0.633,19
2020-02-27,"Hammel Court, North Andover, Massachusetts",Central Connecticut,Merrimack,Home,45.8,11,15.8,6,87.9,55.9,19,0.491,58,0.414,24,0.345,20,0.6,12,11,200,104.5,21.6,8,25,69,13.6,9,0.483,28,0.321,9,38.0,27,0.511,7.0,5,30,0.5,15,0.645,20
