date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2010-01-06,"William J. Nicks Building, Prairie View, Texas",ALCORN-STATE,PRAIRIE-VIEW,Home,67.9,19,9.4,3,81.1,66.7,24,0.54,62,0.452,28,0.516,32,0.469,15,6,200.0,110.8,45.0,18,20,82,12.2,9,0.419,26.0,0.423,11.0,55.3,42,0.531,15.5,14,36.0,0.472,17.0,0.538,7,57.220000000000006,57.220000000000006,59.01728395061729,12.8,12.8,13.469135802469138,8.0,8.0,7.867901234567903,2.2,2.2,2.135802469135803,111.42,111.42,112.64691358024695,61.879999999999995,61.879999999999995,62.13703703703705,20.6,20.6,19.876543209876544,0.43760000000000004,0.43760000000000004,0.43870370370370376,61.0,61.0,62.17283950617285,0.36920000000000003,0.36920000000000003,0.37003703703703705,22.6,22.6,23.12345679012346,0.25,0.25,0.2665925925925926,15.2,15.2,16.567901234567902,0.4928,0.4928,0.5045061728395063,7.6,7.6,8.555555555555557,3.2,3.2,3.728395061728395,200.0,200.0,200.0,83.6,83.6,85.63209876543212,26.119999999999997,26.119999999999997,27.38271604938272,9.2,9.2,9.950617283950619,20.8,20.8,20.654320987654323,61.2,61.2,63.38271604938272,10.7,10.7,9.94320987654321,7.8,7.8,7.320987654320989,0.41319999999999996,0.41319999999999996,0.4018765432098766,25.0,25.0,24.71604938271605,0.3364,0.3364,0.34865432098765436,8.4,8.4,8.580246913580247,41.92,41.92,42.095061728395066,29.8,29.8,29.82716049382717,0.4468,0.4468,0.45000000000000007,17.7,17.7,17.355555555555558,14.0,14.0,14.135802469135804,36.0,36.0,37.4567901234568,0.3956,0.3956,0.38835802469135816,14.2,14.2,14.543209876543212,0.4768,0.4768,0.4692222222222223,2.8,2.8,3.1728395061728394
2010-02-01,"ASU Acadome, Montgomery, Alabama",PRAIRIE-VIEW,ALABAMA-STATE,Away,38.9,7,10.7,3,87.3,56.7,20,0.387,53,0.34,18,0.321,17,0.882,15,9,200.0,88.9,40.7,8,14,56,11.1,7,0.302,16.0,0.313,5.0,49.1,28,0.458,17.7,13,37.0,0.351,13.0,0.55,11,58.620000000000005,59.0,61.97818930041153,13.8,13.833333333333334,15.312757201646093,8.58,8.233333333333333,8.37860082304527,2.4,2.3333333333333335,2.423868312757202,108.47999999999999,106.36666666666667,102.13127572016464,64.64000000000001,62.68333333333334,63.65802469135804,21.6,21.166666666666668,21.251028806584365,0.45200000000000007,0.4546666666666667,0.4724691358024692,61.0,61.166666666666664,62.11522633744857,0.3854,0.383,0.39735802469135806,23.6,23.5,24.748971193415642,0.321,0.29433333333333334,0.34972839506172837,19.6,18.0,21.711934156378604,0.5065999999999999,0.4888333333333333,0.49267078189300423,9.8,8.833333333333334,10.703703703703706,4.2,3.6666666666666665,4.48559670781893,200.0,200.0,200.0,88.53999999999999,88.13333333333333,94.02139917695476,30.26,29.266666666666666,33.25514403292182,11.2,10.666666666666666,12.63374485596708,20.8,20.666666666666668,20.43621399176955,65.2,64.66666666666667,69.58847736625515,11.2,10.950000000000001,10.695473251028808,8.2,8.0,7.880658436213993,0.4034,0.4141666666666666,0.4075843621399178,24.4,25.166666666666668,25.144032921810705,0.3382,0.35083333333333333,0.3734362139917696,8.2,8.833333333333334,9.386831275720166,45.38,44.15,46.49670781893005,32.8,31.833333333333332,33.88477366255145,0.46020000000000005,0.4608333333333334,0.4770000000000001,17.32,17.333333333333332,16.73703703703704,14.0,14.0,14.09053497942387,36.6,36.0,36.97119341563787,0.4234,0.4083333333333334,0.4162386831275721,15.4,14.666666666666666,15.362139917695476,0.48440000000000005,0.48700000000000004,0.4921481481481483,4.0,3.5,4.4485596707818935
2010-02-20,"K.L. Johnson HPER Complex, Pine Bluff, Arkansas",PRAIRIE-VIEW,ARKANSAS-PINE-BLUFF,Home,77.8,14,11.4,4,85.1,57.5,24,0.382,55,0.327,18,0.364,20,0.65,13,11,225.0,82.1,15.8,5,16,55,13.4,9,0.273,15.0,0.4,6.0,37.2,29,0.426,13.6,10,40.0,0.3,12.0,0.542,13,58.220000000000006,56.128571428571426,54.28545953360769,13.4,12.857142857142858,12.54183813443073,8.959999999999999,8.585714285714285,9.152400548696846,2.4,2.4285714285714284,2.6159122085048017,103.4,103.64285714285714,97.18751714677643,63.3,61.82857142857143,61.338683127572025,20.4,21.0,20.834019204389577,0.44000000000000006,0.445,0.44397942386831285,60.2,60.0,59.07681755829905,0.3762,0.37685714285714284,0.3782386831275721,22.8,22.714285714285715,22.499314128943762,0.3326,0.29814285714285715,0.3401522633744856,20.0,17.857142857142858,20.141289437585737,0.5896,0.545,0.6224471879286695,11.4,9.714285714285714,12.135802469135804,5.6,4.428571428571429,5.99039780521262,200.0,200.0,200.0,89.97999999999999,88.24285714285715,92.31426611796985,35.239999999999995,30.900000000000002,35.73676268861455,11.6,10.285714285714286,11.089163237311388,19.4,19.714285714285715,18.290809327846368,64.8,63.42857142857143,65.05898491083677,11.16,10.971428571428572,10.830315500685872,8.0,7.857142857142857,7.587105624142662,0.376,0.39814285714285713,0.37238957475994516,22.6,23.857142857142858,22.096021947873805,0.3448,0.3454285714285715,0.35329080932784646,7.8,8.285714285714286,7.924554183813445,47.1,44.857142857142854,47.364471879286704,32.0,31.285714285714285,31.92318244170097,0.4614000000000001,0.46042857142857146,0.4706666666666668,17.919999999999998,17.385714285714283,17.05802469135803,14.8,13.857142857142858,13.727023319615913,37.6,36.142857142857146,36.98079561042525,0.3998,0.4001428571428572,0.39449245541838146,15.0,14.428571428571429,14.574759945130317,0.4944,0.496,0.5114320987654322,5.8,4.571428571428571,6.632373113854596
2010-03-01,"William J. Nicks Building, Prairie View, Texas",ALABAMA-STATE,PRAIRIE-VIEW,Away,53.3,8,15.6,5,83.9,63.2,25,0.378,45,0.333,15,0.444,20,0.45,9,12,200.0,69.4,21.4,5,19,43,9.7,6,0.444,20.0,0.2,4.0,45.5,30,0.394,20.6,14,25.0,0.44,11.0,0.556,15,62.48,58.8375,62.123639689071794,13.6,13.0,13.027892089620487,8.52,8.9375,9.901600365797897,2.6,2.625,3.0772748056698678,96.75999999999999,101.325,93.15834476451762,63.14000000000001,61.2875,60.05912208504802,21.6,21.375,21.889346136259718,0.42940000000000006,0.437125,0.42331961591220857,58.8,59.375,57.717878372199365,0.36740000000000006,0.370625,0.3611591220850481,21.8,22.125,20.999542752629175,0.3764,0.306375,0.34810150891632374,22.2,18.125,20.094192958390494,0.6083999999999999,0.558125,0.631631458619113,13.0,10.125,12.423868312757204,7.2,5.25,7.66026520347508,205.0,203.125,208.33333333333334,89.78,87.475,88.90951074531324,31.740000000000002,29.0125,29.09117512574303,10.8,9.625,9.059442158207592,18.0,19.25,17.527206218564245,64.0,62.375,61.705989940557856,11.02,11.275,11.68687700045725,7.8,8.0,8.05807041609511,0.3564,0.3825,0.3392597165066301,21.0,22.75,19.73068129858254,0.35519999999999996,0.35225,0.3688605395518977,7.4,8.0,7.283036122542297,45.96,43.9,43.97631458619114,32.4,31.0,30.948788294467313,0.45760000000000006,0.456125,0.45577777777777784,16.740000000000002,16.912499999999998,15.905349794238687,13.6,13.375,12.484682213077278,37.8,36.625,37.987197073616834,0.3828,0.387625,0.36299497027892097,14.4,14.125,13.71650663008688,0.5028,0.50175,0.5216213991769548,7.8,5.625,8.754915409236398
2010-03-04,"F. G. Clark Activity Center, Baton Rouge, Louisiana",PRAIRIE-VIEW,SOUTHERN,Away,66.7,18,7.3,3,95.8,75.9,25,0.413,69,0.391,27,0.42,29,0.621,18,12,200.0,104.2,48.9,19,11,75,16.7,12,0.232,16.0,0.188,3.0,59.5,44,0.453,10.9,10,53.0,0.453,24.0,0.571,16,58.7,58.22222222222222,59.1824264593812,12.6,12.444444444444445,11.351928059746992,11.64,9.677777777777777,11.801066910531931,3.6,2.888888888888889,3.718183203779912,92.48,99.38888888888889,90.07222984301175,61.120000000000005,61.5,61.10608139003202,22.2,21.77777777777778,22.92623075750648,0.43,0.4305555555555556,0.40821307727480577,56.6,57.77777777777778,53.47858558146625,0.3698,0.36644444444444446,0.3517727480566987,21.2,21.333333333333332,18.99969516841945,0.3938,0.32166666666666666,0.3800676726108825,22.2,18.333333333333332,20.062795305593664,0.6083999999999999,0.5461111111111111,0.5710876390794087,13.0,10.0,11.28257887517147,8.8,6.0,9.106843468983389,205.0,202.77777777777777,205.55555555555557,90.24,85.46666666666667,82.4063404968755,30.659999999999997,28.166666666666668,26.52745008382869,9.6,9.11111111111111,7.706294772138396,18.0,19.22222222222222,18.01813747904283,62.4,60.22222222222222,55.470659960371904,10.6,11.100000000000001,11.0245846669715,7.2,7.777777777777778,7.372046944063407,0.3524,0.3893333333333333,0.3741731443377534,19.8,22.444444444444443,19.82045419905503,0.34900000000000003,0.3353333333333333,0.3125736930345985,7.0,7.555555555555555,6.188690748361532,45.760000000000005,44.077777777777776,44.484209724127425,31.8,30.88888888888889,30.632525529644877,0.4586,0.44922222222222224,0.43518518518518523,15.960000000000003,17.322222222222223,17.47023319615913,12.4,13.444444444444445,12.98978814205152,36.8,35.333333333333336,33.65813138241123,0.3908,0.39344444444444443,0.3886633135192807,14.2,13.777777777777779,12.81100442005792,0.5282000000000001,0.5077777777777778,0.5330809327846366,10.2,6.666666666666667,10.836610272824267
2010-03-06,"Davey L. Whitney Complex, Alcorn State, Mississippi",PRAIRIE-VIEW,ALCORN-STATE,Home,78.9,15,0.0,0,100.0,69.2,19,0.477,44,0.432,19,0.659,29,0.862,25,13,200.0,97.1,30.0,5,15,67,10.1,7,0.364,16.0,0.25,4.0,52.2,24,0.58,24.1,16,28.0,0.536,15.0,0.552,16,60.92,59.07000000000001,61.68828430625414,13.2,13.0,13.56795203983133,10.879999999999999,9.440000000000001,10.300711273687956,3.6,2.9,3.4787888025199414,86.63999999999999,99.03,91.98148656200783,64.0,62.94,66.03738759335468,23.6,22.1,23.617487171670987,0.42000000000000004,0.4288,0.40980871818320386,56.8,58.9,58.65239038764417,0.3686,0.3689,0.36484849870446584,21.2,21.9,21.66646344561297,0.413,0.3315,0.393378448407255,23.6,19.4,23.041863537062444,0.6144000000000001,0.5536,0.5877250927196058,14.0,10.8,13.521719250114314,10.0,6.6,10.07122897932226,205.0,202.5,203.70370370370372,91.08,87.34,89.67089366458367,34.36,30.24,33.98496672255246,11.0,10.1,11.470863181425598,16.0,18.4,15.678758319361888,62.2,61.7,61.98043997358128,12.62,11.66,12.916389777981,8.6,8.2,8.914697962708939,0.33399999999999996,0.37360000000000004,0.32678209622516896,18.6,21.8,18.546969466036686,0.3048,0.3206,0.27104912868973235,5.8,7.1,5.125793832241022,49.32000000000001,45.62,49.48947314941829,34.6,32.2,35.08835035309659,0.4524,0.44960000000000006,0.44112345679012355,15.66,16.68,15.280155464106086,12.2,13.1,11.993192094701016,38.2,37.1,40.10542092160749,0.4032,0.3994,0.4101088756795205,15.4,14.8,16.540669613371946,0.5514,0.5141,0.5457206218564244,12.4,7.6,12.557740181882846
2010-11-12,"Bradley Center, Milwaukee, Wisconsin",PRAIRIE-VIEW,MARQUETTE,Home,57.1,12,6.0,3,121.3,46.4,13,0.432,59,0.356,21,0.186,11,0.636,7,1,200.0,72.5,8.8,3,27,58,13.8,11,0.424,25.0,0.36,9.0,25.8,16,0.452,23.9,20,34.0,0.353,12.0,0.0,0,63.120000000000005,60.872727272727275,67.4255228708361,12.4,13.181818181818182,14.045301359887555,9.0,8.581818181818182,6.867140849125304,3.0,2.6363636363636362,2.3191925350132947,90.42,99.11818181818181,94.65432437467189,64.5,63.50909090909091,67.09159172890313,22.6,21.818181818181817,22.07832478111399,0.4074,0.43318181818181817,0.43220581212213594,53.2,57.54545454545455,53.76826025842945,0.3646,0.37463636363636366,0.38723233246964395,19.4,21.636363636363637,20.777642297075314,0.44160000000000005,0.3612727272727273,0.4819189656048367,23.0,20.272727272727273,25.027909024708297,0.6930000000000001,0.5816363636363636,0.6791500618130706,16.0,12.090909090909092,17.34781283340954,11.4,7.181818181818182,11.047485986214841,205.0,202.27272727272728,202.46913580246917,88.34,88.22727272727273,92.14726244305578,31.360000000000003,30.218181818181815,32.65664448170164,8.4,9.636363636363637,9.313908787617066,15.0,18.09090909090909,15.45250554624126,59.2,62.18181818181818,63.65362664905419,12.2,11.518181818181818,11.977593185320668,8.2,8.090909090909092,8.276465308472627,0.323,0.3727272727272727,0.33918806415011266,16.6,21.272727272727273,17.697979644024457,0.2702,0.3141818181818182,0.2640327524598216,4.4,6.818181818181818,4.7505292214940145,48.7,46.21818181818182,50.3929820996122,31.0,31.454545454545453,31.39223356873106,0.4622,0.4614545454545455,0.48741563786008235,17.380000000000003,17.354545454545455,18.220103642737392,12.6,13.363636363636363,13.328794729800677,36.6,36.27272727272727,36.07028061440499,0.41600000000000004,0.41181818181818186,0.45207258378634707,15.0,14.818181818181818,16.027113075581298,0.5542,0.5175454545454546,0.547813747904283,14.2,8.363636363636363,13.705160121255233
2010-11-14,"Kohl Center, Madison, Wisconsin",PRAIRIE-VIEW,WISCONSIN,Home,42.9,9,2.7,1,147.8,34.3,12,0.49,50,0.42,21,0.16,8,0.75,6,2,200.0,82.1,12.0,3,22,55,7.5,5,0.36,18.0,0.389,7.0,25.0,15,0.511,21.9,15,32.0,0.438,14.0,0.0,0,66.76,60.55833333333334,63.98368191389074,13.4,13.083333333333334,13.363534239925038,8.059999999999999,8.366666666666667,6.57809389941687,3.0,2.6666666666666665,2.54612835667553,97.22,100.96666666666665,103.53621624978126,62.44000000000001,62.083333333333336,60.19439448593542,21.2,21.083333333333332,19.05221652074266,0.4164,0.4330833333333333,0.432137208081424,54.4,57.666666666666664,55.512173505619636,0.3678,0.3730833333333334,0.37682155497976266,20.0,21.583333333333332,20.851761531383545,0.41459999999999997,0.3466666666666667,0.3832793104032245,21.8,19.5,20.351939349805534,0.6438,0.5861666666666666,0.6647667078753804,14.4,11.666666666666666,13.898541888939697,9.8,6.666666666666667,7.698323990809895,205.0,202.08333333333334,201.64609053497946,85.06,86.91666666666667,85.59817496203719,24.979999999999997,28.433333333333334,24.704429654467763,7.4,9.083333333333334,7.2092725250780445,17.6,18.833333333333332,19.30167036416084,59.6,61.833333333333336,61.7690844327028,12.74,11.708333333333334,12.585062123547113,9.0,8.333333333333334,9.18431020564842,0.34740000000000004,0.377,0.3674587094334084,18.4,21.583333333333332,20.131986429349638,0.2796,0.318,0.29602183497321444,5.2,7.0,6.16701948099601,44.040000000000006,44.51666666666667,42.195321399741474,28.6,30.166666666666668,26.26148904582071,0.461,0.4606666666666667,0.4756104252400549,18.62,17.900000000000002,20.113402428491597,14.0,13.916666666666666,15.552529819867118,36.0,36.083333333333336,35.38018707627,0.4164,0.40691666666666665,0.41904838919089804,14.8,14.583333333333334,14.684742050387532,0.44420000000000004,0.4744166666666667,0.3652091652695221,12.0,7.666666666666667,9.136773414170156
2010-11-18,"Tom Gola Arena, Philadelphia, Pennsylvania",PRAIRIE-VIEW,LA-SALLE,Home,32.0,8,16.0,8,114.3,48.6,18,0.37,73,0.342,25,0.466,34,0.588,20,3,200.0,96.1,39.6,19,24,74,5.2,4,0.247,18.0,0.222,4.0,43.5,37,0.415,8.3,8,55.0,0.382,21.0,0.25,1,59.779999999999994,59.2,56.95578794259383,12.4,12.76923076923077,11.909022826616694,6.32,7.93076923076923,5.2853959329445805,2.4,2.5384615384615383,2.030752237783687,109.75999999999999,104.56923076923077,118.29081083318752,57.8,59.94615384615384,51.56292965729028,18.8,20.384615384615383,16.70147768049511,0.438,0.43746153846153846,0.45142480538761603,53.4,57.07692307692308,53.67478233707976,0.38639999999999997,0.3766923076923077,0.3912143699865085,20.6,21.53846153846154,20.901174354255698,0.3738,0.3323076923076923,0.3088528736021497,19.4,18.615384615384617,16.23462623320369,0.6638,0.5987692307692307,0.6931778052502536,13.0,11.23076923076923,11.265694592626465,8.0,6.3076923076923075,5.798882660539931,200.0,201.92307692307693,201.09739368998632,85.06,86.54615384615384,84.43211664135814,24.22,27.16923076923077,20.469619769645178,7.0,8.615384615384615,5.806181683385364,18.8,19.076923076923077,20.20111357610723,59.6,61.30769230769231,59.5127229551352,11.559999999999999,11.384615384615385,10.890041415698077,8.2,8.076923076923077,7.789540137098946,0.3648,0.3756923076923077,0.36497247295560564,19.0,21.307692307692307,19.421324286233094,0.2774,0.32346153846153847,0.32701455664880963,5.4,7.0,6.4446796539973406,41.6,43.01538461538462,36.46354759982765,25.8,29.0,22.507659363880475,0.4779999999999999,0.4645384615384615,0.48740695016003666,20.28,18.207692307692305,20.70893495232773,15.0,14.0,15.368353213244747,34.4,35.76923076923077,34.25345805084667,0.44400000000000006,0.40930769230769226,0.42536559279393205,15.2,14.538461538461538,14.456494700258355,0.3358,0.43792307692307697,0.24347277684634808,9.4,7.076923076923077,6.091182276113438
2010-11-20,"Dunkin' Donuts Center, Providence, Rhode Island",PRAIRIE-VIEW,PROVIDENCE,Home,41.7,10,9.8,4,111.4,52.9,18,0.387,71,0.338,24,0.155,11,0.636,7,4,200.0,88.6,23.9,11,18,62,4.3,3,0.394,28.0,0.25,7.0,36.3,29,0.407,7.3,6,43.0,0.395,17.0,0.2,1,55.52,57.25714285714286,48.63719196172922,12.4,12.428571428571429,10.606015217744464,6.4,8.507142857142856,8.856930621963054,3.0,2.9285714285714284,4.020501491855791,115.83999999999999,105.26428571428572,116.96054055545835,54.879999999999995,59.135714285714286,50.57528643819353,17.4,20.214285714285715,17.134318453663408,0.4364,0.43264285714285716,0.4242832035917441,59.0,58.214285714285715,60.11652155805318,0.3882,0.3742142857142857,0.37480957999100567,22.6,21.785714285714285,22.2674495695038,0.3782,0.3418571428571428,0.3612352490680998,22.2,19.714285714285715,22.15641748880246,0.6914,0.598,0.6581185368335024,15.2,11.857142857142858,14.177129728417643,6.2,6.071428571428571,4.865921773693287,200.0,201.78571428571428,200.73159579332423,90.4,87.22857142857143,88.32141109423875,27.860000000000003,28.057142857142857,26.846413179763452,9.8,9.357142857142858,10.20412112225691,19.8,19.428571428571427,21.467409050738155,65.8,62.214285714285715,64.34181530342347,10.66,10.942857142857141,8.99336094379872,7.8,7.785714285714286,6.526360091399297,0.3254,0.3665,0.3256483153037371,18.6,21.071428571428573,18.9475495241554,0.2818,0.31621428571428567,0.29200970443253976,5.4,6.785714285714286,5.629786435998227,41.2,43.050000000000004,38.80903173321843,27.2,29.571428571428573,27.33843957592032,0.4822,0.46099999999999997,0.4632713001066911,17.82,17.5,16.572623301551822,13.8,13.571428571428571,12.912235475496498,40.4,37.142857142857146,41.16897203389778,0.4324,0.40735714285714286,0.41091039519595474,17.2,15.0,16.63766313350557,0.27459999999999996,0.42450000000000004,0.24564851789756542,6.6,6.642857142857143,4.3941215174089585
2010-11-23,"Aventura Spa Palace Resort, Riviera Maya",PRAIRIE-VIEW,NORTH-FLORIDA,Home,59.1,13,8.8,3,118.3,59.1,13,0.414,64,0.344,22,0.344,22,0.591,13,5,200.0,93.0,26.8,11,18,66,7.0,5,0.422,27.0,0.333,9.0,38.1,24,0.443,12.0,10,37.0,0.351,13.0,0.167,1,50.52,56.22,46.32479464115282,10.8,12.266666666666667,10.404010145162976,6.9,8.593333333333334,9.171287081308703,3.2,3.0,4.013667661237195,118.96000000000001,105.67333333333333,115.10702703697226,50.28,58.72,51.35019095879569,16.0,20.066666666666666,17.42287896910894,0.4312,0.4296,0.41185546906116277,59.4,59.06666666666667,63.74434770536879,0.37760000000000005,0.3718,0.3625397199940038,22.0,21.933333333333334,22.844966379669202,0.32520000000000004,0.32939999999999997,0.2924901660453999,18.6,19.133333333333333,18.437611659201643,0.6944,0.6005333333333333,0.6507456912223349,13.0,11.533333333333333,11.78475315227843,4.6,5.933333333333334,4.577281182462192,200.0,201.66666666666666,200.48773052888282,87.28,87.32,88.41427406282584,22.860000000000003,27.779999999999998,25.864275453175637,8.2,9.466666666666667,10.469414081504606,21.2,19.333333333333332,20.311606033825438,63.2,62.2,63.56121020228232,8.18,10.5,7.428907295865814,6.0,7.466666666666667,5.350906727599532,0.3578,0.36833333333333335,0.34843221020249143,21.0,21.533333333333335,21.965033016103597,0.2942,0.31179999999999997,0.2780064696216932,6.2,6.8,6.086524290665485,36.559999999999995,42.6,37.97268782214562,24.2,29.533333333333335,27.892293050613546,0.473,0.4574,0.4445142000711274,17.1,16.82,13.481748867701215,13.0,13.066666666666666,10.608156983664333,38.4,37.53333333333333,41.77931468926519,0.4208,0.4065333333333333,0.40560693013063653,15.8,15.133333333333333,16.758442089003715,0.2004,0.4095333333333333,0.23043234526504364,3.6,6.266666666666667,3.2627476782726395
2010-11-24,"Aventura Spa Palace Resort, Riviera Maya",WESTERN-ILLINOIS,PRAIRIE-VIEW,Away,45.5,10,0.0,0,103.0,83.3,20,0.421,63,0.349,22,0.175,11,0.909,10,6,200.0,94.0,21.6,8,16,63,4.5,3,0.444,28.0,0.321,9.0,45.9,28,0.462,10.5,8,35.0,0.371,13.0,0.143,1,46.56,56.4,50.58319642743521,10.4,12.3125,11.269340096775318,8.66,8.60625,9.04752472087247,3.8,3.0,3.675778440824797,122.62,106.4625,116.17135135798151,48.26,58.74375,53.933460639197136,14.8,19.625,15.948585979405962,0.41859999999999997,0.428625,0.4125703127074418,63.4,59.375,63.829565136912535,0.36,0.3700625,0.35635981332933586,22.6,21.9375,22.563310919779468,0.2622,0.3303125,0.3096601106969333,17.2,19.3125,19.625074439467763,0.6401999999999999,0.5999375,0.63083046081489,10.6,11.625,12.189835434852288,3.0,5.875,4.718187454974795,200.0,201.5625,200.3251536859219,86.46,87.675,89.94284937521724,22.220000000000002,27.71875,26.17618363545043,9.4,9.5625,10.646276054336404,21.8,19.25,19.54107068921696,63.0,62.4375,64.37414013485488,7.5600000000000005,10.28125,7.285938197243876,5.6,7.3125,5.2339378183996885,0.3694,0.3716875,0.372954806801661,23.2,21.875,23.643355344069064,0.3108,0.313125,0.29633764641446214,7.2,6.9375,7.0576828604436574,33.739999999999995,42.31875,38.01512521476375,24.2,29.1875,26.594862033742366,0.44560000000000005,0.4565,0.444009466714085,14.680000000000001,16.51875,12.987832578467478,11.8,12.875,10.405437989109556,40.2,37.5,40.186209792843464,0.38380000000000003,0.4030625,0.38740462008709103,15.4,15.0,15.505628059335812,0.1234,0.39437500000000003,0.2092882301766958,0.6,5.9375,2.50849845218176
2010-11-29,"Ferrell Center, Waco, Texas",PRAIRIE-VIEW,BAYLOR,Home,60.0,9,4.0,2,121.6,65.0,26,0.28,59,0.254,15,0.237,14,0.857,12,7,200.0,60.8,26.8,11,19,45,5.4,4,0.288,17.0,0.176,3.0,45.7,37,0.343,22.6,19,42.0,0.286,12.0,0.125,1,44.24,55.758823529411764,48.88879761829014,10.0,12.176470588235293,10.846226731183545,7.460000000000001,8.1,6.031683147248314,3.2,2.823529411764706,2.4505189605498647,118.96,106.25882352941177,111.780900905321,55.64,60.188235294117646,63.7223070927981,16.2,19.647058823529413,17.299057319603975,0.4164,0.42817647058823527,0.4153802084716279,64.2,59.588235294117645,63.55304342460836,0.3586,0.3688235294117647,0.35390654221955725,22.8,21.941176470588236,22.375540613186313,0.26,0.3211764705882353,0.2647734071312889,17.2,18.823529411764707,16.750049626311842,0.6948,0.6181176470588234,0.7235536405432601,11.2,11.529411764705882,11.459890289901526,4.0,5.882352941176471,5.145458303316531,200.0,201.47058823529412,200.21676912394793,90.75999999999999,88.04705882352941,91.2952329168115,24.78,27.358823529411765,24.650789090300286,10.4,9.470588235294118,9.76418403622427,19.6,19.058823529411764,18.360713792811307,64.0,62.470588235294116,63.916093423236596,5.7,9.941176470588236,6.357292131495918,4.0,7.0588235294117645,4.489291878933126,0.3734,0.3759411764705882,0.396636537867774,23.8,22.235294117647058,25.095570229379376,0.30300000000000005,0.3135882352941176,0.3045584309429748,7.2,7.0588235294117645,7.705121906962439,37.76,42.529411764705884,40.6434168098425,26.6,29.11764705882353,27.063241355828247,0.4476,0.4568235294117647,0.4500063111427234,12.0,16.16470588235294,12.158555052311653,9.4,12.588235294117647,9.603625326073038,40.4,37.35294117647059,38.45747319522898,0.3874,0.4011764705882353,0.38193641339139406,15.6,14.882352941176471,14.670418706223877,0.152,0.37958823529411767,0.18719215345113055,0.8,5.647058823529412,2.00566563478784
