date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-01,"RBC Center, Raleigh, North Carolina",NORTHWESTERN,NORTH-CAROLINA-STATE,Away,52.6,10,17.1,6,101.6,58.3,17,0.357,56,0.339,19,0.339,19,0.684,13,1,200.0,82.8,34.3,9,15,53,14.1,9,0.321,18.0,0.111,2.0,44.1,26,0.408,16.8,13,38.0,0.447,17.0,0.833,5,63.6,63.6,62.53209876543211,14.0,14.0,13.543209876543212,13.36,13.36,15.683950617283951,5.6,5.6,6.839506172839506,83.66,83.66,84.64074074074075,65.22,65.22,64.7925925925926,24.0,24.0,23.827160493827165,0.5202,0.5202,0.5042222222222222,49.6,49.6,50.296296296296305,0.46259999999999996,0.46259999999999996,0.44386419753086426,22.0,22.0,21.641975308641978,0.508,0.508,0.5001481481481482,23.2,23.2,23.592592592592595,0.7092,0.7092,0.7239506172839507,16.6,16.6,17.222222222222225,0.0,0.0,0.0,200.0,200.0,200.0,103.47999999999999,103.47999999999999,104.19382716049385,36.019999999999996,36.019999999999996,34.77407407407408,9.8,9.8,9.88888888888889,14.8,14.8,13.419753086419755,66.0,66.0,66.25925925925927,10.02,10.02,9.601234567901235,6.4,6.4,6.123456790123457,0.3076,0.3076,0.3221728395061728,15.4,15.4,16.172839506172842,0.38180000000000003,0.38180000000000003,0.37330864197530866,5.4,5.4,5.753086419753087,52.339999999999996,52.339999999999996,51.59753086419754,33.8,33.8,33.71604938271605,0.5584,0.5584,0.5497407407407409,19.02,19.02,17.472839506172843,13.6,13.6,12.506172839506174,34.2,34.2,34.12345679012346,0.49939999999999996,0.49939999999999996,0.4759506172839507,16.6,16.6,15.888888888888893,1.0,1.0,1.0,3.0,3.0,3.3950617283950617
2009-12-05,"Bradley Center, Milwaukee, Wisconsin",NORTH-CAROLINA-STATE,MARQUETTE,Away,73.3,22,4.5,2,105.8,50.0,21,0.598,56,0.536,30,0.357,20,0.5,10,1,200.0,111.6,38.5,9,16,77,20.3,14,0.214,12.0,0.583,7.0,45.5,30,0.588,15.6,12,44.0,0.523,23.0,0.857,6,62.120000000000005,61.76666666666667,59.22139917695474,13.6,13.333333333333334,12.362139917695476,14.920000000000002,13.983333333333334,16.155967078189303,6.0,5.666666666666667,6.559670781893005,87.16,86.64999999999999,90.29382716049383,63.879999999999995,64.06666666666666,62.6283950617284,22.2,22.833333333333332,21.55144032921811,0.5038,0.49300000000000005,0.4551481481481482,51.0,50.666666666666664,52.19753086419754,0.44880000000000003,0.442,0.4089094650205762,21.8,21.5,20.761316872427987,0.433,0.47983333333333333,0.44643209876543216,20.0,22.5,22.06172839506173,0.6974,0.7050000000000001,0.7106337448559672,14.0,16.0,15.814814814814817,0.2,0.16666666666666666,0.3333333333333333,200.0,200.0,200.0,98.14,100.03333333333335,97.06255144032924,35.6,35.733333333333334,34.61604938271606,9.2,9.666666666666666,9.592592592592593,14.4,14.833333333333334,13.946502057613172,62.8,63.833333333333336,61.83950617283951,10.3,10.700000000000001,11.10082304526749,6.6,6.833333333333333,7.082304526748972,0.3064,0.30983333333333335,0.32178189300411525,15.8,15.833333333333334,16.78189300411523,0.3664,0.33666666666666667,0.2858724279835391,5.2,4.833333333333333,4.502057613168725,50.74,50.96666666666667,49.09835390946503,31.4,32.5,31.144032921810705,0.5348,0.5333333333333333,0.502493827160494,19.92,18.650000000000002,17.248559670781894,14.4,13.5,12.670781893004119,35.2,34.833333333333336,35.41563786008231,0.48579999999999995,0.49066666666666664,0.4663004115226338,16.6,16.666666666666668,16.259259259259263,0.9666,0.9721666666666667,0.9443333333333334,3.8,3.3333333333333335,3.9300411522633745
2009-12-12,"RBC Center, Raleigh, North Carolina",GEORGIA-SOUTHERN,NORTH-CAROLINA-STATE,Home,69.7,23,9.3,4,91.9,65.6,21,0.696,51,0.647,33,0.176,9,0.444,4,1,200.0,121.0,31.6,6,12,75,9.7,6,0.333,17.0,0.294,5.0,52.9,27,0.678,21.4,15,34.0,0.824,28.0,0.875,7,62.24000000000001,63.41428571428571,63.91426611796983,14.8,14.571428571428571,15.574759945130317,13.040000000000001,12.62857142857143,12.27064471879287,5.4,5.142857142857143,5.039780521262005,94.26,89.38571428571427,95.46255144032924,60.7,62.05714285714286,58.418930041152265,20.8,22.571428571428573,21.36762688614541,0.47919999999999996,0.508,0.5027654320987655,55.4,51.42857142857143,53.46502057613169,0.4266,0.4554285714285714,0.45127297668038413,23.4,22.714285714285715,23.840877914951992,0.3514,0.46228571428571424,0.4166213991769548,18.8,22.142857142857142,21.37448559670782,0.6666000000000001,0.6757142857142858,0.6404224965706449,12.6,15.142857142857142,13.876543209876544,0.4,0.2857142857142857,0.5555555555555556,200.0,200.0,200.0,99.84,101.68571428571428,101.90836762688616,35.06,36.128571428571426,35.91069958847737,9.8,9.571428571428571,9.395061728395063,13.8,15.0,14.631001371742116,65.0,65.71428571428571,66.89300411522635,13.1,12.071428571428571,14.16721536351166,8.6,7.857142857142857,9.388203017832648,0.30219999999999997,0.29614285714285715,0.2858545953360768,16.6,15.285714285714286,15.187928669410153,0.358,0.37185714285714283,0.38491495198902603,5.6,5.142857142857143,5.334705075445816,48.120000000000005,50.18571428571429,47.898902606310024,30.6,32.142857142857146,30.762688614540473,0.51,0.5411428571428571,0.5309958847736627,15.940000000000001,18.214285714285715,16.69903978052126,11.8,13.285714285714286,12.447187928669413,38.8,36.142857142857146,38.277091906721544,0.4596,0.4952857142857143,0.48520027434842256,17.8,17.571428571428573,18.506172839506178,0.938,0.9557142857142856,0.9152222222222223,4.6,3.7142857142857144,4.62002743484225
2009-12-17,"RBC Center, Raleigh, North Carolina",ELON,NORTH-CAROLINA-STATE,Home,54.8,17,22.7,10,115.2,60.0,23,0.508,64,0.484,31,0.359,23,0.609,14,1,200.0,119.7,50.0,15,15,79,7.6,5,0.219,14.0,0.214,3.0,55.1,38,0.527,10.8,9,50.0,0.56,28.0,0.889,8,63.88000000000001,64.2,65.84284407864655,16.2,15.625,18.04983996342021,13.48,12.2125,11.280429812528581,5.6,5.0,4.69318701417467,94.47999999999999,89.7,94.27503429355284,60.739999999999995,62.5,60.812620027434846,21.2,22.375,21.245084590763607,0.5184,0.5315,0.5671769547325103,54.0,51.375,52.643347050754464,0.4664,0.479375,0.5165153177869228,24.8,24.0,26.893918609967997,0.3452,0.4265,0.3364142661179699,18.2,20.5,17.249657064471883,0.622,0.64675,0.5749483310470966,11.8,13.75,10.584362139917697,0.6,0.375,0.7037037037037037,200.0,200.0,200.0,103.74000000000001,104.1,108.27224508459078,35.18,35.5625,34.47379972565158,9.6,9.125,8.26337448559671,12.8,14.625,13.754000914494744,66.8,66.875,69.59533607681757,11.959999999999999,11.775,12.67814357567444,7.8,7.625,8.258802011888433,0.3068000000000001,0.30075,0.30156973022405126,16.4,15.5,15.791952446273436,0.3502,0.362125,0.354609967992684,5.4,5.125,5.223136716963878,49.239999999999995,50.525,49.56593507087335,30.8,31.5,29.508459076360317,0.542,0.55825,0.5799972565157752,17.26,18.6125,18.26602652034751,12.8,13.5,13.29812528577961,37.6,35.875,36.85139460448103,0.5244,0.536375,0.5981335162322816,19.4,18.875,21.67078189300412,0.9129999999999999,0.9456249999999999,0.9018148148148148,5.4,4.125,5.413351623228166
2009-12-20,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",NORTH-CAROLINA-STATE,WAKE-FOREST,Home,38.1,8,16.0,8,95.7,55.0,23,0.387,62,0.339,21,0.306,19,0.579,11,2,200.0,84.3,37.0,16,25,59,10.0,7,0.339,21.0,0.286,6.0,45.3,39,0.415,18.5,16,41.0,0.366,15.0,0.8,8,62.459999999999994,63.15555555555555,62.16189605243104,17.0,15.777777777777779,17.69989330894681,16.68,13.377777777777778,15.086953208352387,7.2,5.555555555555555,6.4621246761164475,99.4,92.53333333333333,101.25002286236855,59.220000000000006,62.22222222222222,60.54174668495657,21.2,22.444444444444443,21.830056393842405,0.5454000000000001,0.5288888888888889,0.5474513031550069,54.2,52.77777777777778,56.42889803383632,0.49659999999999993,0.47988888888888886,0.5056768785246153,26.8,24.77777777777778,28.26261240664533,0.3598,0.419,0.3439428440786466,19.2,20.77777777777778,19.166438042981255,0.5993999999999999,0.6425555555555555,0.5862988873647311,12.0,13.777777777777779,11.722908093278466,0.8,0.4444444444444444,0.8024691358024691,200.0,200.0,200.0,108.92,105.83333333333333,112.08149672306052,36.339999999999996,37.166666666666664,39.64919981710105,8.8,9.777777777777779,10.50891632373114,13.4,14.666666666666666,14.169333942996497,70.6,68.22222222222223,72.73022405121172,11.6,11.31111111111111,10.985429050449628,7.6,7.333333333333333,7.172534674592288,0.2902,0.2916666666666667,0.27404648681603416,15.4,15.333333333333334,15.194634964182292,0.3404,0.3456666666666666,0.30773997866178937,5.0,4.888888888888889,4.4820911446425855,49.36,51.03333333333333,51.41062338058224,30.0,32.22222222222222,32.33897271757355,0.5636000000000001,0.5547777777777778,0.5623315043438502,16.740000000000002,17.744444444444444,15.777351013565006,12.4,13.0,11.865416857186409,38.8,37.44444444444444,41.23426306965402,0.5636,0.539,0.5854223441548545,21.8,19.88888888888889,23.780521262002747,0.8907999999999999,0.9393333333333334,0.8975432098765433,6.2,4.555555555555555,6.275567748818778
2009-12-23,"McKale Center, Tucson, Arizona",NORTH-CAROLINA-STATE,ARIZONA,Home,43.3,13,6.8,3,102.7,75.0,24,0.515,66,0.455,30,0.152,10,0.6,6,3,200.0,100.0,47.1,13,21,74,4.1,3,0.288,19.0,0.421,8.0,59.7,37,0.523,22.1,20,47.0,0.468,22.0,0.727,8,57.7,60.65,54.141264034954034,16.0,15.0,14.466595539297874,13.920000000000002,13.64,15.391302138901594,6.0,5.8,6.974749784077632,102.03999999999999,92.85,99.40001524157904,57.779999999999994,61.5,58.69449778997105,21.0,22.5,22.220037595894937,0.5092000000000001,0.5147,0.4939675354366713,57.8,53.7,58.285932022557546,0.46900000000000003,0.46580000000000005,0.45011791901641024,26.8,24.4,25.841741604430222,0.3074,0.4077,0.33129522938576444,18.0,20.6,19.11095869532084,0.5632,0.6362,0.5838659249098208,10.4,13.5,11.481938728852311,1.2,0.6,1.2016460905349795,200.0,200.0,200.0,103.88,103.67999999999999,102.82099781537369,38.28,37.15,38.7661332114007,11.0,10.4,12.339277549154094,16.6,15.7,17.779555961997666,68.6,67.3,68.15348270080781,12.34,11.18,10.656952700299753,8.2,7.3,7.115023116394859,0.2852,0.2964,0.29569765787735613,16.4,15.9,17.129756642788195,0.2976,0.3397,0.3004933191078596,4.6,5.0,4.988060763095057,48.58,50.46,49.37374892038817,32.0,32.9,34.559315145049034,0.5232,0.5408000000000001,0.5132210028959001,16.619999999999997,17.82,16.684900675710004,13.0,13.3,13.243611238124274,41.4,37.8,41.15617537976935,0.544,0.5217,0.5122815627699031,22.2,19.4,20.853680841335166,0.8507999999999999,0.9254,0.8650288065843623,6.8,4.9,6.850378499212519
2009-12-29,"RBC Center, Raleigh, North Carolina",WINTHROP,NORTH-CAROLINA-STATE,Home,80.8,21,11.1,5,80.0,68.9,32,0.585,53,0.491,26,0.283,15,0.4,6,3,200.0,104.6,26.7,7,16,68,4.6,3,0.396,21.0,0.476,10.0,52.0,39,0.565,19.0,14,32.0,0.5,16.0,0.75,9,55.839999999999996,59.07272727272727,50.527509356636024,16.6,14.818181818181818,13.977730359531918,11.86,13.018181818181818,12.52753475926773,5.4,5.545454545454546,5.649833189385089,102.26,93.74545454545455,100.5000101610527,61.120000000000005,62.72727272727273,64.12966519331404,22.4,22.636363636363637,22.813358397263293,0.5408,0.5147272727272727,0.5009783569577809,59.8,54.81818181818182,60.85728801503837,0.4922000000000001,0.4648181818181818,0.45174527934427355,29.0,24.90909090909091,27.227827736286816,0.26999999999999996,0.38445454545454544,0.27153015292384297,16.2,19.636363636363637,16.07397246354723,0.5464,0.6329090909090909,0.5892439499398806,9.0,12.818181818181818,9.654625819234875,1.6,0.8181818181818182,1.8010973936899863,200.0,200.0,200.0,107.32000000000001,103.34545454545454,101.88066521024913,40.839999999999996,38.054545454545455,41.54408880760047,11.8,10.636363636363637,12.55951836610273,17.8,16.181818181818183,18.853037307998445,72.8,67.9090909090909,70.10232180053855,10.34,10.536363636363637,8.471301800199836,7.0,6.909090909090909,5.74334874426324,0.2786,0.29563636363636364,0.2931317719182374,16.6,16.181818181818183,17.75317109519213,0.3596,0.3470909090909091,0.34066221273857306,5.8,5.2727272727272725,5.992040508730039,51.7,51.3,52.815832613592114,34.2,33.27272727272727,35.37287676336602,0.5462,0.5391818181818182,0.5164806685972667,17.68,18.20909090909091,18.48993378380667,14.4,13.909090909090908,15.495740825416183,43.2,38.63636363636363,43.104116919846234,0.5482,0.5168181818181818,0.49752104184660206,23.2,19.636363636363637,21.235787227556777,0.8295999999999999,0.9073636363636364,0.8190192043895749,7.4,5.181818181818182,7.23358566614168
2009-12-31,"Fleming Gymnasium, Greensboro, North Carolina",NORTH-CAROLINA-STATE,NORTH-CAROLINA-GREENSBORO,Away,58.1,18,8.3,4,93.1,50.0,16,0.643,56,0.554,31,0.393,22,0.773,17,3,200.0,123.6,25.0,6,12,89,11.1,8,0.321,18.0,0.556,10.0,39.3,22,0.67,14.3,11,38.0,0.553,21.0,0.769,10,57.339999999999996,60.88333333333333,60.61833957109069,16.4,15.333333333333334,16.318486906354615,13.179999999999998,12.858333333333334,12.051689839511821,6.0,5.5,5.433222126256727,97.1,92.60000000000001,93.6666734407018,64.9,63.24166666666667,65.7197767955427,24.6,23.416666666666668,25.875572264842198,0.5382,0.5205833333333333,0.5289855713051873,59.2,54.666666666666664,58.238192010025585,0.48319999999999996,0.467,0.4648301862295158,28.2,25.0,26.81855182419121,0.2552,0.37599999999999995,0.27535343528256195,15.2,19.25,15.71598164236482,0.5264,0.6135,0.5261626332932537,8.2,12.25,8.436417212823251,2.0,1.0,2.2007315957933242,200.0,200.0,200.0,105.91999999999999,103.45,102.78711014016609,38.480000000000004,37.108333333333334,36.59605920506698,11.4,10.333333333333334,10.70634557740182,17.8,16.166666666666668,17.902024871998965,71.0,67.91666666666667,69.4015478670257,7.2,10.041666666666666,7.180867866799891,4.8,6.583333333333333,4.82889916284216,0.31500000000000006,0.304,0.32742118127882497,18.4,16.583333333333332,18.835447396794756,0.33819999999999995,0.3578333333333333,0.38577480849238205,6.4,5.666666666666667,7.328027005820026,53.0,51.35833333333333,52.54388840906141,36.0,33.75,36.58191784224402,0.5416,0.5413333333333333,0.5326537790648445,18.36,18.275000000000002,18.659955855871114,14.8,13.916666666666666,14.997160550277457,40.8,38.083333333333336,39.40274461323082,0.5436,0.5154166666666667,0.49834736123106804,21.8,19.333333333333332,19.490524818371185,0.8082,0.89425,0.7960128029263833,8.0,5.5,7.822390444094454
2010-01-03,"RBC Center, Raleigh, North Carolina",FLORIDA,NORTH-CAROLINA-STATE,Away,63.6,14,6.7,3,92.5,65.9,30,0.464,55,0.4,22,0.345,19,0.526,10,4,225.0,91.0,32.4,10,15,61,10.4,7,0.4,22.0,0.318,7.0,51.3,40,0.476,18.1,14,33.0,0.455,15.0,0.714,10,55.02,60.66923076923077,59.778893047393794,15.4,15.538461538461538,16.87899127090308,12.98,12.507692307692308,10.80112655967455,6.0,5.384615384615385,4.955481417504485,97.34,92.63846153846154,93.4777822938012,61.779999999999994,62.223076923076924,60.47985119702847,23.6,22.846153846153847,22.583714843228133,0.5276,0.53,0.5669903808701249,60.2,54.76923076923077,57.49212800668373,0.4646,0.47369230769230775,0.49455345748634394,27.8,25.46153846153846,28.21236788279414,0.2986,0.37730769230769234,0.3145689568550413,17.8,19.46153846153846,17.810654428243215,0.5922000000000001,0.6257692307692307,0.6084417555288358,10.8,12.615384615384615,11.290944808548833,2.4,1.1538461538461537,2.4671543971955496,200.0,200.0,200.0,106.43999999999998,105.0,109.72474009344407,37.160000000000004,36.176923076923075,32.73070613671132,11.4,10.0,9.13756371826788,17.8,15.846153846153847,15.934683247999311,73.8,69.53846153846153,75.9343652446838,7.4799999999999995,10.123076923076923,8.487245244533261,5.2,6.6923076923076925,5.885932775228107,0.3126,0.30530769230769234,0.3252807875192167,18.6,16.692307692307693,18.556964931196504,0.39059999999999995,0.37307692307692303,0.44251653899492144,7.4,6.0,8.218684670546685,50.28,50.43076923076923,48.12925893937428,35.0,32.84615384615385,31.721278561496014,0.5399999999999999,0.5512307692307693,0.5784358527098963,16.940000000000005,17.96923076923077,17.20663723724741,14.0,13.692307692307692,13.664773700184972,41.6,38.07692307692308,38.93516307548722,0.4894,0.5183076923076924,0.5165649074873788,20.4,19.46153846153846,19.993683212247458,0.787,0.8846153846153846,0.7870085352842556,8.6,5.846153846153846,8.54826029606297
2010-01-06,"RBC Center, Raleigh, North Carolina",HOLY-CROSS,NORTH-CAROLINA-STATE,Home,60.6,20,27.5,11,101.4,56.8,22,0.594,64,0.516,33,0.188,12,0.917,11,4,200.0,126.1,37.0,9,19,87,15.9,11,0.359,23.0,0.435,10.0,48.4,31,0.624,10.4,8,41.0,0.561,23.0,0.733,11,56.779999999999994,60.878571428571426,61.0525953649292,14.8,15.428571428571429,15.919327513935386,9.78,12.092857142857143,9.434084373116367,4.6,5.214285714285714,4.303654278336324,92.8,92.62857142857142,93.15185486253414,62.96,62.48571428571428,62.28656746468565,25.0,23.357142857142858,25.055809895485424,0.5188,0.5252857142857142,0.5326602539134166,58.4,54.785714285714285,56.66141867112249,0.4478,0.4684285714285714,0.46303563832422934,26.0,25.214285714285715,26.141578588529427,0.2958,0.375,0.3247126379033609,17.0,19.428571428571427,18.207102952162145,0.5756,0.6186428571428572,0.5809611703525572,10.0,12.428571428571429,10.86062987236589,3.0,1.3571428571428572,2.9781029314636998,205.0,201.78571428571428,208.33333333333334,100.7,104.0,103.48316006229605,33.64,35.90714285714286,32.620470757807546,10.4,10.0,9.425042478845254,17.8,15.785714285714286,15.623122165332875,70.2,68.92857142857143,70.95624349645587,8.04,10.142857142857142,9.124830163022175,5.6,6.714285714285714,6.257288516818738,0.34880000000000005,0.31207142857142856,0.3501871916794778,20.2,17.071428571428573,19.704643287464336,0.4114,0.36914285714285716,0.4010110259966143,8.2,6.071428571428571,7.812456447031123,49.519999999999996,50.49285714285714,49.18617262624953,35.4,33.357142857142854,34.48085237433068,0.5298,0.5458571428571429,0.5442905684732642,18.4,17.978571428571428,17.50442482483161,15.0,13.714285714285714,13.776515800123315,38.2,37.714285714285715,36.95677538365815,0.46840000000000004,0.5137857142857143,0.49604327165825257,17.8,19.142857142857142,18.329122141498306,0.752,0.8724285714285714,0.7626723568561705,9.0,6.142857142857143,9.032173530708647
2010-01-09,"RBC Center, Raleigh, North Carolina",VIRGINIA,NORTH-CAROLINA-STATE,Away,66.7,14,4.7,2,107.7,69.0,20,0.442,52,0.404,21,0.5,26,0.615,16,5,200.0,95.4,22.9,8,19,62,3.1,2,0.269,14.0,0.286,4.0,43.8,28,0.482,12.4,9,38.0,0.447,17.0,0.688,11,61.279999999999994,60.86,60.90173024328614,17.2,15.733333333333333,17.279551675956924,12.080000000000002,13.120000000000001,15.456056248744243,5.2,5.6,6.535769518890882,93.94,93.21333333333334,95.90123657502276,63.32000000000001,62.10666666666667,60.45771164312377,24.8,23.266666666666666,24.037206596990284,0.5602,0.5298666666666667,0.5531068359422778,58.8,55.4,59.10761244741499,0.4832000000000001,0.47159999999999996,0.48069042554948627,28.4,25.733333333333334,28.42771905901962,0.2722,0.3625333333333333,0.2791417586022406,15.6,18.933333333333334,16.138068634774765,0.6432,0.6385333333333333,0.6929741135683716,10.0,12.333333333333334,10.90708658157726,3.4,1.5333333333333334,3.3187352876424665,205.0,201.66666666666666,205.55555555555557,109.05999999999999,105.47333333333333,111.02210670819737,33.64,35.980000000000004,34.080313838538366,9.0,9.933333333333334,9.283361652563503,16.6,16.0,16.748748110221918,75.8,70.13333333333334,76.30416233097058,9.219999999999999,10.526666666666667,11.38322010868145,6.4,7.0,7.838192344545826,0.35280000000000006,0.3152,0.3531247944529852,20.6,17.466666666666665,20.803095524976225,0.4412,0.37353333333333333,0.41234068399774293,9.0,6.333333333333333,8.541637631354082,50.14,50.35333333333333,48.92411508416636,33.8,33.2,33.32056824955379,0.5716,0.5510666666666667,0.5708603789821761,16.78,17.473333333333336,15.136283216554407,13.4,13.333333333333334,11.851010533415543,38.2,37.93333333333333,38.304516922438765,0.5074,0.5169333333333334,0.5176955144388351,19.4,19.4,19.886081427665538,0.7386,0.8631333333333333,0.752781571237447,9.6,6.466666666666667,9.6881156871391
2010-01-12,"Donald L. Tucker Center, Tallahassee, Florida",NORTH-CAROLINA-STATE,FLORIDA-STATE,Away,45.8,11,9.1,4,109.5,58.1,22,0.557,53,0.453,24,0.66,35,0.829,29,5,200.0,118.9,53.8,10,27,88,6.8,5,0.434,23.0,0.478,11.0,56.1,32,0.632,20.8,18,30.0,0.433,13.0,0.706,12,65.96,61.225,62.83448682885743,17.4,15.625,16.186367783971285,11.66,12.59375,11.870704165829496,5.0,5.375,5.0238463459272555,94.94,94.11875,99.83415771668186,62.120000000000005,62.5375,63.305141095415856,24.0,23.0625,22.691471064660192,0.5456000000000001,0.524375,0.5160712239615186,56.0,55.1875,56.73840829827667,0.47300000000000003,0.467375,0.4551269503663242,26.6,25.4375,25.951812706013083,0.3418,0.371125,0.35276117240149374,18.8,19.375,19.425379089849844,0.6462,0.6370625,0.6669827423789144,12.0,12.5625,12.604724387718175,3.8,1.75,3.879156858428311,205.0,201.5625,203.70370370370372,108.14000000000001,104.84375,105.81473780546492,28.8,35.1625,30.35354255902558,8.0,9.8125,8.855574435042335,16.2,16.1875,17.499165406814612,73.4,69.625,71.53610822064707,9.02,10.0625,8.622146739120968,6.2,6.6875,5.892128229697218,0.34900000000000003,0.3123125,0.3250831963019902,19.6,17.25,18.53539701665082,0.4142,0.3680625,0.370227122665162,8.2,6.1875,7.027758420902721,46.959999999999994,49.94375,47.21607672277757,32.0,32.875,31.547045499702527,0.5634,0.54675,0.5412402526547841,14.84,17.15625,14.224188811036273,11.2,13.0625,10.900673688943696,36.4,37.9375,38.20301128162585,0.5032,0.5125625,0.4941303429592234,18.4,19.25,18.92405428511036,0.7308,0.8521875,0.7311877141582981,10.2,6.75,10.125410458092734
2010-01-16,"RBC Center, Raleigh, North Carolina",CLEMSON,NORTH-CAROLINA-STATE,Away,42.9,9,8.3,3,110.6,65.2,21,0.426,54,0.389,21,0.556,30,0.8,24,6,200.0,106.1,46.9,9,20,70,7.6,5,0.389,21.0,0.19,4.0,54.5,30,0.513,14.1,11,33.0,0.515,17.0,0.667,12,58.96,60.31764705882353,57.156324552571625,15.4,15.352941176470589,14.457578522647523,11.260000000000002,12.388235294117647,10.947136110552998,4.8,5.294117647058823,4.682564230618171,100.84,95.02352941176471,103.05610514445458,59.96,62.2764705882353,61.570094063610576,22.0,23.0,22.460980709773462,0.54,0.5262941176470588,0.5297141493076791,56.0,55.05882352941177,55.49227219885111,0.4654,0.46652941176470586,0.4544179669108829,26.2,25.352941176470587,25.30120847067539,0.41720000000000007,0.3881176470588235,0.4551741149343292,22.8,20.294117647058822,24.616919393233232,0.732,0.6483529411764706,0.7209884949192763,16.6,13.529411764705882,18.069816258478784,4.2,1.9411764705882353,4.252771238952207,205.0,201.47058823529412,202.46913580246917,111.0,105.67058823529412,110.17649187030995,34.22,36.258823529411764,38.16902837268372,8.6,9.823529411764707,9.237049623361557,18.4,16.823529411764707,20.666110271209742,77.4,70.70588235294117,77.02407214709805,9.46,9.870588235294118,8.014764492747313,6.6,6.588235294117647,5.594752153131479,0.3566,0.3194705882352941,0.36138879753466013,20.0,17.58823529411765,20.023598011100546,0.41459999999999997,0.3745294117647059,0.406151415110108,8.4,6.470588235294118,8.351838947268481,47.779999999999994,50.30588235294118,50.17738448185172,30.6,32.8235294117647,31.698030333135023,0.5768,0.5517647058823529,0.5714935017698561,15.2,17.370588235294118,16.416125874024182,12.0,13.352941176470589,13.26711579262913,36.0,37.470588235294116,35.468674187750565,0.48980000000000007,0.5078823529411765,0.47375356197281565,17.8,18.88235294117647,16.949369523406908,0.722,0.8435882352941176,0.7227918094388655,10.8,7.0588235294117645,10.75027363872849
