date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-23,"PNC Arena, Raleigh, North Carolina",Little Rock,NC State,Home,68.2,15,5.9,2,102.8,75.0,21,0.407,59,0.373,22,0.237,14,0.714,10,3,200,80.6,30.6,11,16,58,9.7,7,0.305,18,0.222,4,50.0,32,0.442,19.7,16,41,0.439,18,0.5,3,53.660000000000004,53.660000000000004,53.60987654320988,14.0,14.0,13.49382716049383,10.24,10.24,9.80740740740741,3.0,3.0,3.0617283950617287,91.82000000000001,91.82000000000001,89.30123456790125,75.17999999999999,75.17999999999999,74.32345679012346,24.4,24.4,25.308641975308646,0.508,0.508,0.4955925925925927,55.4,55.4,54.580246913580254,0.4702,0.4702,0.45979012345679016,26.0,26.0,25.07407407407408,0.3568,0.3568,0.38720987654320993,19.8,19.8,21.037037037037038,0.6918,0.6918,0.660172839506173,13.4,13.4,13.666666666666668,1.0,1.0,1.1358024691358026,200.0,200.0,200.0,98.97999999999999,98.97999999999999,94.81481481481484,32.3,32.3,31.483950617283956,9.8,9.8,9.654320987654323,20.2,20.2,21.407407407407412,69.6,69.6,67.77777777777779,11.5,11.5,11.57777777777778,8.2,8.2,8.456790123456791,0.2768,0.2768,0.2602716049382716,15.4,15.4,14.34567901234568,0.2702,0.2702,0.2753333333333334,4.2,4.2,3.9629629629629632,55.1,55.1,54.41481481481482,34.2,34.2,34.96296296296297,0.5386,0.5386,0.5253086419753087,19.74,19.74,21.20493827160494,15.8,15.8,17.308641975308646,40.0,40.0,40.23456790123458,0.5484,0.5484,0.5269135802469136,21.8,21.8,21.11111111111111,0.7034,0.7034,0.7123950617283953,2.0,2.0,2.2592592592592595
2019-11-26,"Jack Stephens Center, Little Rock, Arkansas",St. Francis (NY),Little Rock,Home,61.1,11,5.9,2,76.7,81.1,30,0.394,52,0.346,18,0.692,36,0.722,26,3,200,91.8,25.6,10,23,67,13.7,10,0.288,15,0.333,5,52.6,40,0.485,16.1,13,37,0.351,13,0.571,4,54.7,56.083333333333336,58.473251028806594,13.6,14.166666666666666,13.995884773662555,9.120000000000001,9.516666666666667,8.504938271604942,2.8,2.8333333333333335,2.7078189300411526,91.41999999999999,93.64999999999999,93.8008230452675,76.17999999999999,75.14999999999999,74.54897119341564,24.4,23.833333333333332,23.8724279835391,0.4798,0.4911666666666667,0.4660617283950618,56.8,56.0,56.05349794238684,0.441,0.454,0.43086008230452677,25.0,25.333333333333332,24.049382716049386,0.3466,0.3368333333333333,0.33713991769547336,19.6,18.833333333333332,18.69135802469136,0.7011999999999999,0.6955,0.6781152263374487,13.4,12.833333333333334,12.444444444444446,1.6,1.3333333333333333,1.757201646090535,200.0,200.0,200.0,93.84,95.91666666666667,90.07654320987656,30.919999999999998,32.016666666666666,31.189300411522638,10.2,10.0,10.102880658436217,19.6,19.5,19.604938271604944,67.8,67.66666666666667,64.51851851851853,11.219999999999999,11.200000000000001,10.951851851851853,8.2,8.0,7.971193415637861,0.284,0.28150000000000003,0.2751810699588477,16.2,15.833333333333334,15.563786008230455,0.2718,0.26216666666666666,0.2575555555555556,4.4,4.166666666666667,3.9753086419753094,53.98,54.25,52.943209876543214,34.6,33.833333333333336,33.97530864197532,0.5136000000000001,0.5225,0.4975390946502058,20.04,19.73333333333333,20.703292181069962,16.4,15.833333333333334,16.872427983539097,40.6,40.166666666666664,40.48971193415639,0.5098,0.5301666666666667,0.49760905349794243,20.6,21.166666666666668,20.074074074074076,0.6033999999999999,0.6695000000000001,0.6415967078189302,2.4,2.1666666666666665,2.5061728395061733
2019-11-27,"Jack Stephens Center, Little Rock, Arkansas",Alcorn State,Little Rock,Home,33.3,7,0.0,0,71.4,75.6,31,0.453,53,0.396,21,0.528,28,0.679,19,3,200,95.7,32.4,12,15,67,7.1,5,0.377,20,0.3,6,55.1,43,0.505,20.7,17,33,0.455,15,0.625,5,57.3,56.800000000000004,59.3488340192044,13.2,13.714285714285714,12.997256515775037,7.340000000000001,9.0,7.6366255144032955,2.4,2.7142857142857144,2.4718792866941017,85.34,91.22857142857143,88.10054869684501,78.12,76.0,76.7326474622771,26.4,24.714285714285715,25.91495198902607,0.4454000000000001,0.4772857142857143,0.4420411522633746,56.6,55.42857142857143,54.70233196159123,0.4084,0.43857142857142856,0.4025733882030179,23.2,24.285714285714285,22.032921810699595,0.43979999999999997,0.38757142857142857,0.45542661179698224,24.4,21.285714285714285,24.460905349794242,0.679,0.6992857142857142,0.6927434842249658,16.6,14.714285714285714,16.962962962962965,2.0,1.5714285714285714,2.171467764060357,200.0,200.0,200.0,92.2,95.32857142857142,90.65102880658438,32.239999999999995,31.099999999999998,29.32620027434843,11.4,10.0,10.068587105624145,20.4,20.0,20.736625514403297,67.2,67.57142857142857,65.3456790123457,11.379999999999999,11.557142857142859,11.867901234567903,8.4,8.285714285714286,8.647462277091908,0.26999999999999996,0.2824285714285714,0.27945404663923185,15.4,15.714285714285714,15.375857338820305,0.2752,0.2722857142857143,0.28270370370370373,4.2,4.285714285714286,4.31687242798354,54.7,54.01428571428572,52.82880658436215,37.8,34.714285714285715,35.98353909465021,0.49140000000000006,0.5171428571428571,0.4933593964334706,19.16,19.214285714285715,19.16886145404664,16.0,15.428571428571429,15.581618655692733,41.2,39.714285714285715,39.32647462277093,0.45640000000000003,0.5045714285714286,0.4487393689986283,19.0,20.0,17.71604938271605,0.6176,0.6554285714285715,0.6180644718792868,3.0,2.4285714285714284,3.004115226337449
2019-11-30,"Jack Stephens Center, Little Rock, Arkansas",ETSU,Little Rock,Away,57.1,12,3.4,1,108.1,76.9,20,0.556,45,0.467,21,0.4,18,0.722,13,4,200,101.6,36.0,9,17,63,9.7,6,0.444,20,0.4,8,56.9,29,0.588,24.3,17,25,0.52,13,0.556,5,52.239999999999995,53.8625,50.66588934613627,11.2,12.875,10.998171010516693,5.860000000000001,7.875,5.091083676268864,2.0,2.375,1.6479195244627347,82.76,88.75,82.53369913123001,75.3,75.95,76.35509830818474,27.4,25.5,27.609967992684048,0.43760000000000004,0.47425,0.4456941015089164,54.8,55.125,54.134887974394154,0.394,0.43325,0.400382258802012,21.6,23.875,21.688614540466396,0.46799999999999997,0.405125,0.47961774119798817,25.2,22.125,25.640603566529496,0.6814,0.69675,0.6881623228166439,17.2,15.25,17.641975308641978,2.4,1.75,2.447645176040238,200.0,200.0,200.0,89.34,95.375,92.33401920438959,29.839999999999996,31.2625,30.350800182898958,10.6,10.25,10.71239140374943,21.0,19.375,18.8244170096022,65.2,67.5,65.89711934156381,10.52,11.0,10.27860082304527,7.8,7.875,7.431641518061273,0.29379999999999995,0.29425,0.3119693644261545,16.2,16.25,16.917238225880205,0.2976,0.27575,0.2884691358024692,4.8,4.5,4.877914951989027,52.8,54.15,53.58587105624144,38.0,35.75,38.32235939643348,0.48740000000000006,0.515625,0.4972395976223138,20.259999999999998,19.4,19.67924096936443,16.8,15.625,16.05441243712849,38.6,38.875,37.217649748513956,0.4344,0.498375,0.4508262459990856,16.8,19.375,16.81069958847737,0.6092000000000001,0.651625,0.6203763145861912,3.6,2.75,3.6694101508916326
2019-12-07,"UNT Coliseum, Denton, Texas",Little Rock,North Texas,Home,47.1,8,26.3,5,118.8,70.8,17,0.424,46,0.37,17,0.457,21,0.667,14,5,200,82.8,22.6,7,14,53,12.5,8,0.348,16,0.313,5,43.6,24,0.473,22.5,16,30,0.4,12,0.5,5,54.42,54.22222222222222,52.81059289742418,11.2,12.777777777777779,11.332114007011128,5.0,7.377777777777778,4.527389117512577,1.8,2.2222222222222223,1.4319463496418232,88.6,90.9,91.05579942082001,76.08,76.05555555555556,76.5367322054565,26.0,24.88888888888889,25.0733119951227,0.45380000000000004,0.4833333333333333,0.48246273433927767,51.6,54.0,51.08992531626277,0.4022,0.437,0.42258817253467473,20.6,23.555555555555557,21.45907636031093,0.4694,0.40455555555555556,0.4530784941319922,24.0,21.666666666666668,23.093735711019665,0.6758,0.6995555555555556,0.6994415485444293,16.2,15.0,16.09465020576132,3.0,2.0,2.9650967840268256,200.0,200.0,200.0,88.25999999999999,96.06666666666666,95.42267946959306,28.8,31.78888888888889,32.23386678859931,9.6,10.11111111111111,10.141594269166287,19.0,19.11111111111111,18.216278006401467,62.6,67.0,64.93141289437588,10.76,10.855555555555556,10.08573388203018,7.8,7.666666666666667,6.954427678707516,0.3236,0.3108888888888889,0.35597957628410304,16.6,16.666666666666668,17.944825483920138,0.311,0.28955555555555557,0.3256460905349795,5.2,4.888888888888889,5.918609967992685,52.64000000000001,54.455555555555556,54.690580704160965,35.6,35.0,35.214906264288985,0.5,0.5236666666666667,0.5274930650815426,22.240000000000002,19.944444444444443,21.219493979576285,17.8,15.777777777777779,16.369608291418995,35.0,37.333333333333336,33.14509983234264,0.44539999999999996,0.5007777777777778,0.47388416399939043,15.4,18.666666666666668,15.540466392318248,0.5704,0.641,0.5989175430574609,4.0,3.0,4.112940100594422
2019-12-10,"Jack Stephens Center, Little Rock, Arkansas",Tennessee State,Little Rock,Home,55.2,16,22.6,7,79.5,66.7,26,0.602,54,0.537,29,0.593,32,0.656,21,5,200,110.3,25.0,7,19,86,12.8,10,0.259,14,0.5,7,49.3,33,0.621,18.1,15,40,0.55,22,0.545,6,53.36,53.510000000000005,50.90706193161613,10.6,12.3,10.221409338007419,8.3,9.27,11.784926078341718,2.0,2.5,2.621297566427882,95.55999999999999,93.69,100.30386628054667,75.88000000000001,75.53,74.62448813697101,23.8,24.1,22.38220799674847,0.4468,0.4774,0.4629751562261851,51.0,53.2,49.39328354417519,0.39039999999999997,0.4303,0.40505878168978315,19.8,22.9,19.97271757354062,0.4628,0.4098,0.45438566275466147,23.4,21.6,22.395823807346446,0.7008,0.6963,0.6886276990296196,16.4,14.9,15.396433470507546,3.6,2.3,3.643397856017884,200.0,200.0,200.0,90.5,94.74,91.21511964639538,29.439999999999998,30.869999999999997,29.02257785906621,9.8,9.8,9.094396179444193,17.0,18.6,16.810852004267645,61.6,65.6,60.95427526291726,10.54,11.02,10.890489254686788,7.2,7.7,7.302951785805011,0.3524,0.3146,0.3533197175227354,17.8,16.6,17.296550322613427,0.3136,0.2919,0.3214307270233197,5.6,4.9,5.612406645328457,51.64,53.370000000000005,50.993720469440646,33.6,33.9,31.47660417619266,0.49860000000000004,0.5186,0.5093287100543618,20.660000000000004,20.2,21.646329319717523,15.8,15.8,16.246405527612666,33.2,36.6,32.09673322156176,0.433,0.4907,0.44925610933292703,14.2,18.0,14.360310928212167,0.5504,0.6269,0.565945028704974,4.4,3.2,4.408626733729615
2019-12-19,"Fant-Ewing Coliseum, Monroe, Louisiana",Little Rock,Louisiana-Monroe,Away,69.6,16,5.6,2,102.9,79.2,19,0.617,47,0.489,23,0.489,23,0.652,15,5,200,104.3,12.0,3,22,73,11.4,8,0.511,24,0.5,12,44.9,22,0.63,20.8,15,23,0.478,11,0.583,7,50.760000000000005,53.66363636363636,52.33804128774409,10.8,12.636363636363637,12.14760622533828,11.64,10.481818181818182,15.389950718894479,3.0,2.909090909090909,4.080865044285255,90.9,92.39999999999999,93.36924418703113,74.22,74.72727272727273,71.982992091314,24.8,24.272727272727273,23.58813866449898,0.48580000000000007,0.48872727272727273,0.5093167708174569,50.0,53.27272727272727,50.9288556961168,0.4232,0.44,0.4490391877931888,21.2,23.454545454545453,22.98181171569375,0.534,0.4264545454545454,0.5005904418364411,27.0,22.545454545454547,25.5972158715643,0.6892,0.6926363636363636,0.6777517993530798,18.6,15.454545454545455,17.264288980338364,4.0,2.5454545454545454,4.09559857067859,200.0,200.0,200.0,96.44,96.15454545454546,97.57674643093026,28.320000000000004,30.336363636363636,27.681718572710807,9.0,9.545454545454545,8.396264119629462,17.6,18.636363636363637,17.5405680028451,67.2,67.45454545454545,69.30285017527817,11.16,11.181818181818182,11.52699283645786,7.8,7.909090909090909,8.201967857203341,0.34319999999999995,0.3095454545454545,0.3218798116818236,17.0,16.363636363636363,16.19770021507562,0.36920000000000003,0.3108181818181818,0.3809538180155465,6.2,5.090909090909091,6.074937763552305,51.5,53.0,50.4291469796271,33.8,33.81818181818182,31.98440278412844,0.5344,0.527909090909091,0.5465524733695746,20.34,20.009090909090908,20.46421954647835,15.6,15.727272727272727,15.830937018408445,33.0,36.90909090909091,34.73115548104118,0.45519999999999994,0.4960909090909091,0.4828374062219514,15.0,18.363636363636363,16.906873952141446,0.5594,0.6194545454545455,0.5589633524699827,5.0,3.4545454545454546,4.9390844891530765
2019-12-21,"Cajundome, Lafayette, Louisiana",Little Rock,Louisiana,Away,64.3,18,9.1,3,98.5,73.3,22,0.546,54,0.519,28,0.241,13,0.769,10,5,200,103.0,38.5,10,18,69,6.0,4,0.204,11,0.273,3,57.1,32,0.573,22.2,17,43,0.581,25,0.615,8,52.46,54.99166666666667,58.09202752516273,11.8,12.916666666666666,13.431737483558855,11.58,10.075000000000001,12.126633812596321,3.0,2.8333333333333335,3.387243362856837,96.14,93.27499999999999,96.54616279135409,73.84,75.10000000000001,74.38866139420934,22.6,23.833333333333332,22.05875910966599,0.5304,0.4994166666666667,0.5452111805449713,49.0,52.75,49.61923713074454,0.4518,0.44408333333333333,0.46235945852879257,22.2,23.416666666666668,22.987874477129168,0.4934,0.43166666666666664,0.49672696122429405,24.4,22.583333333333332,24.731477247709535,0.6752,0.68925,0.6691678662353866,16.4,15.416666666666666,16.509525986892243,4.4,2.75,4.397065713785727,200.0,200.0,200.0,98.93999999999998,96.83333333333333,99.81783095395352,25.6,28.808333333333334,22.454479048473875,7.6,9.0,6.597509413086309,17.4,18.916666666666668,19.027045335230067,68.4,67.91666666666667,70.53523345018544,10.7,11.200000000000001,11.484661890971907,7.4,7.916666666666667,8.134645238135562,0.38780000000000003,0.3263333333333333,0.3849198744545491,18.8,17.0,18.798466810050414,0.40259999999999996,0.32658333333333334,0.420635878677031,7.6,5.666666666666667,8.04995850903487,49.96,52.324999999999996,48.58609798641807,30.2,32.833333333333336,28.656268522752296,0.5634,0.5364166666666667,0.5743683155797165,21.28,20.075,20.5761463643189,16.0,15.666666666666666,15.553958012272298,30.2,35.75,30.820770320694123,0.4806,0.4945833333333334,0.48122493748130096,14.6,17.75,14.937915968094298,0.5618000000000001,0.6164166666666667,0.5669755683133219,5.6,3.75,5.62605632610205
2020-01-02,"Jack Stephens Center, Little Rock, Arkansas",Texas State,Little Rock,Home,50.0,13,7.1,3,98.6,84.6,33,0.561,49,0.531,26,0.449,22,0.773,17,5,200,104.3,19.2,5,16,72,4.3,3,0.224,11,0.273,3,58.5,38,0.606,18.1,13,38,0.605,23,0.643,9,58.660000000000004,55.70769230769231,60.16135168344182,14.0,13.307692307692308,14.954491655705905,13.4,10.0,11.117755875064216,3.6,2.8461538461538463,3.258162241904558,101.56,93.67692307692307,97.19744186090273,73.38000000000001,74.96153846153847,74.02577426280622,20.8,23.692307692307693,22.039172739777328,0.549,0.503,0.5454741203633142,49.2,52.84615384615385,51.07949142049636,0.47640000000000005,0.44984615384615384,0.4812396390191951,23.6,23.76923076923077,24.65858298475278,0.43600000000000005,0.41700000000000004,0.41148464081619607,21.4,21.846153846153847,20.820984831806356,0.6931999999999999,0.6953846153846155,0.7024452441569244,14.6,15.0,14.339683991261495,4.8,2.923076923076923,4.598043809190485,200.0,200.0,200.0,100.4,97.3076923076923,100.87855396930235,26.82,29.553846153846152,27.802986032315918,7.2,9.076923076923077,7.731672942057539,18.0,18.846153846153847,18.68469689015338,68.8,68.0,70.0234889667903,10.48,10.8,9.656441260647938,7.2,7.615384615384615,6.756430158757041,0.3532,0.3169230769230769,0.3246132496363661,17.0,16.53846153846154,16.198977873366943,0.39720000000000005,0.32246153846153847,0.37142391911802075,7.0,5.461538461538462,6.366639006023247,50.36,52.69230769230769,51.424065324278715,28.0,32.76923076923077,29.770845681834864,0.5770000000000001,0.5392307692307692,0.5739122103864777,21.580000000000002,20.23846153846154,21.117430909545934,16.0,15.76923076923077,16.03597200818153,32.2,36.30769230769231,34.88051354712942,0.5058,0.5012307692307693,0.5144832916542006,16.6,18.307692307692307,18.291943978729535,0.5598,0.6163076923076923,0.5829837122088812,6.2,4.076923076923077,6.417370884068034
2020-01-04,"Jack Stephens Center, Little Rock, Arkansas",Texas-Arlington,Little Rock,Home,46.7,14,10.0,4,115.6,72.4,21,0.62,54,0.556,30,0.611,33,0.758,25,5,200,119.5,41.4,12,17,92,3.9,3,0.333,18,0.389,7,56.9,33,0.66,20.8,18,36,0.639,23,0.667,10,57.239999999999995,55.300000000000004,56.774234455627884,14.2,13.285714285714286,14.302994437137272,14.14,9.792857142857143,9.778503916709479,4.0,2.857142857142857,3.1721081612697057,99.66,94.02857142857144,97.66496124060183,74.92,75.64999999999999,77.55051617520415,23.4,24.357142857142858,25.69278182651822,0.55,0.5071428571428572,0.5506494135755429,50.0,52.57142857142857,50.38632761366425,0.4892,0.4556428571428572,0.49782642601279675,24.6,23.928571428571427,25.10572198983519,0.44580000000000003,0.4192857142857143,0.42398976054413073,22.2,21.857142857142858,21.213989887870905,0.7034,0.7009285714285715,0.7259634961046164,15.4,15.142857142857142,15.22645599417433,5.0,3.0714285714285716,4.73202920612699,200.0,200.0,200.0,100.94,97.80714285714285,102.0190359795349,23.46,28.814285714285713,24.935324021543945,6.4,8.785714285714286,6.821115294705027,17.8,18.642857142857142,17.78979792676892,70.6,68.28571428571429,70.6823259778602,9.4,10.335714285714285,7.870960840431959,6.6,7.285714285714286,5.5042867725046944,0.30920000000000003,0.31028571428571433,0.2910754997575774,15.2,16.142857142857142,14.465985248911295,0.3718,0.3189285714285714,0.3386159460786805,6.0,5.285714285714286,5.244426004015499,50.68,53.107142857142854,53.78271021618581,29.8,33.142857142857146,32.513897121223245,0.5806,0.5439999999999999,0.5846081402576518,20.34,20.085714285714285,20.111620606363957,15.2,15.571428571428571,15.023981338787689,34.8,36.42857142857143,35.92034236475295,0.5227999999999999,0.5086428571428572,0.5446555277694671,18.6,18.642857142857142,19.86129598581969,0.5772,0.6182142857142857,0.6029891414725875,7.0,4.428571428571429,7.278247256045357
2020-01-06,"Jack Stephens Center, Little Rock, Arkansas",Georgia Southern,Little Rock,Home,75.0,21,10.8,4,100.0,78.1,25,0.6,50,0.56,28,0.6,30,0.633,19,5,200,108.2,28.0,7,20,79,8.2,6,0.24,12,0.333,4,56.1,32,0.615,19.2,15,38,0.632,24,0.688,11,57.160000000000004,54.72666666666667,53.41615630375193,15.4,13.333333333333334,14.201996291424848,10.879999999999999,9.806666666666667,9.852335944472987,3.8,2.933333333333333,3.4480721075131378,99.02000000000001,95.46666666666667,103.64330749373455,75.24,75.43333333333334,75.83367745013611,24.2,24.133333333333333,24.128521217678816,0.5892000000000001,0.5146666666666667,0.5737662757170285,51.6,52.666666666666664,51.59088507577617,0.5264,0.4623333333333334,0.5172176173418646,27.2,24.333333333333332,26.737147993223463,0.4766,0.43206666666666665,0.48632650702942054,24.6,22.6,25.142659925247273,0.7216,0.7047333333333333,0.7366423307364109,17.6,15.8,18.484303996116218,5.0,3.2,4.82135280408466,200.0,200.0,200.0,108.28,99.25333333333333,107.84602398635661,27.22,29.653333333333332,30.423549347695968,7.4,9.0,8.547410196470018,18.4,18.533333333333335,17.52653195117928,78.4,69.86666666666666,77.78821731857347,7.6800000000000015,9.906666666666666,6.54730722695464,5.6,7.0,4.66952451500313,0.3062,0.31179999999999997,0.3050503331717183,15.6,16.266666666666666,15.643990165940865,0.387,0.3236,0.3554106307191204,6.4,5.4,5.829617336010333,53.339999999999996,53.36,54.82180681079055,31.6,33.13333333333333,32.675931414148835,0.618,0.5517333333333333,0.609738760171768,20.0,20.133333333333333,20.34108040424264,15.6,15.733333333333333,16.015987559191792,36.0,36.4,35.9468949098353,0.5706,0.5173333333333333,0.5761036851796448,20.8,18.933333333333334,20.90753065721313,0.6106,0.6214666666666666,0.6243260943150584,8.0,4.8,8.185498170696905
2020-01-09,"Trojan Arena, Troy, Alabama",Little Rock,Troy,Home,57.7,15,10.7,3,100.0,79.4,27,0.419,68,0.382,26,0.294,20,0.7,14,6,200,93.4,35.9,14,16,71,9.2,7,0.338,23,0.217,5,56.2,41,0.458,17.2,16,45,0.467,21,0.647,11,61.120000000000005,55.99375,60.61077086916796,16.4,13.8125,16.467997527616568,8.52,9.86875,10.168223962981992,3.2,3.0,3.6320480716754258,103.12,95.75,102.42887166248971,77.52000000000001,75.6,76.58911830009075,24.0,24.1875,24.419014145119213,0.5888000000000001,0.52,0.5825108504780191,50.8,52.5,51.06059005051745,0.531,0.4684375,0.5314784115612431,27.0,24.5625,27.158098662148976,0.47800000000000004,0.4425625,0.5242176713529471,24.2,23.0625,26.761773283498183,0.717,0.70025,0.7020948871576074,17.2,16.0,18.65620266407748,5.0,3.3125,4.880901869389774,200.0,200.0,200.0,107.85999999999999,99.8125,107.96401599090441,27.82,29.55,29.615699565130647,7.4,8.875,8.03160679764668,18.6,18.625,18.351021300786186,77.0,70.4375,78.19214487904898,6.76,9.8,7.09820481796976,4.8,6.9375,5.1130163433354205,0.3024,0.3073125,0.2833668887811456,15.2,16.0,14.42932677729391,0.3536,0.3241875,0.3479404204794136,5.8,5.3125,5.219744890673556,54.7,53.53125,55.2478712071937,31.4,33.0625,32.450620942765894,0.6168,0.5556875,0.6114925067811787,20.220000000000002,20.075,19.960720269495095,15.6,15.6875,15.677325039461197,35.6,36.5,36.63126327322354,0.587,0.5245,0.5947357901197632,21.2,19.25,21.93835377147542,0.6392,0.625625,0.6455507295433722,9.0,5.1875,9.12366544713127
