date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2010-01-02,"The Pavilion, Davis, California",CAL-STATE-FULLERTON,CALIFORNIA-DAVIS,Home,76.2,16,3.8,1,86.3,75.0,25,0.531,48,0.438,21,0.542,26,0.615,16,8,200.0,91.8,11.1,2,21,67,9.6,7,0.333,16.0,0.563,9.0,45.8,27,0.555,21.2,16,32.0,0.375,12.0,0.385,5,55.279999999999994,55.279999999999994,55.15432098765433,12.4,12.4,12.308641975308644,6.16,6.16,6.176543209876545,2.0,2.0,2.049382716049383,111.42,111.42,111.08024691358025,64.96000000000001,64.96000000000001,66.97777777777779,17.6,17.6,18.740740740740744,0.5048,0.5048,0.4928641975308642,51.8,51.8,52.60493827160495,0.4384,0.4384,0.42771604938271607,22.6,22.6,22.46913580246914,0.46799999999999997,0.46799999999999997,0.46497530864197534,23.8,23.8,24.07407407407408,0.5772,0.5772,0.6063333333333334,13.8,13.8,14.641975308641978,3.0,3.0,3.5061728395061733,200.0,200.0,200.0,94.12,94.12,95.14567901234568,28.26,28.26,30.192592592592597,8.6,8.6,9.283950617283953,22.0,22.0,22.679012345679013,65.6,65.6,66.25925925925927,11.82,11.82,12.376543209876544,8.2,8.2,8.592592592592593,0.3694,0.3694,0.363604938271605,19.0,19.0,19.09876543209877,0.347,0.347,0.34944444444444445,6.6,6.6,6.679012345679013,44.239999999999995,44.239999999999995,46.24691358024692,26.2,26.2,28.024691358024693,0.5224,0.5224,0.5187901234567902,20.76,20.76,20.055555555555557,16.2,16.2,15.777777777777779,32.8,32.8,33.50617283950618,0.48600000000000004,0.48600000000000004,0.46797530864197534,16.0,16.0,15.790123456790127,0.2466,0.2466,0.2813703703703704,1.6,1.6,1.962962962962963
2010-01-04,"The Pavilion, Davis, California",CAL-STATE-NORTHRIDGE,CALIFORNIA-DAVIS,Home,66.7,18,4.3,2,89.0,63.4,27,0.542,60,0.45,27,0.45,27,0.741,20,8,200.0,103.7,23.5,7,25,85,15.9,13,0.383,23.0,0.478,11.0,45.3,34,0.584,18.2,16,37.0,0.432,16.0,0.429,6,60.14,58.76666666666667,62.16954732510289,12.8,13.0,13.539094650205765,5.4399999999999995,5.766666666666667,5.384362139917697,1.8,1.8333333333333333,1.6995884773662553,103.4,107.23333333333333,102.8201646090535,65.67999999999999,66.63333333333334,69.65185185185186,18.4,18.833333333333332,20.827160493827165,0.5158,0.5091666666666667,0.5055761316872428,49.0,51.166666666666664,51.069958847736636,0.43899999999999995,0.4383333333333333,0.4311440329218107,21.4,22.333333333333332,21.97942386831276,0.5022,0.48033333333333333,0.4906502057613169,24.4,24.166666666666668,24.716049382716058,0.5784,0.5835,0.6092222222222223,14.2,14.166666666666666,15.094650205761319,4.4,3.8333333333333335,5.004115226337449,200.0,200.0,200.0,92.2,93.73333333333333,94.03045267489712,21.34,25.400000000000002,23.8283950617284,6.0,7.5,6.855967078189303,21.6,21.833333333333332,22.11934156378601,64.4,65.83333333333333,66.50617283950618,11.8,11.450000000000001,11.451028806584363,8.2,8.0,8.06172839506173,0.36500000000000005,0.36333333333333334,0.35340329218107003,17.8,18.5,18.065843621399182,0.41419999999999996,0.383,0.42062962962962963,7.4,7.0,7.452674897119342,41.980000000000004,44.5,46.09794238683128,24.4,26.333333333333332,27.683127572016463,0.5332000000000001,0.5278333333333333,0.5308600823045269,21.36,20.833333333333332,20.43703703703704,16.2,16.166666666666668,15.851851851851855,31.2,32.666666666666664,33.004115226337454,0.45099999999999996,0.4675,0.43698353909465026,14.0,15.333333333333334,14.526748971193419,0.3236,0.26966666666666667,0.31591358024691363,2.6,2.1666666666666665,2.9753086419753085
2010-01-08,"The Thunderdome, Santa Barbara, California",CALIFORNIA-DAVIS,CALIFORNIA-SANTA-BARBARA,Home,29.4,5,0.0,0,107.9,69.6,16,0.43,43,0.395,17,0.326,14,0.714,10,9,200.0,74.6,20.0,5,13,47,12.7,8,0.372,16.0,0.188,3.0,43.8,21,0.473,26.8,18,27.0,0.519,14.0,0.4,6,58.94000000000001,59.9,63.67969821673527,13.2,13.714285714285714,15.026063100137177,5.76,5.557142857142857,5.022908093278465,2.0,1.8571428571428572,1.7997256515775035,96.2,104.62857142857142,98.21344307270235,69.12,66.17142857142856,67.56790123456791,21.4,20.0,22.884773662551446,0.4986,0.5138571428571429,0.5177174211248285,52.4,52.42857142857143,54.04663923182443,0.4266,0.44,0.4374293552812072,22.4,23.0,23.65294924554184,0.4852,0.47600000000000003,0.4771001371742113,25.2,24.571428571428573,25.47736625514404,0.6396,0.606,0.6531481481481483,16.2,15.0,16.72976680384088,5.6,4.428571428571429,6.0027434842249665,200.0,200.0,200.0,96.1,95.15714285714286,97.25363511659808,25.3,25.12857142857143,23.71893004115227,7.2,7.428571428571429,6.903978052126202,22.8,22.285714285714285,23.079561042524006,68.6,68.57142857142857,72.67078189300412,13.14,12.085714285714285,12.934019204389575,9.4,8.714285714285714,9.707818930041153,0.34859999999999997,0.36614285714285716,0.3632688614540467,18.4,19.142857142857142,19.71056241426612,0.4097999999999999,0.3965714285714285,0.43975308641975314,7.6,7.571428571428571,8.635116598079563,46.14,44.614285714285714,45.83196159122085,28.6,27.428571428571427,29.788751714677645,0.5314,0.5358571428571428,0.5485733882030179,19.14,20.457142857142856,19.69135802469136,15.0,16.142857142857142,15.901234567901238,34.0,33.285714285714285,34.33607681755831,0.433,0.46242857142857147,0.4353223593964335,14.8,15.428571428571429,15.017832647462281,0.40940000000000004,0.2924285714285714,0.35360905349794247,3.8,2.7142857142857144,3.983539094650206
2010-01-10,"Robert A. Mott Gymnasium, San Luis Obispo, California",CALIFORNIA-DAVIS,CAL-POLY,Home,75.0,18,2.6,1,110.8,55.0,11,0.63,46,0.522,24,0.522,24,0.458,11,10,200.0,106.2,41.7,10,18,69,10.8,7,0.435,20.0,0.5,10.0,47.7,21,0.601,24.1,18,26.0,0.538,14.0,0.375,6,57.86,56.0875,52.25313214449018,12.6,12.625,11.684042066758119,3.8200000000000003,4.8625,3.348605395518977,1.4,1.625,1.1998171010516692,98.1,105.0375,101.44229538180157,68.04,66.6,68.24526748971195,21.8,19.5,20.58984910836763,0.492,0.503375,0.4884782807498857,50.2,51.25,50.36442615454962,0.42040000000000005,0.434375,0.42328623685413813,21.2,22.25,21.435299497027895,0.469,0.45725000000000005,0.4267334247828075,23.6,23.25,21.651577503429365,0.6734,0.6194999999999999,0.6734320987654322,15.8,14.375,14.486511202560589,6.8,5.0,7.001828989483312,200.0,200.0,200.0,91.64,92.5875,89.70242341106538,22.82,24.4875,22.479286694101514,6.4,7.125,6.269318701417468,21.6,21.125,19.719707361682673,65.6,65.875,64.11385459533608,13.180000000000001,12.1625,12.856012802926383,9.4,8.625,9.138545953360769,0.3564,0.366875,0.3661792409693645,18.0,18.75,18.473708276177415,0.4029999999999999,0.3705,0.35583539094650213,7.4,7.0,6.756744398719709,45.7,44.5125,45.1546410608139,28.2,26.625,26.8591678097851,0.5298,0.528,0.523382258802012,21.32,21.25,22.06090534979424,16.2,16.375,16.600823045267493,32.2,32.5,31.890717878372207,0.4312,0.46950000000000003,0.463214906264289,13.8,15.25,14.678555098308188,0.40940000000000004,0.305875,0.36907270233196166,4.6,3.125,4.655692729766804
2010-01-23,"A.G. Spanos Center, Stockton, California",CALIFORNIA-DAVIS,PACIFIC,Home,39.1,9,2.9,1,124.2,53.3,16,0.471,52,0.442,23,0.346,18,0.667,12,11,200.0,98.4,24.1,7,25,61,4.8,3,0.288,15.0,0.2,3.0,39.0,23,0.504,14.3,8,37.0,0.541,20.0,0.389,7,61.28000000000001,58.1888888888889,59.83542142966012,14.0,13.222222222222221,13.789361377838746,3.1599999999999997,4.611111111111111,3.0990702636793186,1.2,1.5555555555555556,1.133211400701113,102.42,105.67777777777778,104.56153025453438,66.67999999999999,65.3111111111111,63.83017832647464,19.8,18.555555555555557,17.393232738911756,0.5266,0.5174444444444445,0.5356521871665905,50.0,50.666666666666664,48.90961743636642,0.44399999999999995,0.4441111111111111,0.45619082456942545,22.2,22.444444444444443,22.290199664685264,0.4586,0.46444444444444444,0.45848894985520505,23.0,23.333333333333332,22.434385002286245,0.639,0.6015555555555555,0.6016213991769548,14.6,14.0,13.32434080170706,8.2,5.555555555555555,8.001219326322207,200.0,200.0,200.0,94.42,94.1,95.20161560737694,24.259999999999998,26.400000000000002,28.886191129401013,6.4,7.444444444444445,7.512879134278313,20.0,20.77777777777778,19.146471574455116,67.4,66.22222222222223,65.74256973022406,12.580000000000002,12.011111111111111,12.170675201950923,9.0,8.444444444444445,8.425697302240513,0.38380000000000003,0.37444444444444447,0.38911949397957635,19.2,18.88888888888889,18.98247218411828,0.4316,0.3848888888888889,0.4038902606310014,8.4,7.333333333333333,7.837829599146473,45.4,44.86666666666667,46.00309404054261,26.2,26.0,24.906111873190067,0.5498,0.5361111111111111,0.5492548392013413,22.080000000000002,21.566666666666666,22.740603566529494,16.8,16.555555555555557,17.067215363511664,30.8,31.77777777777778,29.92714525224814,0.454,0.47711111111111115,0.4881432708428594,13.8,15.11111111111111,14.452370065538792,0.3844,0.3135555555555556,0.37104846822130777,5.2,3.4444444444444446,5.103795153177869
2010-02-04,"The Pavilion, Davis, California",CAL-POLY,CALIFORNIA-DAVIS,Home,63.0,17,15.6,5,90.0,64.7,24,0.546,54,0.5,27,0.463,25,0.96,24,12,200.0,118.6,26.3,3,23,83,12.9,9,0.296,16.0,0.313,5.0,50.9,27,0.63,11.0,8,38.0,0.579,22.0,0.429,9,57.28000000000001,56.28000000000001,52.923614286440085,13.2,12.8,12.192907585225832,2.7199999999999998,4.4399999999999995,3.032713509119546,1.0,1.5,1.0888076004674088,103.64000000000001,107.53,111.10768683635627,63.260000000000005,64.11,60.32011888431643,19.0,18.3,16.92882182594117,0.5208,0.5128,0.5141014581110603,49.8,50.8,49.939744957577616,0.44939999999999997,0.4439,0.4514605497129503,22.4,22.5,22.526799776456844,0.4372,0.4526,0.42099263323680336,21.8,22.8,20.956256668190832,0.639,0.6081,0.6234142661179699,13.8,13.8,12.882893867804707,9.2,6.1,9.000812884214806,200.0,200.0,200.0,94.94,94.53,96.2677437382513,24.080000000000002,26.169999999999998,27.290794086267347,6.2,7.4,7.341919422852209,20.4,21.2,21.097647716303413,65.8,65.7,64.16171315348271,10.76,11.290000000000001,9.713783467967282,7.6,7.9,6.617131534827009,0.36219999999999997,0.3658,0.35541299598638426,18.0,18.5,17.654981456078854,0.3858,0.36639999999999995,0.3359268404206676,7.2,6.9,6.225219732764316,44.32000000000001,44.28,43.66872936036174,25.2,25.7,24.270741248793378,0.5433999999999999,0.5328999999999999,0.5341698928008942,20.92,20.84,19.927069044352997,15.2,15.7,14.04481024234111,31.8,32.3,32.28476350149876,0.48100000000000004,0.4835,0.5057621805619064,15.2,15.6,16.301580043692528,0.3956,0.32110000000000005,0.3770323121475385,6.0,3.8,5.735863435451913
2010-02-06,"The Pavilion, Davis, California",CALIFORNIA-SANTA-BARBARA,CALIFORNIA-DAVIS,Away,67.9,19,12.1,4,120.9,76.2,21,0.534,58,0.483,28,0.397,23,0.652,15,13,200.0,114.9,51.6,11,20,77,9.0,6,0.345,20.0,0.3,6.0,61.5,32,0.559,18.0,15,38.0,0.579,22.0,0.409,9,54.64000000000001,56.8909090909091,56.28240952429339,13.4,13.181818181818182,13.79527172348389,5.08,5.454545454545454,7.221809006079697,1.8,1.8181818181818181,2.3925384003116057,104.38000000000002,105.93636363636364,104.07179122423751,61.2,64.16363636363636,61.78007925621095,18.8,18.818181818181817,19.285881217294115,0.5237999999999999,0.5158181818181818,0.5247343054073736,51.0,51.09090909090909,51.29316330505175,0.46180000000000004,0.449,0.4676403664753003,23.6,22.90909090909091,24.0178665176379,0.42140000000000005,0.45354545454545453,0.4349950888245356,21.6,23.0,22.30417111212722,0.708,0.6400909090909092,0.7356095107453133,15.4,14.727272727272727,16.588595911869806,10.0,6.636363636363637,10.000541922809871,200.0,200.0,200.0,100.3,96.71818181818183,103.7118291588342,27.119999999999997,26.181818181818183,26.9605293908449,6.4,7.0,5.89461294856814,20.8,21.363636363636363,21.731765144202278,69.0,67.27272727272727,70.4411421023218,11.420000000000002,11.436363636363636,10.775855645311522,8.0,8.0,7.411421023218007,0.35479999999999995,0.35945454545454547,0.3356086639909228,18.0,18.272727272727273,17.10332097071924,0.3358,0.36154545454545456,0.3282845602804451,6.4,6.7272727272727275,5.816813155176211,45.339999999999996,44.88181818181818,46.07915290690782,25.2,25.818181818181817,25.180494165862253,0.5584,0.5417272727272727,0.5661132618672629,18.880000000000003,19.945454545454545,16.951379362902,13.6,15.0,12.029873494894074,33.0,32.81818181818182,34.18984233433251,0.5218,0.49218181818181816,0.530174787041271,17.2,16.181818181818183,18.201053362461685,0.4044,0.33090909090909093,0.39435487476502573,6.8,4.2727272727272725,6.8239089569679425
2010-02-10,"The Pavilion, Davis, California",PACIFIC,CALIFORNIA-DAVIS,Home,45.0,9,16.1,5,98.3,60.0,20,0.511,45,0.444,20,0.467,21,0.762,16,13,200.0,103.3,23.1,4,16,62,16.7,10,0.311,14.0,0.429,6.0,42.9,24,0.564,16.9,11,31.0,0.452,14.0,0.435,10,54.88000000000001,57.80833333333334,60.15493968286226,13.6,13.666666666666666,15.53018114898926,6.640000000000001,6.008333333333333,8.847872670719799,2.2,2.0,2.9283589335410705,110.76000000000002,107.18333333333334,109.68119414949169,63.760000000000005,65.16666666666667,66.58671950414063,17.6,19.0,19.857254144862743,0.5222,0.5173333333333333,0.5278228702715825,50.6,51.666666666666664,53.528775536701175,0.46840000000000004,0.4518333333333333,0.47276024431686686,23.8,23.333333333333332,25.345244345091935,0.41080000000000005,0.44883333333333336,0.42233005921635713,20.8,23.0,22.53611407475148,0.6902,0.6410833333333333,0.7077396738302089,14.4,14.75,16.05906394124654,11.0,7.166666666666667,11.000361281873248,200.0,200.0,200.0,102.54,98.23333333333333,107.4412194392228,32.739999999999995,28.3,35.17368626056327,7.2,7.333333333333333,7.59640863237876,19.8,21.25,21.154510096134853,67.4,68.08333333333333,72.62742806821454,10.040000000000001,11.233333333333334,10.183903763541014,6.6,7.833333333333333,6.9409473488120055,0.3472,0.35825,0.3387391093272819,17.4,18.416666666666668,18.06888064714616,0.30019999999999997,0.35641666666666666,0.3188563735202968,5.4,6.666666666666667,5.877875436784141,48.58,46.26666666666667,51.219435271271884,24.8,26.333333333333332,27.453662777241505,0.5534000000000001,0.5431666666666667,0.5637421745781752,18.84,19.783333333333335,17.300919575268,13.4,15.0,13.019915663262717,33.2,33.25,35.45989488955501,0.5512,0.4994166666666667,0.546449858027514,18.4,16.666666666666668,19.46736890830779,0.40040000000000003,0.3374166666666667,0.3992365831766838,7.4,4.666666666666667,7.549272637978629
2010-03-04,"The Matadome, Northridge, California",CALIFORNIA-DAVIS,CAL-STATE-NORTHRIDGE,Home,55.0,11,6.7,3,95.9,47.1,17,0.409,55,0.364,20,0.418,23,0.913,21,17,200.0,90.4,30.3,9,25,66,12.3,9,0.382,21.0,0.238,5.0,38.8,26,0.501,21.7,18,34.0,0.441,15.0,0.414,12,58.0,56.823076923076925,55.10329312190818,14.4,13.307692307692308,13.353454099326175,9.86,6.7846153846153845,11.265248447146533,3.2,2.230769230769231,3.6189059556940473,108.84,106.5,105.8874627663278,61.839999999999996,64.76923076923077,64.39114633609375,18.4,19.076923076923077,19.904836096575163,0.5384,0.5168461538461538,0.5222152468477217,51.0,51.15384615384615,50.68585035780079,0.4782,0.4512307692307692,0.4631734962112446,24.4,23.076923076923077,23.56349623006129,0.43900000000000006,0.4502307692307692,0.4372200394775715,22.2,22.846153846153847,22.02407604983432,0.6998,0.6503846153846153,0.7258264492201393,15.6,14.846153846153847,16.039375960831027,11.8,7.615384615384615,11.666907521248833,200.0,200.0,200.0,108.28,98.62307692307692,106.06081295948186,33.36,27.9,31.14912417370885,7.0,7.076923076923077,6.397605754919174,20.4,20.846153846153847,19.436340064089904,70.4,67.61538461538461,69.08495204547637,10.84,11.653846153846153,12.355935842360676,7.0,8.0,7.960631565874671,0.33499999999999996,0.35461538461538467,0.32949273955152125,17.0,18.076923076923077,16.71258709809744,0.3484,0.362,0.35557091568019783,6.0,6.615384615384615,5.9185836245227605,48.4,46.00769230769231,48.446290180847924,25.4,26.153846153846153,26.30244185149434,0.5716,0.5447692307692308,0.5638281163854502,16.860000000000003,19.56153846153846,17.167279716845336,12.0,14.692307692307692,12.346610442175145,34.0,33.07692307692308,33.973263259703344,0.5378000000000001,0.4957692307692308,0.5149665720183427,18.4,16.46153846153846,17.64491260553853,0.4074,0.34492307692307694,0.4111577221177892,8.2,5.076923076923077,8.36618175865242
2010-03-06,"Titan Gym, Fullerton, California",CALIFORNIA-DAVIS,CAL-STATE-FULLERTON,Away,61.5,16,9.5,4,108.9,71.4,26,0.593,54,0.481,26,0.648,35,0.8,28,17,225.0,116.5,24.1,6,21,92,7.6,6,0.389,21.0,0.571,12.0,50.0,32,0.651,17.8,14,33.0,0.424,14.0,0.433,13,54.0,56.69285714285714,55.06886208127213,13.0,13.142857142857142,12.568969399550785,10.68,6.778571428571429,9.743498964764356,3.6,2.2857142857142856,3.4126039704626985,105.85999999999999,105.74285714285715,102.55830851088521,60.260000000000005,63.50714285714286,58.62743089072917,19.6,18.928571428571427,18.936557397716776,0.49420000000000003,0.5091428571428571,0.48447683123181445,52.8,51.42857142857143,52.123900238533864,0.4466,0.445,0.4301156641408298,23.6,22.857142857142858,22.375664153374196,0.4182,0.4479285714285714,0.43081335965171436,22.0,22.857142857142858,22.349384033222883,0.7908,0.6691428571428572,0.7882176328134263,17.6,15.285714285714286,17.692917307220686,13.2,8.285714285714286,13.444605014165889,200.0,200.0,200.0,105.12,98.03571428571429,100.84054197298792,31.080000000000002,28.071428571428573,30.866082782472567,6.8,7.214285714285714,7.26507050327945,21.8,21.142857142857142,21.290893376059934,69.8,67.5,68.05663469698425,11.14,11.700000000000001,12.337290561573784,7.4,8.071428571428571,8.307087710583115,0.32439999999999997,0.3565714285714286,0.3469951597010142,17.2,18.285714285714285,18.14172473206496,0.296,0.35314285714285715,0.3163806104534652,5.0,6.5,5.612389083015174,46.620000000000005,45.49285714285714,45.23086012056528,26.4,26.142857142857142,26.20162790099623,0.5516,0.5416428571428572,0.5428854109236334,16.38,19.714285714285715,18.67818647789689,12.0,14.928571428571429,14.231073628116764,35.6,33.142857142857146,33.9821755064689,0.5184,0.4918571428571429,0.49031104801222847,18.6,16.357142857142858,16.763275070359022,0.4152,0.3498571428571428,0.41210514807852616,9.4,5.571428571428571,9.57745450576828
2010-03-11,"Honda Center, Anaheim, California",CALIFORNIA-DAVIS,CAL-STATE-FULLERTON,Away,36.0,9,7.7,3,100.0,82.1,23,0.5,54,0.463,25,0.296,16,0.875,14,17,200.0,104.6,28.6,8,12,68,3.1,2,0.296,16.0,0.25,4.0,55.4,31,0.552,15.3,10,38.0,0.553,21.0,0.452,14,58.480000000000004,57.013333333333335,57.21257472084809,14.4,13.333333333333334,13.71264626636719,12.0,6.96,9.662332643176239,4.2,2.4,3.608402646975133,102.8,105.95333333333333,104.67220567392349,63.879999999999995,64.03333333333333,62.88495392715279,21.6,19.4,21.29103826514452,0.5186,0.5147333333333334,0.5206512208212097,53.2,51.6,52.74926682568925,0.45439999999999997,0.4474,0.4470771094272199,24.2,23.066666666666666,23.583776102249466,0.47859999999999997,0.4612666666666667,0.5032089064344762,25.4,23.666666666666668,26.56625602214859,0.8173999999999999,0.6778666666666666,0.7921450885422843,20.8,16.133333333333333,21.128611538147126,14.4,8.866666666666667,14.629736676110593,205.0,201.66666666666666,208.33333333333334,108.74000000000001,99.26666666666667,106.06036131532528,31.080000000000002,27.80666666666667,28.610721854981712,6.6,7.133333333333334,6.843380335519634,21.0,21.133333333333333,21.19392891737329,76.0,69.13333333333334,76.03775646465617,11.7,11.426666666666668,10.758193707715858,8.0,7.933333333333334,7.538058473722077,0.3446,0.35873333333333335,0.36099677313400946,18.4,18.466666666666665,19.094483154709977,0.3702,0.36766666666666664,0.40125374030231015,6.8,6.866666666666666,7.741592722010116,48.82000000000001,45.79333333333333,46.82057341371019,28.2,26.533333333333335,28.134418600664155,0.5810000000000001,0.5489333333333334,0.5789236072824223,17.080000000000002,19.586666666666666,18.38545765193126,13.2,14.866666666666667,14.154049085411177,34.8,33.13333333333333,33.65478367097927,0.495,0.48733333333333334,0.46820736534148566,17.4,16.2,15.842183380239348,0.42400000000000004,0.35540000000000005,0.41907009871901746,10.6,6.066666666666666,10.71830300384552
2010-03-12,"Honda Center, Anaheim, California",CALIFORNIA-SANTA-BARBARA,CALIFORNIA-DAVIS,Away,38.1,8,3.0,1,115.2,76.9,20,0.452,52,0.404,21,0.385,20,0.75,15,18,200.0,93.9,29.0,9,19,62,3.0,2,0.269,14.0,0.357,5.0,50.9,29,0.504,17.6,13,38.0,0.421,16.0,0.438,14,53.080000000000005,55.7,50.1417164805654,12.8,13.0625,12.141764177578128,10.42,7.0062500000000005,9.008221762117493,3.8,2.4375,3.405601764650089,104.8,105.58125,103.11480378261567,67.36,65.1625,69.28996928476853,21.4,19.625,21.860692176763013,0.5094000000000001,0.5138125,0.5137674805474732,53.2,51.75,53.166177883792834,0.44699999999999995,0.448375,0.4523847396181466,23.8,23.1875,24.05585073483298,0.4452,0.4509375,0.43413927095631755,23.6,23.1875,23.044170681432394,0.8004,0.6901875,0.8197633923615228,18.8,16.0,18.752407692098085,15.4,9.375,15.419824450740396,205.0,201.5625,205.55555555555557,105.93999999999998,99.6,105.57357421021686,31.54,27.85625,28.60714790332114,7.6,7.1875,7.228920223679756,18.8,20.5625,18.12928594491553,73.0,69.0625,73.35850430977078,9.739999999999998,10.90625,8.205462471810574,6.6,7.5625,5.692038982481385,0.3446,0.3548125,0.33933118208933966,18.4,18.3125,18.06298876980665,0.3576,0.3603125,0.3508358268682068,6.6,6.6875,6.4943951480067446,49.72,46.39375,49.68038227580679,29.0,26.8125,29.08961240044277,0.5654,0.549125,0.5699490715216149,17.94,19.31875,17.356971767954175,13.6,14.5625,12.769366056940786,34.8,33.4375,35.10318911398618,0.48979999999999996,0.4914375,0.4964715768943238,17.2,16.5,17.561455586826234,0.4286,0.3614375,0.430046732479345,11.6,6.5625,11.81220200256368
2010-11-12,"Chiles Center, Portland, Oregon",CALIFORNIA-DAVIS,FLORIDA-ATLANTIC,Home,63.2,12,0.0,0,97.2,80.0,24,0.441,51,0.373,19,0.431,22,0.818,18,1,200.0,87.5,24.1,7,31,63,6.9,5,0.392,20.0,0.35,7.0,52.5,31,0.513,22.9,18,31.0,0.387,12.0,0.0,0,47.120000000000005,54.66470588235295,46.1278109870436,10.6,12.764705882352942,10.76117611838542,8.6,6.7705882352941185,7.005481174744996,3.2,2.3529411764705883,2.6037345097667264,103.66000000000001,106.1470588235294,107.14320252174377,67.5,65.8529411764706,71.82664618984569,21.2,19.647058823529413,21.240461451175342,0.493,0.5101764705882353,0.4931783203649822,52.0,51.76470588235294,52.777451922528556,0.4311999999999999,0.44576470588235295,0.43625649307876446,22.4,23.058823529411764,23.03723382322199,0.44279999999999997,0.4470588235294118,0.4177595139708784,23.0,23.0,22.02944712095493,0.82,0.6937058823529412,0.7965089282410153,18.8,15.941176470588236,17.501605128065393,16.4,9.882352941176471,16.279882967160265,205.0,201.47058823529412,203.70370370370372,101.74,99.26470588235294,101.68238280681125,27.02,27.923529411764704,28.738098602214095,7.2,7.294117647058823,7.819280149119838,18.6,20.470588235294116,18.419523963277022,70.0,68.6470588235294,69.57233620651385,8.540000000000001,10.441176470588236,6.470308314540383,5.8,7.235294117647059,4.461359321654258,0.3294,0.3497647058823529,0.3158874547262265,17.2,18.058823529411764,16.708659179871102,0.369,0.36011764705882354,0.3528905512454712,6.4,6.588235294117647,5.996263432004497,47.6,46.65882352941177,50.08692151720453,28.4,26.941176470588236,29.059741600295183,0.5544,0.546470588235294,0.5479660476810766,17.86,19.21764705882353,17.437981178636118,13.2,14.470588235294118,12.846244037960524,34.8,33.705882352941174,36.06879274265746,0.4582,0.4872941176470589,0.4713143845962159,16.0,16.470588235294116,17.040970391217492,0.4344,0.3659411764705882,0.4326978216528967,12.6,7.0,12.54146800170912
