date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-26,"Hard Rock Hotel Riviera Maya, Cancun",UT-Martin,Gardner-Webb,Home,69.0,20,17.9,5,94.1,76.7,23,0.683,52,0.558,29,0.308,16,0.625,10,5,200,119.1,27.3,6,17,81,7.4,5,0.423,22,0.591,13,55.8,29,0.68,19.2,14,30,0.533,16,0.167,1,60.11999999999999,60.11999999999999,63.99012345679013,12.0,12.0,12.629629629629632,10.7,10.7,9.462962962962965,3.2,3.2,2.9629629629629637,104.58,104.58,106.22716049382718,68.7,68.7,69.08641975308643,19.8,19.8,19.395061728395063,0.4532,0.4532,0.4585802469135803,54.0,54.0,53.33333333333334,0.384,0.384,0.3811234567901235,20.8,20.8,20.38271604938272,0.3096,0.3096,0.3293703703703704,16.6,16.6,17.481481481481485,0.7056,0.7056,0.7271111111111113,12.0,12.0,13.074074074074076,3.0,3.0,3.3950617283950617,200.4,200.4,200.19753086419755,86.78,86.78,89.45925925925927,20.22,20.22,18.918518518518525,6.4,6.4,5.8271604938271615,20.6,20.6,19.49382716049383,60.8,60.8,61.86419753086421,8.82,8.82,8.513580246913582,6.2,6.2,5.901234567901235,0.3674,0.3674,0.3831851851851853,19.6,19.6,20.23456790123457,0.35219999999999996,0.35219999999999996,0.3892716049382716,7.2,7.2,8.024691358024693,43.339999999999996,43.339999999999996,43.061728395061735,26.2,26.2,25.22222222222223,0.49139999999999995,0.49139999999999995,0.5016172839506174,19.28,19.28,17.745679012345683,14.8,14.8,13.259259259259261,34.4,34.4,33.09876543209877,0.37839999999999996,0.37839999999999996,0.3587777777777778,13.6,13.6,12.358024691358025,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-27,"Hard Rock Hotel Riviera Maya, Cancun",Gardner-Webb,Northern Colorado,Away,35.7,10,27.6,8,92.5,76.7,33,0.517,58,0.483,28,0.207,12,0.583,7,5,200,100.0,24.1,7,10,67,7.5,5,0.241,14,0.286,4,55.6,40,0.526,12.5,9,44,0.545,24,0.286,2,57.55999999999999,61.6,65.66008230452675,12.4,13.333333333333334,15.086419753086421,9.459999999999999,11.9,12.275308641975311,2.8,3.5,3.641975308641976,102.82000000000001,102.83333333333333,102.18477366255146,68.7,70.03333333333335,71.62427983539096,19.8,20.333333333333332,20.596707818930042,0.495,0.4915,0.5333868312757202,53.0,53.666666666666664,52.8888888888889,0.41839999999999994,0.413,0.440082304526749,22.2,22.166666666666668,23.255144032921812,0.32199999999999995,0.3093333333333333,0.32224691358024693,17.0,16.5,16.98765432098766,0.702,0.6921666666666667,0.6930740740740742,12.2,11.666666666666666,12.049382716049386,3.8,3.3333333333333335,3.9300411522633745,200.4,200.33333333333334,200.13168724279836,92.08,92.16666666666667,99.33950617283952,19.2,21.400000000000002,21.71234567901235,5.4,6.333333333333333,5.884773662551441,20.4,20.0,18.66255144032922,64.4,64.16666666666667,68.24279835390948,8.54,8.583333333333334,8.142386831275722,6.0,6.0,5.60082304526749,0.3678,0.37666666666666665,0.3964567901234569,19.2,20.0,20.823045267489714,0.38699999999999996,0.39199999999999996,0.45651440329218107,7.8,8.166666666666666,9.683127572016463,43.88,45.416666666666664,47.30781893004116,25.2,26.666666666666668,26.481481481481488,0.5284,0.5228333333333334,0.5610781893004118,19.08,19.266666666666666,18.230452674897123,14.4,14.666666666666666,13.506172839506174,33.8,33.666666666666664,32.06584362139918,0.4122,0.4041666666666666,0.4168518518518519,14.4,14.0,13.572016460905353,0.0334,0.027833333333333335,0.05566666666666667,0.2,0.16666666666666666,0.3333333333333333
2019-12-03,"Paul Porter Arena, Boiling Springs, North Carolina","Coker
			",Gardner-Webb,Home,59.1,13,21.1,8,78.7,76.9,30,0.427,55,0.4,22,0.6,33,0.788,26,5,200,97.3,25.8,8,10,73,12.0,9,0.327,18,0.167,3,54.3,38,0.516,13.7,11,37,0.514,19,0.375,3,59.7,57.9,55.673388203017836,13.2,12.857142857142858,13.390946502057616,11.78,14.142857142857142,17.38353909465021,3.6,4.142857142857143,5.094650205761317,102.14,101.35714285714286,98.95651577503432,70.7,70.9857142857143,73.31618655692732,21.6,22.142857142857142,24.731138545953364,0.5105999999999999,0.49514285714285716,0.5279245541838136,53.2,54.285714285714285,54.59259259259261,0.43079999999999996,0.423,0.45438820301783267,23.0,23.0,24.83676268861454,0.3142,0.29471428571428576,0.28383127572016464,16.6,15.857142857142858,15.32510288065844,0.6900000000000001,0.6765714285714285,0.6563827160493828,11.8,11.0,10.366255144032927,4.4,3.5714285714285716,4.286694101508917,200.0,200.28571428571428,200.08779149519893,96.14,93.28571428571429,99.55967078189302,17.96,21.785714285714285,22.5082304526749,4.8,6.428571428571429,6.256515775034295,16.0,18.571428571428573,15.775034293552814,66.0,64.57142857142857,67.82853223593966,8.68,8.428571428571429,7.928257887517149,6.0,5.857142857142857,5.400548696844994,0.3774,0.35728571428571426,0.3446378600823046,19.8,19.142857142857142,18.548696844993145,0.40779999999999994,0.37685714285714284,0.3996762688614541,8.2,7.571428571428571,7.788751714677643,45.14,46.871428571428574,50.071879286694106,26.4,28.571428571428573,30.98765432098766,0.541,0.5232857142857144,0.5493854595336078,16.419999999999998,18.3,16.32030178326475,11.8,13.857142857142858,12.00411522633745,33.4,35.142857142857146,36.04389574759946,0.42560000000000003,0.42428571428571427,0.45956790123456803,14.8,15.428571428571429,17.048010973936904,0.09059999999999999,0.06471428571428571,0.13244444444444445,0.6,0.42857142857142855,0.8888888888888888
2019-12-07,"Richardson Indoor Stadium, Spartanburg, South Carolina",Gardner-Webb,Wofford,Home,32.1,9,3.7,1,115.7,70.4,19,0.492,62,0.452,28,0.371,23,0.696,16,6,200,110.0,24.2,8,15,77,7.1,5,0.387,24,0.208,5,45.0,27,0.528,8.8,7,38,0.605,23,0.333,3,62.0,58.05,56.81559213534523,13.8,12.875,13.260631001371745,14.98,15.0125,18.622359396433474,4.8,4.625,6.063100137174212,97.61999999999999,98.525,92.2043438500229,72.74,71.72500000000001,74.51079103795155,24.4,23.125,26.487425697302246,0.5136000000000001,0.48662500000000003,0.4942830361225424,52.8,54.375,54.728395061728406,0.4372,0.42012499999999997,0.4362588020118885,23.2,22.875,23.89117512574303,0.371,0.332875,0.3892208504801098,19.6,18.0,21.216735253772292,0.692,0.6905,0.7002551440329219,14.2,12.875,15.577503429355286,4.8,3.75,4.524462734339278,200.0,200.25,200.05852766346595,99.53999999999999,93.7875,98.80644718792868,21.360000000000003,22.2875,23.605486968449938,5.8,6.625,6.837677183356197,14.4,17.5,13.850022862368544,68.4,65.625,69.55235482395977,8.72,8.875,9.285505258344767,6.0,6.25,6.600365797896663,0.362,0.3535,0.3387585733882031,18.8,19.0,18.365797896662098,0.3978,0.35062499999999996,0.32211751257430277,7.8,7.0,6.192501143118429,49.44,47.8,51.48125285779608,30.2,29.75,33.32510288065844,0.5512,0.522375,0.5382569730224053,15.819999999999999,17.725,15.446867855509835,11.4,13.5,11.669410150891634,34.0,35.375,36.362597165066305,0.43420000000000003,0.4355,0.47771193415637875,15.4,15.875,17.698673982624605,0.16560000000000002,0.10350000000000001,0.21329629629629632,1.2,0.75,1.5925925925925926
2019-12-13,"KSU Convocation Center , Kennesaw, Georgia",Gardner-Webb,Kennesaw State,Home,27.3,6,9.1,3,125.0,72.4,21,0.41,61,0.361,22,0.295,18,0.611,11,7,200,89.7,20.5,8,18,61,1.5,1,0.377,23,0.261,6,42.6,29,0.439,9.2,7,38,0.421,16,0.3,3,49.660000000000004,55.166666666666664,48.57706142356349,12.6,12.444444444444445,11.840420667581165,15.0,13.755555555555555,13.648239597622318,4.8,4.222222222222222,4.375400091449475,97.64000000000001,100.43333333333334,100.03622923334859,74.22,71.57777777777778,73.14052735863437,24.8,22.666666666666668,23.99161713153483,0.5164,0.4872222222222222,0.49352202408169493,56.2,55.22222222222222,57.15226337448561,0.45640000000000003,0.4236666666666667,0.4415058680079257,25.6,23.444444444444443,25.26078341716202,0.37859999999999994,0.3371111111111111,0.3831472336534065,21.2,18.555555555555557,21.811156835848195,0.7112,0.6911111111111111,0.6988367626886146,15.6,13.222222222222221,15.71833561957019,5.2,4.0,5.016308489559519,200.0,200.22222222222223,200.03901844231063,105.28,95.58888888888889,102.53763145861913,23.240000000000002,22.5,23.803657978966626,6.6,6.777777777777778,7.225118122237465,14.6,17.22222222222222,14.233348574912364,73.4,66.88888888888889,72.03490321597319,7.960000000000001,8.677777777777779,8.557003505563177,5.6,6.111111111111111,6.066910531931109,0.346,0.3572222222222222,0.35483904892546875,19.4,19.555555555555557,20.2438652644414,0.33459999999999995,0.3347777777777778,0.28407834171620183,6.6,6.777777777777778,5.795000762078953,50.660000000000004,47.48888888888889,49.32083523853073,31.4,29.444444444444443,31.216735253772296,0.557,0.523,0.5348379820149369,13.079999999999998,16.733333333333334,13.231245237006558,9.8,12.777777777777779,10.112940100594423,36.8,35.666666666666664,36.9083981100442,0.5136000000000001,0.45433333333333337,0.5201412894375859,19.0,16.666666666666668,19.46578265508307,0.23220000000000002,0.129,0.25319753086419755,1.8,1.0,2.0617283950617287
2019-12-15,"Cassell Coliseum, Blacksburg, Virginia",Gardner-Webb,Virginia Tech,Home,75.0,12,16.0,4,109.0,81.8,27,0.355,55,0.291,16,0.291,16,0.438,7,8,200,68.7,14.6,6,12,46,4.5,3,0.509,28,0.25,7,44.6,33,0.367,15.1,11,27,0.333,9,0.273,3,44.64,52.379999999999995,41.484707615709,11.6,11.8,9.893613778387444,15.88,13.290000000000001,12.132159731748214,5.0,4.1,3.91693339429965,101.2,102.89000000000001,108.35748615556574,74.62,71.66,72.89368490575626,25.2,22.5,22.994411421023223,0.5058,0.4795,0.46568134938779665,57.6,55.8,58.43484224965708,0.4508,0.41740000000000005,0.41467057867195045,25.8,23.3,24.173855611441347,0.35619999999999996,0.3329,0.35376482243560436,20.4,18.5,20.540771223898798,0.6606,0.6830999999999999,0.6695578417924097,14.0,13.0,14.14555707971346,5.6,4.3,5.677538993039679,200.0,200.2,200.02601229487377,103.22,95.0,98.25842097241275,24.380000000000003,22.3,22.702438652644418,7.4,6.9,7.483412081491643,14.0,17.3,15.488899049941578,71.8,66.3,68.35660214398213,7.1,7.960000000000001,6.204669003708785,5.0,5.6,4.37794035462074,0.35100000000000003,0.3592,0.36222603261697917,20.2,19.9,21.162576842960934,0.3026,0.3274,0.2763855611441346,6.2,6.7,5.863333841385969,50.660000000000004,47.0,47.080556825687154,32.6,29.4,30.477823502514866,0.5378000000000001,0.5146,0.502891988009958,12.68,15.98,11.88749682467104,9.6,12.2,9.075293400396284,37.4,35.9,37.272265406696135,0.5236,0.45099999999999996,0.48709419295839057,19.6,16.6,18.31052177005538,0.2922,0.1461,0.26879835390946505,2.4,1.2,2.374485596707819
2019-12-19,"Paul Porter Arena, Boiling Springs, North Carolina","Bob Jones University
			",Gardner-Webb,Home,67.6,23,16.7,5,92.1,81.5,22,0.58,69,0.493,34,0.304,21,0.667,14,8,200,123.7,44.4,16,12,94,13.2,10,0.464,32,0.375,12,60.3,38,0.595,15.2,14,37,0.595,22,0.333,4,45.839999999999996,54.43636363636363,52.656471743806,10.0,11.818181818181818,10.595742518924963,15.5,13.536363636363637,13.421439821165478,4.8,4.090909090909091,3.9446222628664334,104.17999999999999,103.44545454545455,108.57165743704383,75.64,72.58181818181819,75.8624566038375,26.0,22.90909090909091,24.329607614015483,0.44020000000000004,0.4681818181818182,0.4287875662585311,58.2,55.72727272727273,57.289894833104725,0.39740000000000003,0.4059090909090909,0.373447052447967,23.2,22.636363636363637,21.44923707429423,0.35279999999999995,0.3290909090909091,0.3328432149570696,20.4,18.272727272727273,19.02718081593253,0.6232,0.6608181818181819,0.5923718945282732,13.4,12.454545454545455,11.763704719808974,6.2,4.636363636363637,6.451692662026453,200.0,200.1818181818182,200.01734152991585,93.14,92.60909090909091,88.4056139816085,21.84,21.599999999999998,20.001625768429612,7.4,6.818181818181818,6.988941387661096,13.0,16.818181818181817,14.325932699961053,64.8,64.45454545454545,60.904401429321425,6.5200000000000005,7.645454545454546,5.636446002472524,4.6,5.363636363636363,3.918626903080493,0.36819999999999997,0.3728181818181818,0.41115068841131946,21.4,20.636363636363637,23.441717895307292,0.2344,0.32036363636363635,0.26759037409608977,5.0,6.7272727272727275,6.242222560923979,48.42,46.78181818181818,46.25370455045811,33.4,29.727272727272727,31.31854900167658,0.47520000000000007,0.5011818181818182,0.4575946586733054,11.860000000000001,15.9,12.95833121644736,9.0,12.090909090909092,9.716862266930857,36.8,35.09090909090909,33.848176937797426,0.48360000000000003,0.44027272727272726,0.4357294619722604,18.2,15.909090909090908,15.207014513370256,0.3134,0.15763636363636363,0.2701989026063101,2.8,1.3636363636363635,2.582990397805213
2020-01-02,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",Gardner-Webb,Campbell,Away,35.0,7,5.3,2,97.0,77.1,27,0.489,44,0.455,20,0.659,29,0.828,24,8,200,100.0,43.5,10,13,67,10.4,7,0.273,12,0.25,3,63.8,37,0.58,25.1,19,32,0.531,17,0.385,5,52.220000000000006,55.53333333333333,57.637647829204006,12.6,12.75,14.730495012616643,13.319999999999999,13.799999999999999,14.51429321411032,4.2,4.166666666666667,4.296414841910956,104.1,102.5,103.08110495802921,76.6,73.325,77.74163773589167,23.8,22.833333333333332,23.55307174267699,0.45280000000000004,0.47750000000000004,0.47919171083902073,60.4,56.833333333333336,61.193263222069824,0.3994,0.4131666666666667,0.41329803496531137,24.4,23.583333333333332,25.632824716196154,0.3722,0.327,0.32322880997137976,22.2,18.5,19.68478721062169,0.64,0.6613333333333333,0.6172479296855156,14.8,12.583333333333334,12.50913647987265,6.8,4.916666666666667,6.967795108017636,200.0,200.16666666666666,200.0115610199439,97.88,95.2,100.17040932107234,25.9,23.5,28.134417178953075,9.2,7.583333333333333,9.992627591774063,13.4,16.416666666666668,13.550621799974037,70.2,66.91666666666667,71.93626761954762,7.659999999999999,8.108333333333333,8.157630668315015,5.6,5.75,5.945751268720329,0.4128,0.3804166666666667,0.4287671256075464,25.0,21.583333333333332,26.294478596871528,0.2522,0.3249166666666667,0.30339358273072653,6.6,7.166666666666667,8.161481707282654,49.36,47.90833333333333,50.93580303363874,33.0,30.416666666666668,33.54569933445106,0.489,0.509,0.503396439115537,12.399999999999999,15.841666666666667,13.705554144298242,10.0,12.25,11.144574844620571,35.4,35.25,34.89878462519829,0.4936,0.45316666666666666,0.4888196413148403,17.8,16.416666666666668,17.471343008913504,0.3228000000000001,0.17225000000000001,0.2911326017375401,3.2,1.5833333333333333,3.055326931870142
2020-01-04,"Paul Porter Arena, Boiling Springs, North Carolina",Presbyterian,Gardner-Webb,Away,52.9,9,23.5,8,93.2,63.9,23,0.364,59,0.288,17,0.458,27,0.704,19,9,200,84.9,26.8,11,20,62,11.0,8,0.492,29,0.31,9,44.2,34,0.432,15.5,13,30,0.267,8,0.357,5,47.4,53.95384615384615,50.09176521946934,11.4,12.307692307692308,12.15366334174443,10.16,13.146153846153847,11.442862142740214,3.0,4.0,3.530943227940637,107.75999999999999,102.07692307692308,101.05406997201948,76.64000000000001,73.61538461538461,77.52775849059445,23.2,23.153846153846153,24.702047828451327,0.4652,0.4783846153846154,0.4824611405593472,58.2,55.84615384615385,55.46217548137989,0.4104,0.4163846153846154,0.42719868997687427,24.0,23.307692307692307,23.755216477464103,0.384,0.3525384615384616,0.43515253998091985,21.4,19.307692307692307,22.78985814041446,0.6479999999999999,0.6741538461538461,0.6874986197903437,14.4,13.461538461538462,16.339424319915103,7.4,5.153846153846154,7.3118634053450915,200.0,200.15384615384616,200.00770734662927,98.42,95.56923076923077,100.11360621404823,29.439999999999998,25.03846153846154,33.25627811930205,9.6,7.769230769230769,9.99508506118271,14.0,16.153846153846153,13.367081199982692,69.0,66.92307692307692,70.29084507969841,7.340000000000001,8.284615384615385,8.905087112210012,5.2,5.846153846153846,6.29716751248022,0.40199999999999997,0.37215384615384617,0.37684475040503096,23.8,20.846153846153847,21.529652397914354,0.2688,0.3191538461538462,0.28559572182048437,6.6,6.846153846153846,6.440987804855103,51.25999999999999,49.13076923076923,55.2238686890925,32.8,30.923076923076923,34.69713288963404,0.5018,0.5144615384615384,0.528930959410358,14.680000000000001,16.553846153846152,17.503702762865494,11.6,12.76923076923077,13.763049896413715,34.4,35.0,33.932523083465526,0.497,0.4591538461538462,0.5028797608765603,17.4,16.46153846153846,17.314228672609005,0.32480000000000003,0.1886153846153846,0.3224217344916934,3.6,1.8461538461538463,3.7035512879134282
2020-01-08,"Paul Porter Arena, Boiling Springs, North Carolina",Radford,Gardner-Webb,Away,69.6,16,11.4,4,104.7,88.0,22,0.484,61,0.377,23,0.18,11,0.455,5,10,200,100.0,36.1,13,14,64,6.3,4,0.557,34,0.382,13,57.4,35,0.483,14.3,11,27,0.37,10,0.333,5,51.56,53.878571428571426,51.02784347964623,11.4,12.071428571428571,11.102442227829622,14.12,13.885714285714286,15.461908095160144,4.4,4.285714285714286,5.020628818627092,103.25999999999999,101.44285714285715,98.43604664801299,75.34,72.92142857142856,72.98517232706297,24.0,23.142857142857142,24.13469855230089,0.4396,0.47021428571428575,0.44297409370623153,57.6,56.07142857142857,56.64145032091993,0.3776,0.4072142857142857,0.38079912665124954,21.8,22.857142857142858,21.503477651642736,0.40140000000000003,0.3600714285714286,0.4427683599872799,22.2,19.857142857142858,24.19323876027631,0.6496,0.6762857142857143,0.6929990798602291,15.0,13.857142857142858,17.226282879943405,8.0,5.428571428571429,7.874575603563395,200.0,200.14285714285714,200.0051382310862,93.4,94.80714285714285,95.04240414269883,29.96,25.164285714285715,31.104185412868038,10.2,8.0,10.33005670745514,15.0,16.428571428571427,15.578054133321796,66.0,66.57142857142857,67.52723005313229,8.12,8.47857142857143,9.60339140814001,5.8,6.0,6.86477834165348,0.42299999999999993,0.3807142857142857,0.41522983360335397,24.8,21.428571428571427,24.019768265276237,0.2892,0.31849999999999995,0.2937304812136563,7.4,7.0,7.293991869903403,51.1,48.778571428571425,51.549245792728335,34.2,31.142857142857142,34.46475525975603,0.4826,0.5085714285714286,0.4966206396069053,16.02,16.478571428571428,16.83580184191033,12.8,12.785714285714286,13.508699930942477,32.8,34.642857142857146,32.62168205564369,0.42940000000000006,0.4454285714285714,0.4242531739177069,14.4,15.857142857142858,14.209485781739337,0.3296,0.20064285714285715,0.3339478229944623,4.0,2.0714285714285716,4.135700858608953
2020-01-11,"Winthrop Coliseum, Rock Hill, South Carolina",Gardner-Webb,Winthrop,Home,55.9,19,13.6,6,99.0,72.2,39,0.535,71,0.479,34,0.394,28,0.679,19,11,275,95.0,11.9,5,25,95,12.0,12,0.38,27,0.296,8,45.8,44,0.563,16.9,17,44,0.591,26,0.312,5,60.019999999999996,54.92666666666666,57.21856231976415,13.4,12.333333333333334,12.734961485219749,14.580000000000002,13.72,14.107938730106763,4.6,4.266666666666667,4.6804192124180615,99.2,101.66000000000001,100.52403109867532,78.46000000000001,73.92666666666668,77.99011488470865,24.2,23.066666666666666,23.423132368200594,0.45439999999999997,0.47113333333333335,0.45664939580415437,57.6,56.4,58.094300213946624,0.38079999999999997,0.4052,0.37953275110083307,22.0,22.866666666666667,22.002318434428492,0.37839999999999996,0.3480666666666667,0.35517890665818663,20.8,19.266666666666666,19.795492506850877,0.6184000000000001,0.6615333333333333,0.6136660532401528,13.8,13.266666666666667,13.150855253295603,8.6,5.733333333333333,8.583050402375598,200.0,200.13333333333333,200.0034254873908,95.46000000000001,95.15333333333334,96.69493609513256,33.08,25.89333333333333,32.769456941912026,11.2,8.333333333333334,11.220037804970094,14.2,16.266666666666666,15.052036088881199,66.6,66.4,66.3514867020882,9.08,8.333333333333334,8.502260938760006,6.4,5.866666666666666,5.909852227768987,0.45899999999999996,0.3924666666666667,0.4624865557355694,27.0,22.266666666666666,27.346512176850826,0.3134,0.32273333333333337,0.3231536541424376,8.8,7.4,9.195994579935602,54.06,49.35333333333333,53.49949719515223,35.4,31.4,34.64317017317069,0.49139999999999995,0.5068666666666667,0.49208042640460353,17.04,16.333333333333332,15.990534561273556,13.6,12.666666666666666,12.672466620628319,30.6,34.13333333333333,30.747788037095795,0.4192,0.4404,0.40616878261180467,13.2,15.466666666666667,12.806323854492891,0.33620000000000005,0.20946666666666666,0.3336318819963082,4.4,2.2666666666666666,4.423800572405969
2020-01-18,"Paul Porter Arena, Boiling Springs, North Carolina",USC Upstate,Gardner-Webb,Home,46.4,13,11.1,4,97.1,82.4,28,0.583,54,0.519,28,0.537,29,0.69,20,11,200,120.3,27.3,9,16,83,7.2,5,0.296,16,0.438,7,55.2,37,0.612,14.1,11,38,0.553,21,0.353,6,56.19999999999999,54.9875,56.77904154650944,14.8,12.75,14.823307656813167,14.1,13.7125,13.938625820071177,5.0,4.375,5.120279474945375,97.2,101.49375,100.01602073245023,76.53999999999999,73.81875000000001,76.06007658980577,26.6,24.0625,28.615421578800397,0.4904,0.475125,0.4827662638694363,60.8,57.3125,62.39620014263109,0.4184,0.4098125,0.41268850073388874,25.6,23.5625,26.001545622952328,0.399,0.3509375,0.3681192711054578,23.2,19.8125,22.530328337900585,0.6666,0.662625,0.6354440354934352,16.2,13.625,15.100570168863737,9.2,6.0625,9.3887002682504,215.0,204.8125,225.00228365826055,100.72,95.14375,96.12995739675506,32.540000000000006,25.01875,25.81297129460802,11.0,8.125,9.146691869980064,16.8,16.8125,18.368024059254132,76.4,68.1875,75.90099113472547,10.58,8.5625,9.668173959173338,8.2,6.25,7.939901485179325,0.4332,0.3916875,0.4349910371570463,26.8,22.5625,27.231008117900554,0.3226,0.3210625,0.31410243609495836,9.0,7.4375,8.79732971995707,54.3,49.13125,50.93299813010149,37.6,32.1875,37.76211344878046,0.5306,0.510375,0.5157202842697357,17.4,16.36875,16.293689707515703,14.8,12.9375,14.114977747085547,34.0,34.75,35.16519202473053,0.4708,0.4498125,0.4677791884078698,16.6,16.125,17.204215902995262,0.34400000000000003,0.215875,0.3264212546642055,4.8,2.4375,4.615867048270646
2020-01-20,"Paul Porter Arena, Boiling Springs, North Carolina",Hampton,Gardner-Webb,Home,51.9,14,24.4,10,97.1,75.0,27,0.588,51,0.529,27,0.549,28,0.75,21,11,200,117.4,29.6,8,22,81,4.3,3,0.255,13,0.462,6,55.6,35,0.63,12.4,9,38,0.553,21,0.389,7,51.96,54.482352941176465,53.319361031006295,12.8,12.764705882352942,14.215538437875445,12.98,13.558823529411764,12.992417213380785,4.8,4.352941176470588,4.746852983296916,98.2,101.23529411764706,99.04401382163348,76.72,74.32352941176471,78.17338439320386,27.8,24.294117647058822,28.4102810525336,0.491,0.48147058823529415,0.5161775092462908,57.8,57.11764705882353,59.59746676175406,0.4236,0.41623529411764704,0.44812566715592583,24.4,23.823529411764707,26.66769708196822,0.44560000000000005,0.3618823529411765,0.42441284740363855,24.8,20.352941176470587,24.68688555860039,0.6712,0.664235294117647,0.6536293569956235,17.4,14.0,16.73371344590916,9.8,6.352941176470588,9.925800178833601,215.0,204.52941176470588,216.66818910550705,100.04,96.62352941176471,104.18663826450337,29.120000000000005,25.15294117647059,26.30864752973868,9.6,8.176470588235293,9.09779457998671,17.6,16.764705882352942,17.578682706169424,74.2,69.05882352941177,78.26732742315032,9.38,8.482352941176472,8.845449306115558,7.2,6.176470588235294,6.9599343234528845,0.3996,0.38605882352941173,0.38866069143803084,23.6,22.176470588235293,23.48733874526704,0.33520000000000005,0.32794117647058824,0.35540162406330555,8.0,7.411764705882353,8.198219813304714,53.279999999999994,49.48823529411764,52.35533208673433,37.4,32.470588235294116,37.50807563252031,0.534,0.5163529411764706,0.5478135228464905,17.18,16.235294117647058,15.56245980501047,14.2,12.823529411764707,13.076651831390365,34.2,34.94117647058823,36.110128016487025,0.46240000000000003,0.45588235294117646,0.4961861256052466,16.4,16.41176470588235,18.46947726866351,0.34800000000000003,0.22394117647058823,0.3352808364428037,5.2,2.6470588235294117,5.077244698847098
