date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-12,"A.G. Spanos Center, Stockton, California",Sacramento State,Pacific,Home,50.0,8,7.7,3,114.5,77.1,28,0.34,53,0.302,16,0.358,19,0.684,13,7,200.0,71.0,34.1,13,17,49,4.3,3,0.283,15.0,0.267,4.0,53.9,41,0.395,25.5,21,38.0,0.316,12.0,0.364,4,46.480000000000004,46.480000000000004,43.31111111111112,9.0,9.0,8.160493827160494,4.92,4.92,3.8617283950617294,1.8,1.8,1.4320987654320991,98.92,98.92,97.12222222222223,65.1,65.1,61.85185185185186,21.0,21.0,20.23456790123457,0.392,0.392,0.36481481481481487,54.8,54.8,56.13580246913581,0.3466,0.3466,0.3239753086419753,18.8,18.8,17.95061728395062,0.332,0.332,0.29727160493827165,17.6,17.6,16.12345679012346,0.7,0.7,0.6906296296296297,12.4,12.4,11.395061728395063,3.2,3.2,3.8024691358024696,200.0,200.0,200.0,78.64,78.64,74.95802469135805,25.9,25.9,25.830864197530868,7.8,7.8,8.395061728395063,19.0,19.0,18.666666666666668,55.0,55.0,51.87654320987655,9.2,9.2,8.91604938271605,6.4,6.4,6.123456790123458,0.3088,0.3088,0.30241975308641983,16.8,16.8,16.83950617283951,0.2986,0.2986,0.2715555555555556,5.0,5.0,4.580246913580248,44.08,44.08,42.28641975308643,28.8,28.8,28.629629629629633,0.4358000000000001,0.4358000000000001,0.40703703703703714,19.52,19.52,18.393827160493828,15.0,15.0,14.12345679012346,38.0,38.0,39.296296296296305,0.3714,0.3714,0.3490617283950618,13.8,13.8,13.370370370370372,0.3554,0.3554,0.3537777777777778,2.4,2.4,2.7654320987654324
2010-01-02,"Peter W. Stott Center, Portland, Oregon",Sacramento State,Portland State,Home,45.8,11,3.1,1,142.4,44.8,15,0.483,58,0.414,24,0.241,14,0.714,10,10,200.0,100.0,31.3,8,18,66,9.1,6,0.259,15.0,0.533,8.0,37.7,23,0.51,13.5,10,43.0,0.372,16.0,0.375,6,43.14,47.06666666666666,45.540740740740745,8.2,8.833333333333334,8.106995884773664,5.2,5.383333333333333,5.141152263374487,2.0,2.0,1.9547325102880662,98.67999999999999,101.51666666666667,102.91481481481483,68.8,67.10000000000001,66.93456790123457,23.2,22.166666666666668,22.823045267489714,0.3808,0.3833333333333333,0.3565432098765433,54.8,54.5,55.09053497942388,0.33899999999999997,0.33916666666666667,0.31665020576131686,18.4,18.333333333333332,17.30041152263375,0.3508,0.3363333333333333,0.3175144032921811,18.6,17.833333333333332,17.082304526748974,0.7082,0.6973333333333334,0.6884197530864199,13.2,12.5,11.930041152263376,4.4,3.8333333333333335,4.868312757201647,200.0,200.0,200.0,78.25999999999999,77.36666666666667,73.63868312757204,27.720000000000006,27.26666666666667,28.587242798353916,8.8,8.666666666666666,9.930041152263376,18.6,18.666666666666668,18.111111111111114,54.6,54.0,50.917695473251044,7.4799999999999995,8.383333333333333,7.377366255144034,5.2,5.833333333333333,5.082304526748973,0.2786,0.3045,0.2959465020576132,15.2,16.5,16.226337448559676,0.29979999999999996,0.29333333333333333,0.2700370370370371,4.6,4.833333333333333,4.386831275720166,46.660000000000004,45.71666666666667,46.15761316872428,32.0,30.833333333333332,32.75308641975309,0.42940000000000006,0.429,0.40302469135802477,19.96,20.516666666666666,20.76255144032922,15.6,16.0,16.415637860082306,39.6,38.0,38.8641975308642,0.35459999999999997,0.3621666666666667,0.33804115226337456,13.8,13.5,12.913580246913583,0.4282,0.35683333333333334,0.3571851851851852,3.2,2.6666666666666665,3.1769547325102883
2010-01-15,"Hornets Nest, Sacramento, California",Montana,Sacramento State,Away,47.6,10,9.7,3,87.7,84.8,28,0.388,58,0.362,21,0.241,14,0.786,11,11,200.0,86.2,26.5,9,16,56,12.3,8,0.207,12.0,0.25,3.0,55.2,37,0.433,13.5,10,46.0,0.391,18.0,0.389,7,43.879999999999995,46.885714285714286,45.62716049382716,8.8,9.142857142857142,9.07133058984911,4.000000000000001,5.057142857142857,4.4607681755829915,1.6,1.8571428571428572,1.6364883401920443,107.44000000000001,107.35714285714286,116.07654320987656,63.21999999999999,63.91428571428571,59.55637860082305,22.4,21.142857142857142,20.21536351165981,0.3898,0.3975714285714286,0.3986954732510289,56.8,55.0,56.06035665294925,0.3426,0.3498571428571428,0.3491001371742113,19.4,19.142857142857142,19.533607681755832,0.29480000000000006,0.3227142857142857,0.29200960219478744,16.4,17.285714285714285,16.054869684499316,0.7230000000000001,0.6997142857142856,0.6969465020576133,12.0,12.142857142857142,11.286694101508917,6.0,4.714285714285714,6.5788751714677645,200.0,200.0,200.0,81.92,80.60000000000001,82.42578875171469,27.98,27.842857142857145,29.491495198902612,9.2,8.571428571428571,9.286694101508917,17.8,18.571428571428573,18.074074074074076,56.2,55.714285714285715,55.9451303155007,7.039999999999999,8.485714285714286,7.951577503429356,4.8,5.857142857142857,5.388203017832649,0.26780000000000004,0.298,0.28363100137174213,15.2,16.285714285714285,15.817558299039785,0.35300000000000004,0.32757142857142857,0.35769135802469143,5.4,5.285714285714286,5.591220850480111,44.58,44.57142857142857,43.338408779149525,31.6,29.714285714285715,29.50205761316873,0.4346,0.44057142857142856,0.43868312757201655,17.6,19.514285714285712,18.34170096021948,13.6,15.142857142857142,14.277091906721537,41.6,38.714285714285715,40.24279835390947,0.33799999999999997,0.36357142857142855,0.34936076817558304,14.0,13.857142857142858,13.942386831275723,0.4366,0.35942857142857143,0.3631234567901235,4.2,3.142857142857143,4.117969821673526
2010-01-22,"Butler Hancock Sports Pavilion, Greeley, Colorado",Sacramento State,Northern Colorado,Home,39.1,9,9.4,3,103.9,69.2,27,0.446,56,0.411,23,0.393,22,0.682,15,13,200.0,85.5,14.3,5,22,65,10.5,8,0.268,15.0,0.267,4.0,43.2,32,0.489,18.6,14,41.0,0.463,19.0,0.35,7,42.96,46.975,46.284773662551444,8.4,9.25,9.380887059899408,5.0600000000000005,5.6375,6.207178783721995,1.8,2.0,2.0909922267946963,107.47999999999999,104.9,106.61769547325105,64.41999999999999,66.525,67.97091906721536,22.6,22.0,22.81024234110654,0.3726,0.39637500000000003,0.395130315500686,56.8,55.375,56.706904435299506,0.3356,0.351375,0.3534000914494742,19.0,19.375,20.022405121170557,0.3016,0.3125,0.27500640146319166,16.8,16.875,15.369913122999545,0.7136,0.7105,0.7266310013717423,12.2,12.0,11.191129401005945,7.8,5.5,8.052583447645176,200.0,200.0,200.0,81.10000000000001,81.3,83.6838591678098,29.160000000000004,27.675,28.494330132601743,9.8,8.625,9.191129401005945,17.6,18.25,17.38271604938272,54.4,55.75,55.9634202103338,7.840000000000001,8.9625,9.401051668952904,5.2,6.125,6.258802011888433,0.254,0.286625,0.2580873342478281,14.4,15.75,14.545038866026525,0.2904,0.317875,0.3217942386831276,4.2,5.0,4.727480566986741,45.760000000000005,45.9,47.29227251943302,32.4,30.625,32.00137174211249,0.4192,0.439625,0.43678875171467774,16.68,18.7625,16.72780064014632,13.0,14.5,12.851394604481026,42.4,39.625,42.16186556927298,0.34959999999999997,0.367,0.3632405121170554,14.8,14.375,15.294924554183817,0.3944,0.363125,0.37174897119341566,5.0,3.625,5.07864654778235
2010-01-29,"Dee Events Center, Ogden, Utah",Sacramento State,Weber State,Home,55.6,10,5.3,2,126.6,67.9,21,0.423,52,0.346,18,0.423,22,0.682,15,15,200.0,92.2,27.8,8,13,59,9.4,6,0.308,16.0,0.5,8.0,45.3,29,0.472,16.3,11,36.0,0.278,10.0,0.318,7,40.78,46.099999999999994,43.889849108367635,8.2,9.222222222222221,9.253924706599605,5.9799999999999995,6.055555555555555,7.271452522481331,2.0,2.111111111111111,2.393994817863131,105.4,104.78888888888889,105.71179698216739,65.58,66.82222222222222,68.38061271147691,22.6,22.555555555555557,24.206828227404362,0.3822,0.4018888888888889,0.4120868770004574,57.2,55.44444444444444,56.471269623533004,0.3438,0.358,0.37260006096631615,19.6,19.77777777777778,21.014936747447038,0.2728,0.3214444444444444,0.31433760097546115,15.4,17.444444444444443,17.579942081999697,0.6982,0.7073333333333333,0.7117540009144949,10.8,12.333333333333334,12.460752934003963,9.4,6.333333333333333,9.701722298430118,200.0,200.0,200.0,79.62,81.76666666666667,84.28923944520653,26.46,26.18888888888889,23.76288675506783,9.0,8.222222222222221,7.794086267337297,18.2,18.666666666666668,18.92181069958848,54.4,56.77777777777778,58.97561347355587,9.079999999999998,9.133333333333333,9.767367779301937,6.2,6.333333333333333,6.839201341258956,0.25579999999999997,0.28455555555555556,0.26139155616521875,14.6,15.666666666666666,14.696692577351017,0.30100000000000005,0.31222222222222223,0.30352949245541844,4.4,4.888888888888889,4.484987044657828,45.040000000000006,45.599999999999994,45.928181679622014,31.6,30.77777777777778,32.000914494741664,0.421,0.4451111111111111,0.4541925011431185,17.36,18.744444444444444,17.351867093430883,13.4,14.444444444444445,13.234263069654018,42.6,39.77777777777778,41.77457704618199,0.3572,0.37766666666666665,0.3964936747447036,15.2,14.88888888888889,16.529949702789214,0.3756,0.36166666666666664,0.36449931412894376,5.6,4.0,5.719097698521567
2010-02-05,"Hornets Nest, Sacramento, California",Portland State,Sacramento State,Away,63.6,14,8.1,3,122.6,37.9,13,0.49,49,0.449,22,0.367,18,0.778,14,16,200.0,100.0,42.3,9,20,62,12.9,8,0.245,12.0,0.333,4.0,40.0,22,0.539,21.9,16,37.0,0.486,18.0,0.333,8,47.62,47.05,47.793232738911755,9.6,9.3,9.502616471066403,7.040000000000001,5.9799999999999995,6.614301681654221,2.4,2.1,2.2626632119087544,115.02000000000001,106.97,112.67453132144493,68.76,66.92999999999999,68.22040847431795,23.8,22.4,23.137885484936245,0.41600000000000004,0.404,0.4157245846669716,55.4,55.1,54.980846415688674,0.367,0.3568,0.3637333739775441,20.4,19.6,20.00995783163136,0.3312,0.3316,0.3505584006503074,18.2,17.9,19.05329472133313,0.7096,0.7048,0.7018360006096633,12.8,12.6,13.30716862266931,11.2,7.2,11.46781486562008,200.0,200.0,200.0,86.98,82.81,86.9261596301377,26.8,26.35,25.10859117004522,8.6,8.2,7.862724178224866,17.2,18.1,16.947873799725656,59.0,57.0,58.983742315703914,9.120000000000001,9.16,9.644911852867958,6.2,6.3,6.5594675608393045,0.265,0.28690000000000004,0.27692770411014583,14.6,15.7,15.13112838490068,0.36340000000000006,0.331,0.36901966163694566,5.4,5.2,5.656658029771886,47.06,45.57,45.71878778641468,32.4,30.6,31.000609663161114,0.4598,0.4478,0.4601283340954124,17.479999999999997,18.5,17.00124472895392,13.2,14.1,12.48950871310268,40.8,39.4,39.849718030788,0.364,0.3677,0.3569957831631358,15.0,14.4,14.353299801859478,0.35919999999999996,0.3573,0.3489995427526292,6.2,4.3,6.146065132347712
2010-02-20,"Adams Center/Dahlberg Arena, Missoula, Montana",Sacramento State,Montana,Home,50.0,10,2.9,1,126.5,72.7,18,0.48,49,0.408,20,0.347,17,0.647,11,19,200.0,85.3,24.2,6,19,58,2.9,2,0.347,17.0,0.412,7.0,43.6,24,0.508,25.2,18,32.0,0.406,13.0,0.321,9,50.339999999999996,48.554545454545455,53.06215515927451,10.8,9.727272727272727,11.00174431404427,7.12,6.172727272727273,7.109534454436147,2.4,2.1818181818181817,2.508442141272503,116.64000000000001,108.39090909090909,115.9830208809633,60.92,64.2909090909091,58.113605649545306,20.8,21.545454545454547,19.758590323290832,0.446,0.41181818181818186,0.44048305644464775,54.6,54.54545454545455,52.987230943792454,0.3964,0.3651818181818182,0.39215558265169614,21.6,19.818181818181817,20.673305221087574,0.333,0.3348181818181818,0.3560389337668716,18.0,17.90909090909091,18.702196480888755,0.7283999999999999,0.7114545454545455,0.7272240004064423,13.0,12.727272727272727,13.538112415112874,13.0,8.0,12.97854324374672,200.0,200.0,200.0,92.78,84.37272727272727,91.2841064200918,28.439999999999998,27.8,30.839060780030145,7.8,8.272727272727273,8.241816118816578,17.8,18.272727272727273,17.965249199817105,61.6,57.45454545454545,59.98916154380261,10.84,9.5,10.729941235245306,7.2,6.454545454545454,7.039645040559536,0.2574,0.28309090909090906,0.2662851360734306,14.0,15.363636363636363,14.087418923267121,0.3766,0.3311818181818182,0.3570131077579638,5.4,5.090909090909091,5.104438686514591,44.28000000000001,45.06363636363636,43.81252519094312,28.6,29.818181818181817,28.000406442107412,0.48860000000000003,0.4560909090909091,0.48641888939694167,16.759999999999998,18.80909090909091,18.63416315263595,12.2,14.272727272727273,13.659672475401788,40.6,39.18181818181818,38.89981202052533,0.398,0.3784545454545455,0.3999971887754239,16.2,14.727272727272727,15.568866534572987,0.353,0.3550909090909091,0.34366636183508614,7.0,4.636363636363637,6.764043421565141
2010-11-14,"Hornets Nest, Sacramento, California",Cal State Bakersfield,Sacramento State,Away,60.9,14,0.0,0,100.0,63.0,29,0.422,58,0.397,23,0.724,42,0.69,29,1,225.0,97.5,27.5,11,25,78,10.0,8,0.276,16.0,0.188,3.0,46.5,40,0.5,15.5,14,42.0,0.476,20.0,0.0,0,51.17999999999999,48.675000000000004,52.04143677284968,10.6,9.75,10.66782954269618,7.08,5.8999999999999995,5.706356302957432,2.4,2.0833333333333335,2.005628094181669,113.46,109.89999999999999,119.48868058730886,66.5,64.99166666666666,62.97573709969688,21.4,21.25,19.172393548860555,0.44539999999999996,0.4175,0.4536553709630985,52.8,54.083333333333336,51.6581539625283,0.3952,0.36874999999999997,0.3974370551011308,20.8,19.833333333333332,20.448870147391716,0.35419999999999996,0.3358333333333334,0.3530259558445811,18.6,17.833333333333332,18.134797653925837,0.7150000000000001,0.7060833333333334,0.7004826669376283,13.2,12.583333333333334,12.692074943408583,14.8,8.916666666666666,14.985695495831148,200.0,200.0,200.0,89.84,84.45,89.2894042800612,27.02,27.5,28.626040520020098,7.4,8.083333333333334,7.494544079211052,18.0,18.333333333333332,18.310166133211403,60.0,57.5,59.326107695868416,9.6,8.950000000000001,8.119960823496871,6.4,6.083333333333333,5.359763360373025,0.275,0.28841666666666665,0.2931900907156204,14.4,15.5,15.05827928217808,0.3524,0.33791666666666664,0.37534207183864254,5.2,5.25,5.736292457676394,45.46,44.94166666666666,43.74168346062875,28.8,29.333333333333332,26.66693762807161,0.48819999999999997,0.4604166666666667,0.4936125929312945,19.1,19.341666666666665,20.822775435090634,13.8,14.583333333333334,15.106448316934527,38.4,38.583333333333336,36.599874680350226,0.4048,0.38075,0.4019981258502826,15.6,14.583333333333334,14.712577689715324,0.34219999999999995,0.35225,0.33611090789005743,7.6,5.0,7.509362281043428
2010-11-19,"Betty Engelstad Sioux Center , Grand Forks, North Dakota",Sacramento State,North Dakota,Home,55.0,11,11.1,2,101.6,73.1,19,0.522,45,0.444,20,0.378,17,0.765,13,2,200.0,95.2,13.6,3,21,60,9.5,6,0.311,14.0,0.5,7.0,45.8,22,0.565,21.1,14,31.0,0.419,13.0,0.333,1,53.839999999999996,49.61538461538461,54.99429118189979,11.4,10.076923076923077,11.77855302846412,5.140000000000001,5.446153846153846,3.804237535304955,1.8,1.9230769230769231,1.3370853961211127,115.92,109.13846153846154,112.99245372487258,62.14000000000001,64.83846153846153,62.98382473313126,21.6,21.846153846153847,22.448262365907038,0.45220000000000005,0.41784615384615387,0.4431035806420657,52.8,54.38461538461539,53.772102641685535,0.4022,0.3709230769230769,0.39729137006742055,21.2,20.076923076923077,21.299246764927812,0.4507999999999999,0.36569230769230765,0.47668397056305406,24.2,19.692307692307693,26.089865102617225,0.6958,0.7048461538461539,0.6969884446250856,16.8,13.846153846153847,18.12804996227239,12.8,8.307692307692308,10.323796997220768,205.0,201.92307692307693,208.33333333333334,92.1,85.45384615384616,92.02626952004081,27.22,27.5,28.2506936800134,7.8,8.307692307692308,8.663029386140702,19.8,18.846153846153847,20.540110755474267,64.4,59.07692307692308,65.55073846391228,9.14,9.03076923076923,8.746640548997915,6.4,6.230769230769231,6.2398422402486835,0.28880000000000006,0.2874615384615385,0.2874600604770803,15.2,15.538461538461538,15.372186188118722,0.34,0.3263846153846154,0.31289471455909507,5.2,5.076923076923077,4.824194971784263,43.720000000000006,45.06153846153846,44.66112230708583,29.4,30.153846153846153,31.11129175204774,0.5016,0.4634615384615385,0.4957417286208631,19.5,19.046153846153846,19.04851695672709,14.6,14.538461538461538,14.737632211289686,37.6,38.84615384615385,38.39991645356682,0.4218,0.3880769230769231,0.4266654172335218,16.0,15.0,16.47505179314355,0.2644,0.3251538461538462,0.22407393859337166,6.2,4.615384615384615,5.006241520695619
2010-11-23,"Hornets Nest, Sacramento, California",UC-Davis,Sacramento State,Away,44.4,8,5.6,2,95.3,86.7,26,0.364,55,0.327,18,0.364,20,0.7,14,3,200.0,84.4,33.3,12,15,54,7.8,5,0.291,16.0,0.25,4.0,57.6,38,0.419,14.7,11,39.0,0.359,14.0,0.25,1,57.02,50.0,54.99619412126653,11.8,10.142857142857142,11.519035352309414,5.48,5.8500000000000005,6.23615835686997,1.6,1.9285714285714286,1.5580569307474086,115.46,108.60000000000001,109.19496914991505,62.92,65.42857142857143,66.35588315542084,20.0,21.642857142857142,21.29884157727136,0.4673999999999999,0.42528571428571427,0.4694023870947105,50.6,53.714285714285715,50.84806842779036,0.4088,0.37614285714285717,0.41286091337828035,20.6,20.071428571428573,20.866164509951876,0.4478,0.36657142857142855,0.4437893137087027,23.2,19.5,23.059910068411483,0.7124,0.7091428571428572,0.7196589630833905,16.4,13.785714285714286,16.41869997484826,10.6,7.857142857142857,7.5491979981471795,205.0,201.78571428571428,205.55555555555557,94.03999999999999,86.14999999999999,93.08417968002722,27.080000000000002,26.50714285714286,23.367129120008933,7.4,7.928571428571429,6.775352924093801,19.6,19.0,20.693407170316178,63.4,59.142857142857146,63.70049230927486,8.940000000000001,9.064285714285715,8.99776036599861,6.0,6.214285714285714,6.159894826832456,0.2974,0.28914285714285715,0.29530670698472017,15.0,15.428571428571429,14.914790792079149,0.3866,0.3387857142857143,0.37526314303939673,5.8,5.214285714285714,5.549463314522843,44.239999999999995,45.114285714285714,45.04074820472389,27.4,29.571428571428573,28.074194501365163,0.5167999999999999,0.4707142857142857,0.5188278190805754,20.0,19.192857142857143,19.732344637818063,14.6,14.5,14.491754807526458,35.6,38.285714285714285,35.933277635711214,0.413,0.3902857142857143,0.42411027815568125,14.8,14.857142857142858,15.316701195429033,0.261,0.3257142857142857,0.26038262572891446,5.0,4.357142857142857,3.6708276804637467
2010-11-27,"Hornets Nest, Sacramento, California",Cal Poly,Sacramento State,Home,76.0,19,16.7,4,109.8,58.1,18,0.726,42,0.595,25,0.31,13,0.769,10,3,200.0,116.4,16.7,3,14,71,6.6,4,0.429,18.0,0.611,11.0,42.9,21,0.737,25.1,16,24.0,0.583,14.0,0.4,2,54.779999999999994,49.626666666666665,51.464129414177684,11.4,10.0,10.346023568206277,5.540000000000001,5.833333333333333,6.024105571246647,1.6,1.9333333333333333,1.7053712871649394,109.2,107.71333333333334,104.56331276661004,66.67999999999999,66.84666666666666,73.13725543694723,21.0,21.933333333333334,22.865894384847575,0.4556,0.42119999999999996,0.4342682580631404,51.2,53.8,52.23204561852691,0.40499999999999997,0.3728666666666667,0.3842406089188536,20.6,19.933333333333334,19.910776339967917,0.43599999999999994,0.3664,0.4171928758058019,22.8,19.533333333333335,22.039940045607658,0.716,0.7085333333333333,0.7131059753889271,16.2,13.8,15.61246664989884,8.2,7.533333333333333,6.032798665431454,205.0,201.66666666666666,203.70370370370372,92.47999999999999,86.03333333333333,90.18945312001816,28.179999999999996,26.959999999999997,26.678086080005954,8.2,8.2,8.51690194939587,20.0,18.733333333333334,18.795604780210788,62.4,58.8,60.46699487284991,8.620000000000001,8.979999999999999,8.59850691066574,5.8,6.133333333333334,5.773263217888305,0.294,0.28926666666666667,0.29387113798981346,15.0,15.466666666666667,15.276527194719435,0.3366,0.3328666666666667,0.3335087620262645,5.0,5.133333333333334,5.032975543015229,46.7,45.94666666666667,49.22716546981593,29.2,30.133333333333333,31.382796334243444,0.5062,0.46726666666666666,0.4855518793870503,19.68,18.89333333333333,18.054896425212043,14.6,14.266666666666667,13.327836538350972,36.2,38.333333333333336,36.955518423807476,0.42919999999999997,0.38820000000000005,0.4024068521037875,15.6,14.8,14.87780079695269,0.24739999999999998,0.32066666666666666,0.256921750485943,3.8,4.133333333333334,2.7805517869758316
2010-11-30,"Friel Court, Pullman, Washington",Sacramento State,Washington State,Home,46.7,7,2.3,1,121.7,68.6,24,0.33,47,0.319,15,0.298,14,0.357,5,4,200.0,52.2,18.8,6,19,36,7.2,5,0.319,15.0,0.067,1.0,44.8,30,0.336,29.3,22,32.0,0.438,14.0,0.333,2,57.25999999999999,51.275,59.64275294278512,12.4,10.5625,13.230682378804186,7.26,6.512499999999999,9.582737047497766,1.8,2.0625,2.4702475247766262,106.63999999999999,107.84375,106.30887517774003,70.72,66.3,68.12483695796482,22.0,21.6875,21.243929589898386,0.5027999999999999,0.44025,0.5315121720420937,49.8,53.0625,48.821363745684614,0.43420000000000003,0.38675,0.45449373927923575,21.2,20.25,21.60718422664528,0.4246,0.362875,0.38146191720386796,21.8,19.125,19.026626697071773,0.7142000000000001,0.7123125,0.7317373169259513,15.4,13.5625,13.741644433265893,5.6,7.25,5.021865776954303,205.0,201.5625,202.46913580246917,95.76,87.93125,98.9263020800121,23.06,26.31875,23.352057386670637,7.0,7.875,6.67793463293058,18.8,18.4375,17.19706985347386,64.2,59.5625,63.977996581899944,7.359999999999999,8.83125,7.932337940443828,5.0,6.0,5.182175478592203,0.3308,0.298,0.338914091993209,16.2,15.625,16.184351463146292,0.3922,0.35025,0.426005841350843,6.4,5.5,7.021983695343486,47.279999999999994,45.75625,47.11811031321062,29.0,29.5625,27.921864222828965,0.5458000000000001,0.484125,0.5693679195913669,20.32,19.28125,20.403264283474698,14.6,14.375,14.218557692233983,33.6,37.4375,32.63701228253832,0.4486,0.400375,0.4626045680691917,14.8,14.75,14.585200531301794,0.26080000000000003,0.325625,0.30461450032396203,2.6,4.0,2.5203678579838877
2010-12-04,"McKay Events Center, Orem, Utah",Sacramento State,Utah Valley,Home,54.5,12,6.3,2,111.6,70.4,19,0.375,64,0.344,22,0.188,12,0.333,4,5,200.0,75.4,33.3,15,19,52,14.5,10,0.297,19.0,0.211,4.0,47.2,34,0.373,16.8,14,45.0,0.4,18.0,0.286,2,56.6,51.00588235294118,55.32850196185676,11.8,10.352941176470589,11.153788252536124,7.140000000000001,6.264705882352941,7.155158031665177,1.8,2.0,1.980165016517751,105.67999999999999,108.65882352941176,111.43925011849336,69.9,66.43529411764706,68.28322463864322,23.2,21.823529411764707,22.162619726598926,0.4728,0.43376470588235294,0.4643414480280625,49.4,52.705882352941174,48.21424249712308,0.41640000000000005,0.3827647058823529,0.40932915951949056,20.2,19.941176470588236,19.40478948443019,0.41479999999999995,0.35905882352941176,0.353641278135912,21.2,18.823529411764707,17.351084464714518,0.6561999999999999,0.6914117647058823,0.6068248779506342,14.2,13.058823529411764,10.827762955510597,2.6,7.0588235294117645,4.6812438513028685,205.0,201.47058823529412,201.64609053497946,89.14,85.8294117647059,83.3508680533414,21.979999999999997,25.876470588235293,21.83470492444709,7.0,7.764705882352941,6.451956421953721,18.8,18.470588235294116,17.798046568982574,59.8,58.1764705882353,54.65199772126663,8.22,8.735294117647058,7.68822529362922,5.6,5.9411764705882355,5.121450319061469,0.3252,0.29923529411764704,0.33227606132880605,15.8,15.588235294117647,15.789567642097529,0.3232,0.3335882352941177,0.3063372275672287,5.2,5.235294117647059,5.014655796895658,47.519999999999996,45.699999999999996,46.34540687547375,30.2,29.58823529411765,28.614576148552647,0.5114,0.4754117647058824,0.4915786130609113,21.14,19.870588235294118,23.3688428556498,15.4,14.823529411764707,16.812371794822656,33.6,37.11764705882353,32.42467485502555,0.45499999999999996,0.4025882352941177,0.4544030453794612,15.0,14.705882352941176,14.39013368753453,0.2632,0.3260588235294118,0.31407633354930803,1.2,3.8823529411764706,2.346911905322592
