date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-12-02,"Wells Fargo Center, Philadelphia, Pennsylvania",DREXEL,VILLANOVA,Home,58.3,14,22.9,8,81.7,75.0,31,0.529,52,0.462,24,0.577,30,0.733,22,0,200.0,108.5,31.0,8,15,77,12.7,9,0.288,15.0,0.467,7.0,56.5,39,0.581,16.6,13,37.0,0.459,17.0,1.0,7,56.120000000000005,56.120000000000005,58.59012345679013,14.6,14.6,14.703703703703706,13.14,13.14,13.487654320987655,4.4,4.4,4.901234567901234,88.34,88.34,87.37901234567903,66.24,66.24,60.73703703703704,24.4,24.4,22.481481481481488,0.4936,0.4936,0.47307407407407415,60.2,60.2,60.22222222222223,0.4288,0.4288,0.41369135802469137,26.0,26.0,25.024691358024693,0.516,0.516,0.5195925925925926,30.6,30.6,30.95061728395062,0.7230000000000001,0.7230000000000001,0.7358024691358026,21.8,21.8,22.555555555555557,0.0,0.0,0.0,200.0,200.0,200.0,111.55999999999999,111.55999999999999,108.66419753086421,46.78,46.78,44.4888888888889,13.2,13.2,12.938271604938274,22.6,22.6,22.814814814814817,81.6,81.6,79.76543209876544,10.54,10.54,12.35925925925926,7.8,7.8,9.209876543209877,0.3842,0.3842,0.3855308641975309,23.0,23.0,23.135802469135804,0.3406,0.3406,0.30928395061728403,7.8,7.8,7.160493827160495,55.82000000000001,55.82000000000001,51.75802469135803,37.6,37.6,35.41975308641976,0.5458000000000001,0.5458000000000001,0.5320740740740741,15.38,15.38,15.098765432098766,13.0,13.0,12.654320987654323,37.2,37.2,37.086419753086425,0.483,0.483,0.4786913580246914,18.2,18.2,17.8641975308642,1.0,1.0,1.0,3.2,3.2,3.728395061728395
2009-12-06,"Verizon Center, Washington, District of Columbia",VILLANOVA,MARYLAND,Away,63.3,19,5.9,2,110.3,73.1,22,0.507,75,0.4,30,0.347,26,0.731,19,0,200.0,121.8,50.0,20,24,95,12.8,10,0.52,39.0,0.41,16.0,58.3,42,0.544,13.9,14,36.0,0.389,14.0,1.0,8,55.919999999999995,56.48333333333333,58.49341563786009,14.2,14.5,14.469135802469138,14.780000000000001,14.766666666666666,16.62510288065844,5.0,5.0,5.934156378600823,87.74000000000001,87.23333333333333,85.4860082304527,65.52000000000001,67.7,65.49135802469137,25.6,25.5,25.320987654320994,0.5040000000000001,0.4995,0.4917160493827161,57.4,58.833333333333336,57.481481481481495,0.4394,0.4343333333333333,0.4297942386831276,25.4,25.666666666666668,24.683127572016463,0.5374000000000001,0.5261666666666667,0.5387283950617284,30.4,30.5,30.633744855967084,0.7342000000000001,0.7246666666666667,0.7348683127572018,22.0,21.833333333333332,22.370370370370374,0.0,0.0,0.0,200.0,200.0,200.0,109.92,111.05,108.60946502057615,44.56,44.15,39.9925925925926,12.2,12.333333333333334,11.29218106995885,21.2,21.333333333333332,20.20987654320988,80.2,80.83333333333333,78.84362139917697,11.959999999999999,10.899999999999999,12.47283950617284,8.8,8.0,9.139917695473251,0.36300000000000004,0.3681666666666667,0.3530205761316873,20.8,21.666666666666668,20.423868312757204,0.36480000000000007,0.36166666666666664,0.36185596707818934,7.4,7.666666666666667,7.106995884773664,55.6,55.93333333333334,53.338683127572025,37.8,37.833333333333336,36.613168724279845,0.558,0.5516666666666666,0.5483827160493828,16.880000000000003,15.583333333333334,15.599176954732512,14.0,13.0,12.769547325102884,36.6,37.166666666666664,37.05761316872429,0.4848,0.47900000000000004,0.47212757201646094,18.0,18.0,17.5761316872428,1.0,1.0,1.0,4.4,3.8333333333333335,4.818930041152264
2009-12-09,"The Palestra, Philadelphia, Pennsylvania",VILLANOVA,SAINT-JOSEPHS,Away,59.3,16,12.5,4,111.3,68.6,26,0.534,58,0.466,27,0.69,40,0.875,35,0,200.0,121.3,55.6,13,25,97,11.3,9,0.328,19.0,0.421,8.0,62.9,39,0.63,17.5,16,39.0,0.487,19.0,1.0,9,58.3,57.457142857142856,60.09561042524007,14.2,15.142857142857142,15.979423868312761,12.88,13.5,13.050068587105628,4.6,4.571428571428571,4.622770919067216,92.46,90.52857142857144,93.75733882030181,65.5,68.47142857142858,68.02757201646091,23.8,25.0,24.21399176954733,0.4704,0.5005714285714286,0.49681069958847746,59.8,61.142857142857146,63.320987654321,0.40199999999999997,0.42942857142857144,0.4198628257887518,24.0,26.285714285714285,26.455418381344312,0.5338,0.5005714285714286,0.4748189300411523,31.0,29.857142857142858,29.08916323731139,0.7238,0.7255714285714285,0.7335788751714678,22.2,21.428571428571427,21.24691358024692,0.0,0.0,0.0,200.0,200.0,200.0,106.82000000000001,112.58571428571429,113.00631001371744,42.18,44.98571428571428,43.3283950617284,13.8,13.428571428571429,14.194787379972567,21.6,21.714285714285715,21.473251028806587,78.6,82.85714285714286,84.22908093278465,12.379999999999999,11.171428571428569,12.581893004115226,9.2,8.285714285714286,9.426611796982169,0.4004,0.38985714285714285,0.40868038408779156,24.4,24.142857142857142,26.615912208504803,0.342,0.3685714285714286,0.3779039780521263,8.4,8.857142857142858,10.07133058984911,53.379999999999995,56.271428571428565,54.992455418381354,37.6,38.42857142857143,38.4087791495199,0.5274,0.5505714285714286,0.5469218106995886,16.26,15.342857142857143,15.032784636488342,13.8,13.142857142857142,13.179698216735257,35.4,37.0,36.70507544581619,0.43879999999999997,0.46614285714285714,0.44441838134430733,15.6,17.428571428571427,16.3840877914952,1.0,1.0,1.0,5.6,4.428571428571429,5.879286694101509
2009-12-13,"Liacouras Center, Philadelphia, Pennsylvania",VILLANOVA,TEMPLE,Home,50.0,12,7.7,2,121.0,70.8,18,0.5,56,0.429,24,0.196,11,0.818,9,1,200.0,104.8,21.9,6,19,65,12.9,8,0.429,24.0,0.333,8.0,42.9,24,0.531,12.9,9,32.0,0.5,16.0,0.9,9,60.67999999999999,57.6875,59.83040695016005,15.6,15.25,15.986282578875176,14.2,13.375,12.866712391403752,5.0,4.5,4.415180612711477,95.3,93.125,99.60489254686787,64.38,68.4875,68.21838134430728,24.0,25.125,24.809327846364887,0.4904,0.50475,0.509207133058985,60.8,60.75,61.54732510288068,0.4236,0.434,0.4352418838591679,25.6,26.375,26.636945587562877,0.5246,0.52425,0.5465459533607682,31.2,31.125,32.72610882487426,0.7807999999999999,0.74425,0.7807192501143119,24.6,23.125,25.831275720164612,0.0,0.0,0.0,200.0,200.0,200.0,111.35999999999999,113.675,115.7708733424783,43.8,46.3125,47.418930041152265,13.0,13.375,13.796524919981714,21.4,22.125,22.648834019204394,84.2,84.625,88.48605395518977,13.219999999999999,11.1875,12.15459533607682,10.0,8.375,9.28440786465478,0.37160000000000004,0.382125,0.38178692272519443,23.2,23.5,24.07727480566987,0.36219999999999997,0.375125,0.3922693187014175,8.4,8.75,9.380887059899408,54.120000000000005,57.1,57.62830361225424,37.0,38.5,38.6058527663466,0.557,0.5605,0.5746145404663924,15.860000000000003,15.6125,15.855189757658895,13.8,13.5,14.11979881115684,37.6,37.25,37.4700502972108,0.45760000000000006,0.46875,0.4586122542295383,17.2,17.625,17.25605852766347,1.0,1.0,1.0,6.8,5.0,6.91952446273434
2009-12-19,"Izod Center, East Rutherford, New Jersey",VILLANOVA,FORDHAM,Away,52.8,19,7.9,3,78.4,73.2,30,0.588,68,0.529,36,0.294,20,0.8,16,1,200.0,129.7,50.0,14,19,96,16.2,12,0.338,23.0,0.348,8.0,63.8,44,0.619,11.5,10,45.0,0.622,28.0,0.909,10,59.779999999999994,56.833333333333336,56.55360463344003,15.6,14.88888888888889,14.657521719250118,12.66,12.744444444444445,11.144474927602502,4.6,4.222222222222222,3.6101204084743186,101.44,96.22222222222223,106.73659503124526,64.0,68.74444444444445,69.07892089620485,22.4,24.333333333333332,22.539551897576594,0.5074,0.5042222222222222,0.5061380887059901,60.2,60.22222222222222,59.69821673525379,0.4348000000000001,0.4334444444444444,0.433161255906112,26.0,26.11111111111111,25.757963725041922,0.4654,0.48777777777777775,0.42969730224051217,27.6,28.88888888888889,25.484072549916178,0.7926,0.7524444444444445,0.7931461667428746,22.0,21.555555555555557,20.220850480109743,0.2,0.1111111111111111,0.3333333333333333,200.0,200.0,200.0,112.6,112.68888888888888,112.11391556165219,40.18,43.599999999999994,38.91262002743485,11.8,12.555555555555555,11.19768327998781,21.8,21.77777777777778,21.43255601280293,83.0,82.44444444444444,80.65736930345986,14.679999999999998,11.377777777777776,12.403063557384549,10.8,8.333333333333334,8.856271909769854,0.39299999999999996,0.38733333333333336,0.3975246151501296,24.2,23.555555555555557,24.051516537113248,0.3762,0.37044444444444447,0.3725128791342784,9.0,8.666666666666666,8.920591373266273,51.52,55.52222222222222,52.718869074836164,34.2,36.888888888888886,33.7372351775644,0.5656000000000001,0.5572222222222222,0.5600763603109282,15.38,15.311111111111112,14.87012650510593,13.0,13.0,12.413199207437895,36.0,36.666666666666664,35.646700198140536,0.4726,0.4722222222222222,0.4724081694863589,17.0,17.444444444444443,16.83737235177565,0.9800000000000001,0.9888888888888889,0.9666666666666668,7.8,5.444444444444445,7.61301630848956
2009-12-23,"Wells Fargo Center, Philadelphia, Pennsylvania",DELAWARE,VILLANOVA,Home,45.5,15,8.6,3,88.7,77.1,28,0.648,61,0.541,33,0.344,21,0.857,18,1,200.0,136.6,52.2,11,17,97,9.9,7,0.41,25.0,0.52,13.0,67.2,39,0.683,14.6,12,36.0,0.556,20.0,0.917,11,56.739999999999995,56.42999999999999,55.30240308896002,16.0,15.3,16.10501447950008,11.379999999999999,12.260000000000002,10.062983285068336,3.8,4.1,3.4067469389828795,100.54,94.44,97.29106335416353,72.14,69.19,70.45261393080324,25.4,24.9,25.02636793171773,0.5316,0.5126000000000001,0.5334253924706601,61.8,61.0,62.465477823502525,0.4572,0.44299999999999995,0.465107503937408,28.2,27.1,29.171975816694616,0.4208,0.46840000000000004,0.3844648681603415,25.4,28.0,23.65604836661079,0.7914,0.7572,0.7954307778285832,20.2,21.0,18.813900320073163,0.4,0.2,0.5555555555555556,200.0,200.0,200.0,117.21999999999998,114.39000000000001,117.97594370776812,41.7,44.239999999999995,42.60841335162323,12.2,12.7,12.131788853325208,20.4,21.5,20.62170400853529,86.0,83.8,85.77157953563992,13.180000000000001,11.86,13.668709038256367,9.6,8.7,9.904181273179903,0.3806,0.3824,0.37768307676675306,24.0,23.5,23.701011024742165,0.3958,0.36819999999999997,0.36434191942285227,9.4,8.6,8.613727582177516,56.879999999999995,56.35,56.41257938322411,37.6,37.6,37.158156785042934,0.581,0.5634,0.5797175735406188,14.48,14.930000000000001,13.746751003403954,12.4,12.7,11.608799471625264,37.8,37.5,38.76446679876036,0.49139999999999995,0.48719999999999997,0.5222721129909059,18.8,18.5,20.5582482345171,0.9618,0.9808999999999999,0.9474444444444445,8.6,5.9,8.40867753899304
2010-01-02,"Bradley Center, Milwaukee, Wisconsin",VILLANOVA,MARQUETTE,Away,46.4,13,0.0,0,109.1,71.0,24,0.5,59,0.475,28,0.373,22,0.682,15,1,200.0,112.1,32.1,7,17,74,3.0,2,0.169,10.0,0.3,3.0,52.5,31,0.533,9.2,7,49.0,0.51,25.0,0.923,12,54.17999999999999,55.43636363636363,52.034935392640016,16.2,15.272727272727273,15.736676319666723,8.52,11.927272727272726,9.575322190045558,2.8,4.0,3.2711646259885865,101.94,93.91818181818181,94.42737556944236,72.56,69.9090909090909,72.66840928720217,24.8,25.181818181818183,26.017578621145155,0.5554,0.5249090909090909,0.5716169283137734,63.6,61.0,61.97698521566835,0.47300000000000003,0.4519090909090909,0.49040500262493875,30.0,27.636363636363637,30.447983877796414,0.3742,0.45709090909090905,0.370976578773561,23.6,27.363636363636363,22.77069891107386,0.8162,0.7662727272727273,0.8159538518857221,19.4,20.727272727272727,18.54260021338211,0.6,0.2727272727272727,0.7037037037037037,200.0,200.0,200.0,122.83999999999999,116.4090909090909,124.18396247184542,45.94,44.96363636363637,45.80560890108215,12.8,12.545454545454545,11.754525902216805,20.8,21.09090909090909,19.414469339023526,90.0,85.0,89.51438635709329,12.62,11.681818181818182,12.412472692170912,9.2,8.545454545454545,8.936120848786603,0.40499999999999997,0.3849090909090909,0.38845538451116873,26.0,23.636363636363637,24.13400734982811,0.4064,0.382,0.4162279462819015,10.6,9.0,10.075818388118345,59.02,57.33636363636364,60.00838625548275,37.6,37.72727272727273,37.77210452336196,0.6014,0.5742727272727273,0.6141450490270792,14.080000000000002,14.9,14.031167335602635,12.2,12.636363636363637,11.739199647750176,37.6,37.36363636363637,37.84297786584024,0.5108,0.4934545454545454,0.5335147419939373,19.4,18.636363636363637,20.372165489678068,0.9452,0.9750909090909091,0.9372962962962964,9.4,6.363636363636363,9.272451692662028
2010-01-06,"Wells Fargo Center, Philadelphia, Pennsylvania",DEPAUL,VILLANOVA,Home,52.8,19,7.1,2,98.6,65.6,23,0.612,67,0.537,36,0.284,19,0.895,17,1,200.0,135.6,60.7,15,19,99,19.2,14,0.388,26.0,0.385,10.0,63.3,38,0.651,15.7,14,41.0,0.634,26.0,0.929,13,50.8,54.68333333333333,50.15662359509335,15.0,15.083333333333334,14.824450879777817,7.340000000000001,10.933333333333332,6.383548126697039,2.4,3.6666666666666665,2.1807764173257245,101.7,95.18333333333334,99.31825037962824,72.14,70.0,72.11227285813479,25.2,25.083333333333332,25.345052414096774,0.554,0.5228333333333334,0.547744618875849,60.4,60.833333333333336,60.98465681044557,0.488,0.4538333333333333,0.4852700017499592,29.6,27.666666666666668,29.631989251864276,0.3794,0.45008333333333334,0.37165105251570735,22.8,26.916666666666668,22.51379927404924,0.8064,0.7592500000000001,0.7713025679238148,18.6,20.25,17.361733475588075,0.8,0.3333333333333333,0.8024691358024691,200.0,200.0,200.0,120.9,116.05,120.15597498123029,42.36,43.89166666666667,41.23707260072143,10.2,12.083333333333334,10.169683934811204,19.4,20.75,18.609646226015684,85.8,84.08333333333333,84.3429242380622,10.66,10.958333333333334,9.27498179478061,7.6,8.0,6.624080565857736,0.3348,0.3669166666666667,0.31530358967411254,20.2,22.5,19.422671566552076,0.38439999999999996,0.37516666666666665,0.3774852975212677,8.0,8.5,7.717212258745564,57.85999999999999,56.93333333333334,57.5055908369885,35.4,37.166666666666664,35.514736348907974,0.5992,0.5708333333333333,0.5870966993513862,13.14,14.424999999999999,12.420778223735091,10.8,12.166666666666666,10.15946643183345,40.2,38.333333333333336,41.561985243893496,0.535,0.4948333333333333,0.5256764946626249,21.6,19.166666666666668,21.914776993118714,0.9298,0.9707500000000001,0.932530864197531,10.2,6.833333333333333,10.181634461774685
2010-01-09,"Wells Fargo Center, Philadelphia, Pennsylvania",MARQUETTE,VILLANOVA,Home,60.7,17,3.3,1,116.9,63.3,19,0.643,49,0.571,28,0.388,19,0.789,15,1,200.0,120.0,26.3,5,20,78,9.2,6,0.306,15.0,0.467,7.0,49.0,24,0.672,17.3,12,34.0,0.618,21.0,0.933,14,49.49999999999999,54.53846153846154,51.037749063395566,15.6,15.384615384615385,16.216300586518546,6.260000000000001,10.63846153846154,6.622365417798026,2.0,3.5384615384615383,2.120517611550483,99.16,95.44615384615385,99.07883358641882,71.53999999999999,69.66153846153847,69.94151523875652,24.6,24.923076923076923,24.563368276064516,0.5696,0.5296923076923077,0.5691630792505661,62.2,61.30769230769231,62.989771206963724,0.5022,0.4602307692307693,0.5025133344999728,31.4,28.307692307692307,31.754659501242852,0.29819999999999997,0.4373076923076923,0.34243403501047154,18.6,26.307692307692307,21.34253284936616,0.8103999999999999,0.7696923076923077,0.8125350452825433,15.0,20.0,17.241155650392052,1.0,0.38461538461538464,0.8683127572016462,200.0,200.0,200.0,123.75999999999999,117.55384615384615,125.30398332082021,43.38,45.184615384615384,47.72471506714763,10.6,12.307692307692308,11.779789289874136,18.2,20.615384615384617,18.739764150677125,86.2,85.23076923076923,89.22861615870814,12.24,11.592307692307692,12.583321196520407,8.6,8.461538461538462,9.082720377238491,0.3468,0.3685384615384616,0.3395357264494084,21.6,22.76923076923077,21.615114377701385,0.3772,0.3759230769230769,0.3799901983475118,8.4,8.615384615384615,8.478141505830376,57.94,57.42307692307692,59.43706055799234,35.2,37.23076923076923,36.343157565938654,0.6034,0.5770000000000001,0.6083977995675909,12.78,14.523076923076925,13.513852149156728,10.4,12.307692307692308,11.439644287888967,40.6,38.53846153846154,41.374656829262335,0.5644,0.5055384615384615,0.5617843297750833,23.0,19.692307692307693,23.276517995412476,0.9156000000000001,0.9675384615384615,0.9313539094650207,11.0,7.3076923076923075,11.121089641183124
2010-01-11,"Freedom Hall, Louisville, Kentucky",VILLANOVA,LOUISVILLE,Away,41.7,10,11.1,3,105.0,45.2,21,0.582,49,0.49,24,1.0,49,0.714,35,1,200.0,115.0,45.5,13,33,92,13.8,11,0.286,14.0,0.643,9.0,45.3,34,0.636,23.8,21,35.0,0.429,15.0,0.938,15,51.64,54.97857142857142,54.25849937559705,16.6,15.5,16.477533724345697,5.38,10.114285714285714,5.514910278532017,1.8,3.357142857142857,1.7470117410336554,98.34,96.97857142857143,105.0192223909459,70.03999999999999,69.20714285714286,67.72767682583769,24.8,24.5,22.70891218404301,0.5982000000000001,0.5377857142857143,0.5937753861670441,60.8,60.42857142857143,58.32651413797582,0.5306,0.46814285714285714,0.5253422229999819,32.2,28.285714285714285,30.503106334161902,0.33659999999999995,0.4337857142857143,0.35762269000698105,20.2,25.785714285714285,20.561688566244108,0.8046000000000001,0.7710714285714285,0.8046900301883623,16.2,19.642857142857142,16.494103766928035,1.0,0.42857142857142855,0.9122085048010975,200.0,200.0,200.0,126.8,117.72857142857143,123.53598888054681,44.260000000000005,43.83571428571429,40.58314337809842,10.4,11.785714285714286,9.519859526582758,18.4,20.571428571428573,19.159842767118086,88.8,84.71428571428571,85.48574410580542,11.5,11.421428571428573,11.455547464346939,8.2,8.285714285714286,8.055146918158995,0.32220000000000004,0.3640714285714286,0.32835715096627227,19.8,22.214285714285715,19.410076251800923,0.404,0.38242857142857145,0.40899346556500793,8.2,8.5,7.985427670553584,59.160000000000004,56.82142857142857,55.9580403719949,35.2,36.285714285714285,32.22877171062577,0.6315999999999999,0.5837857142857142,0.6295985330450606,13.66,14.721428571428572,14.775901432771153,11.0,12.285714285714286,11.626429525259312,41.0,38.214285714285715,38.91643788617489,0.5880000000000001,0.5135714285714286,0.5805228865167222,24.0,19.785714285714285,22.51767866360832,0.9222000000000001,0.9650714285714287,0.931902606310014,12.0,7.785714285714286,12.080726427455417
2010-01-17,"Wells Fargo Center, Philadelphia, Pennsylvania",GEORGETOWN,VILLANOVA,Home,61.5,16,11.8,4,102.7,60.5,25,0.468,63,0.413,26,0.476,30,0.767,23,1,200.0,109.3,38.2,11,27,82,13.3,10,0.333,21.0,0.333,7.0,50.0,36,0.531,12.6,11,42.0,0.452,19.0,0.941,16,49.42,54.093333333333334,50.0723329170647,14.8,15.133333333333333,14.318355816230465,6.0200000000000005,10.18,7.376606852354678,1.8,3.3333333333333335,2.164674494022437,103.66,97.51333333333334,105.01281492729727,64.44,67.60666666666667,60.21845121722514,23.0,24.266666666666666,22.13927478936201,0.597,0.5407333333333334,0.5898502574446961,57.0,59.666666666666664,55.21767609198389,0.5227999999999999,0.4696,0.513561481999988,29.8,28.0,28.335404222774603,0.47779999999999995,0.4715333333333333,0.5717484600046541,26.0,27.333333333333332,30.041125710829405,0.7874000000000001,0.7672666666666667,0.7744600201255749,20.0,20.666666666666668,22.66273584461869,1.0,0.4666666666666667,0.9414723365340651,200.0,200.0,200.0,123.85999999999999,117.54666666666667,120.69065925369787,43.36,43.94666666666667,42.22209558539895,10.2,11.866666666666667,10.679906351055173,21.2,21.4,23.773228511412057,88.0,85.2,87.65716273720362,11.02,11.58,12.23703164289796,8.0,8.466666666666667,9.036764612105998,0.3118,0.35886666666666667,0.31423810064418156,18.0,21.666666666666668,17.606717501200617,0.46299999999999997,0.3998,0.4869956437100053,8.4,8.533333333333333,8.323618447035724,55.459999999999994,56.05333333333333,52.4053602479966,33.2,36.13333333333333,32.819181140417186,0.635,0.5872666666666667,0.6317323553633738,16.119999999999997,15.326666666666666,17.783934288514104,13.2,12.866666666666667,14.750953016839542,39.0,38.0,37.61095859078326,0.5494000000000001,0.5079333333333333,0.5300152576778149,21.4,19.466666666666665,20.01178577573888,0.9279999999999999,0.9632666666666666,0.9339350708733427,13.0,8.266666666666667,13.053817618303613
2010-01-20,"Louis Brown Athletic Center, New Brunswick, New Jersey",VILLANOVA,RUTGERS,Away,42.4,14,8.6,3,94.4,70.3,29,0.561,66,0.5,33,0.455,30,0.667,20,1,200.0,130.6,59.0,20,20,94,5.6,4,0.258,17.0,0.471,8.0,64.5,49,0.586,14.1,12,49.0,0.51,25.0,0.944,17,52.620000000000005,54.55625,53.88155527804314,15.0,15.1875,14.878903877486977,6.659999999999999,10.28125,8.85107123490312,2.0,3.375,2.7764496626816246,106.46,97.8375,104.24187661819819,61.11999999999999,67.1625,60.312300811483425,22.4,24.3125,23.092849859574674,0.5609999999999999,0.5361875,0.5492335049631307,57.4,59.875,57.8117840613226,0.4972,0.4660625,0.480040987999992,28.4,27.875,27.556936148516407,0.5042,0.47181249999999997,0.5398323066697694,27.8,27.5,30.027417140552938,0.7694,0.76725,0.7719733467503833,21.0,20.8125,22.775157229745794,1.0,0.5,0.9609815576893768,200.0,200.0,200.0,118.4,117.03125,116.89377283579859,40.56,43.5875,40.881397056932634,10.2,11.8125,10.786604234036783,23.2,21.75,24.84881900760804,85.0,85.0,85.77144182480242,11.7,11.6875,12.591354428598642,8.6,8.5625,9.357843074737332,0.2964,0.35725,0.32049206709612105,17.2,21.625,18.737811667467078,0.42560000000000003,0.395625,0.4356637624733369,7.2,8.4375,7.882412298023816,52.02,55.675,51.6035734986644,32.6,36.125,33.87945409361146,0.6046,0.58375,0.5981549035755827,15.720000000000002,15.15625,16.055956192342734,13.0,12.75,13.500635344559695,40.2,38.25,39.07397239385551,0.5286000000000001,0.5044375,0.5040101717852099,21.2,19.4375,19.674523850492587,0.9328,0.961875,0.9362900472488952,14.0,8.75,14.035878412202411
2010-01-23,"Madison Square Garden (IV), New York, New York",VILLANOVA,ST-JOHNS-NY,Away,35.7,10,22.2,10,95.9,61.8,25,0.536,56,0.5,28,0.482,27,0.778,21,1,200.0,109.5,43.3,9,20,81,6.8,5,0.25,14.0,0.286,4.0,53.1,34,0.588,22.8,20,42.0,0.571,24.0,0.947,18,51.82000000000001,53.84117647058823,50.054370185362096,15.2,15.117647058823529,14.585935918324651,8.379999999999999,10.18235294117647,8.767380823268747,2.6,3.3529411764705883,2.85096644178775,103.52000000000001,97.63529411764705,100.96125107879881,60.98,67.34705882352942,63.641533874322285,23.4,24.58823529411765,25.06189990638312,0.5731999999999999,0.5376470588235295,0.5531556699754205,58.8,60.23529411764706,60.54118937421507,0.5022,0.46805882352941175,0.48669399199999475,29.4,28.176470588235293,29.371290765677607,0.5206,0.4708235294117647,0.5115548711131797,29.4,27.647058823529413,30.018278093701962,0.7664,0.7613529411764706,0.7369822311669223,22.0,20.764705882352942,21.85010481983053,1.0,0.5294117647058824,0.9739877051262513,200.0,200.0,200.0,122.1,117.82941176470588,121.46251522386574,45.94,44.49411764705882,46.920931371288425,12.8,12.294117647058824,13.857736156024522,23.8,21.647058823529413,23.23254600507203,89.0,85.52941176470588,88.51429454986828,12.22,11.329411764705881,10.260902952399096,9.0,8.294117647058824,7.571895383158221,0.31420000000000003,0.35141176470588237,0.2996613780640807,18.6,21.352941176470587,18.15854111164472,0.4598,0.4000588235294118,0.44744250831555793,8.2,8.411764705882353,7.921608198682545,54.42,56.19411764705882,55.90238233244294,36.2,36.88235294117647,38.91963606240764,0.6152,0.5838823529411765,0.5941032690503885,16.7,15.094117647058825,15.403970794895157,14.0,12.705882352941176,13.000423563039798,40.2,38.88235294117647,42.38264826257034,0.5286,0.5047647058823529,0.50600678119014,21.2,19.764705882352942,21.449682566995058,0.937,0.9608235294117646,0.9388600314992636,15.0,9.235294117647058,15.023918941468274
