date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2009-11-30,"Holmes Convocation Center, Boone, North Carolina",Winthrop,Appalachian State,Home,70.8,17,2.2,1,78.5,61.9,26,0.636,44,0.545,24,0.364,16,0.875,14,3,200.0,107.7,50.0,10,24,70,12.3,8,0.477,21.0,0.381,8.0,58.1,36,0.678,32.0,23,23.0,0.696,16.0,0.571,4,52.64,52.64,57.08395061728396,12.6,12.6,14.469135802469138,7.18,7.18,6.871604938271608,3.0,3.0,3.0000000000000004,104.35999999999999,104.35999999999999,107.86172839506173,68.67999999999999,68.67999999999999,68.31234567901237,24.8,24.8,25.370370370370374,0.47620000000000007,0.47620000000000007,0.48687654320987667,56.4,56.4,58.48148148148149,0.41479999999999995,0.41479999999999995,0.4228641975308643,23.2,23.2,24.641975308641978,0.45120000000000005,0.45120000000000005,0.4391481481481483,23.4,23.4,23.864197530864203,0.7296,0.7296,0.7333703703703706,17.4,17.4,17.777777777777782,1.8,1.8,2.0617283950617287,210.0,210.0,212.03703703703707,96.17999999999999,96.17999999999999,100.04691358024694,34.4,34.4,33.89012345679013,9.6,9.6,10.012345679012347,21.0,21.0,20.617283950617285,71.0,71.0,74.77777777777779,9.16,9.16,7.983950617283953,6.6,6.6,5.765432098765433,0.3488,0.3488,0.3403333333333334,20.0,20.0,20.222222222222225,0.3488,0.3488,0.37092592592592594,7.2,7.2,7.71604938271605,51.0,51.0,50.6641975308642,34.4,34.4,35.38271604938272,0.5262,0.5262,0.534,20.020000000000003,20.020000000000003,18.253086419753092,15.6,15.6,14.617283950617288,36.4,36.4,38.25925925925927,0.43520000000000003,0.43520000000000003,0.4315185185185185,16.0,16.0,16.92592592592593,0.58,0.58,0.5765432098765433,1.8,1.8,2.037037037037037
2009-12-03,"Holmes Convocation Center, Boone, North Carolina",Furman,Appalachian State,Away,41.4,12,9.5,4,118.1,78.6,22,0.542,60,0.483,29,0.417,25,0.68,17,4,200.0,113.9,40.0,14,19,82,5.6,4,0.283,17.0,0.412,7.0,57.1,36,0.57,17.4,15,43.0,0.512,22.0,0.5,4,56.8,55.666666666666664,61.655967078189306,13.8,13.333333333333334,15.312757201646093,4.28,6.3500000000000005,5.314403292181073,1.8,2.6666666666666665,2.333333333333334,100.63999999999999,100.05,98.07448559670783,68.96000000000001,67.55,66.17489711934158,25.2,25.0,25.580246913580254,0.49879999999999997,0.5028333333333334,0.5365843621399178,56.4,54.333333333333336,53.65432098765433,0.42379999999999995,0.43649999999999994,0.4635761316872429,23.6,23.333333333333332,24.427983539094654,0.333,0.4366666666666667,0.4140987654320989,18.2,22.166666666666668,21.24279835390947,0.7474000000000001,0.7538333333333332,0.7805802469135804,13.6,16.833333333333332,16.518518518518523,2.4,2.0,2.374485596707819,210.0,208.33333333333334,208.0246913580247,95.14000000000001,98.10000000000001,102.5979423868313,34.4,37.0,39.26008230452675,10.0,9.666666666666666,10.008230452674898,21.0,21.5,21.74485596707819,69.2,70.83333333333333,73.18518518518519,9.040000000000001,9.683333333333334,9.422633744855968,6.4,6.833333333333333,6.510288065843622,0.417,0.3701666666666667,0.38588888888888895,23.0,20.166666666666668,20.481481481481485,0.3584,0.3541666666666667,0.374283950617284,8.4,7.333333333333333,7.810699588477368,51.2,52.18333333333334,53.14279835390947,35.2,34.666666666666664,35.58847736625515,0.5382,0.5515,0.5820000000000001,22.540000000000003,22.016666666666666,22.835390946502063,17.2,16.833333333333332,17.41152263374486,33.4,34.166666666666664,33.17283950617285,0.4692,0.47866666666666663,0.519679012345679,15.2,16.0,16.61728395061729,0.49420000000000003,0.5785,0.5746954732510289,2.4,2.1666666666666665,2.6913580246913584
2009-12-07,"Benjamin Johnson Arena, Spartanburg, South Carolina",Appalachian State,Wofford,Away,29.6,8,2.6,1,116.9,71.4,26,0.738,42,0.643,27,0.571,24,0.625,15,4,200.0,118.5,40.0,7,17,77,0.0,0,0.381,16.0,0.5,8.0,60.0,33,0.721,27.6,19,26.0,0.731,19.0,0.556,5,58.419999999999995,53.628571428571426,54.903978052126206,15.0,13.142857142857142,14.208504801097396,4.12,6.8,6.709602194787382,1.8,2.857142857142857,2.8888888888888893,107.04,102.62857142857142,104.74965706447189,71.52000000000001,69.12857142857142,70.31659807956106,24.2,24.571428571428573,24.38683127572017,0.5162,0.5084285714285715,0.5383895747599452,59.6,55.142857142857146,55.76954732510289,0.4386,0.4431428571428571,0.4700507544581619,25.8,24.142857142857142,25.951989026063103,0.31179999999999997,0.43385714285714283,0.4150658436213993,18.6,22.571428571428573,22.495198902606315,0.7268000000000001,0.7432857142857143,0.7470534979423871,13.4,16.857142857142858,16.679012345679016,3.0,2.2857142857142856,2.9163237311385464,210.0,207.14285714285714,205.34979423868316,101.8,100.35714285714286,106.36529492455422,35.480000000000004,37.42857142857143,39.506721536351165,11.4,10.285714285714286,11.338820301783265,21.0,21.142857142857142,20.82990397805213,74.0,72.42857142857143,76.12345679012347,7.38,9.1,8.148422496570646,5.2,6.428571428571429,5.6735253772290815,0.39180000000000004,0.3577142857142857,0.3515925925925927,22.8,19.714285714285715,19.32098765432099,0.3964,0.36242857142857143,0.3868559670781893,9.0,7.285714285714286,7.540466392318246,52.0,52.885714285714286,54.46186556927298,35.6,34.857142857142854,35.725651577503434,0.5466,0.5541428571428572,0.5780000000000001,19.7,21.357142857142858,21.023593964334708,15.8,16.571428571428573,16.60768175582991,36.8,35.42857142857143,36.448559670781904,0.46399999999999997,0.48342857142857143,0.517119341563786,16.8,16.857142857142858,18.41152263374486,0.49420000000000003,0.5672857142857143,0.5497969821673526,3.0,2.4285714285714284,3.1275720164609058
2009-12-19,"Charles L. Sewall Center, Coraopolis, Pennsylvania",Appalachian State,Robert Morris,Away,81.0,17,12.8,5,80.0,65.3,35,0.553,47,0.447,21,0.383,18,0.722,13,4,200.0,100.0,26.9,4,16,65,7.7,5,0.489,23.0,0.435,10.0,52.0,39,0.585,22.6,16,24.0,0.458,11.0,0.636,7,54.339999999999996,50.625,46.46931870141748,14.0,12.5,12.139003200731597,4.640000000000001,6.275,5.3397347965249224,2.0,2.625,2.25925925925926,109.66,104.4125,108.79977137631461,69.5,69.4125,70.67773205304071,24.8,24.75,24.92455418381345,0.5776000000000001,0.537125,0.6049263831732968,53.6,53.5,51.17969821673527,0.495,0.468125,0.527700502972108,26.0,24.5,26.301326017375406,0.37879999999999997,0.45099999999999996,0.4670438957475995,20.0,22.75,22.99679926840421,0.7342000000000001,0.7285,0.7063689986282581,14.4,16.625,16.119341563786012,3.4,2.5,3.2775491540923642,205.0,206.25,203.56652949245546,107.04,102.625,110.41019661636949,36.660000000000004,37.75,39.67114769090078,10.0,9.875,9.892546867855511,19.0,20.625,19.55326931870142,75.0,73.0,76.41563786008231,5.840000000000001,7.9625,5.432281664380431,4.0,5.625,3.7823502514860547,0.3902,0.360625,0.36139506172839514,20.4,19.25,18.213991769547327,0.425,0.379625,0.4245706447187929,8.6,7.375,7.693644261545497,53.58,53.775,56.30791037951533,34.8,34.625,34.817101051668956,0.6008,0.575,0.6256666666666667,22.4,22.1375,23.215729309556473,17.0,16.875,17.405121170553272,33.2,34.25,32.96570644718794,0.5374000000000001,0.514375,0.5884128943758573,17.4,17.125,18.60768175582991,0.5054000000000001,0.565875,0.5518646547782351,3.6,2.75,3.751714677640604
2009-12-21,"University of Dayton Arena, Dayton, Ohio",Appalachian State,Dayton,Home,62.5,10,6.1,2,106.6,65.9,27,0.444,45,0.356,16,0.289,13,0.692,9,5,200.0,80.3,26.7,8,20,49,3.3,2,0.444,20.0,0.4,8.0,49.3,35,0.479,25.1,17,25.0,0.32,8.0,0.583,7,58.31999999999999,54.0,57.97954580094499,15.2,13.0,13.759335467154399,6.460000000000001,7.0,7.8264898643499485,2.8,2.888888888888889,3.1728395061728403,101.42,101.69999999999999,99.19984758420975,69.22,68.95555555555556,68.88515470202714,28.0,25.88888888888889,28.2830361225423,0.5996,0.5388888888888889,0.5876175887821979,52.4,52.77777777777778,49.78646547782351,0.5164000000000001,0.4657777777777778,0.5008003353147387,26.6,24.11111111111111,24.53421734491694,0.42519999999999997,0.4434444444444444,0.439029263831733,22.0,22.22222222222222,21.331199512269475,0.7285999999999999,0.7277777777777777,0.7115793324188388,15.8,16.22222222222222,15.07956104252401,3.6,2.6666666666666665,3.518366102728243,205.0,205.55555555555554,202.37768632830364,110.98000000000002,102.33333333333333,106.94013107757966,38.040000000000006,36.544444444444444,35.41409846060052,9.6,9.222222222222221,7.928364578570341,19.2,20.11111111111111,18.368846212467616,77.4,72.11111111111111,72.61042524005488,5.86,7.933333333333334,6.188187776253621,4.0,5.555555555555555,4.1882335009907035,0.3898,0.3748888888888889,0.40393004115226344,19.8,19.666666666666668,19.809327846364887,0.4274,0.3857777777777778,0.42804709647919525,8.4,7.666666666666667,8.462429507697,55.92,53.577777777777776,54.87194025301022,37.6,35.111111111111114,36.21140070111264,0.6244,0.576111111111111,0.6121111111111112,22.5,22.188888888888886,23.010486206370985,17.0,16.77777777777778,16.936747447035515,32.6,33.111111111111114,29.97713763145863,0.5771999999999999,0.5081111111111112,0.5449419295839049,18.2,16.444444444444443,16.07178783721994,0.5526,0.5736666666666667,0.5799097698521568,4.6,3.2222222222222223,4.834476451760402
2009-12-30,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",Appalachian State,Campbell,Home,66.7,14,10.3,4,137.3,73.7,17,0.489,47,0.447,21,0.532,25,0.68,17,6,200.0,94.0,40.7,8,16,63,6.0,4,0.383,18.0,0.222,4.0,54.3,25,0.535,24.7,19,29.0,0.586,17.0,0.538,7,57.06,54.85,59.48636386729666,12.8,12.7,12.506223644769602,6.640000000000001,6.909999999999999,7.250993242899966,2.6,2.8,2.781893004115227,100.02,102.19,101.66656505613985,68.62,68.65,67.89010313468476,27.2,26.0,27.8553574150282,0.5826,0.5294000000000001,0.539745059188132,47.6,52.0,48.19097698521568,0.4948,0.4548,0.45253355687649244,23.4,23.3,21.689478229944626,0.4048,0.42800000000000005,0.38901950922115536,19.2,21.3,18.55413300817965,0.7188,0.7242,0.7050528882792259,13.6,15.5,13.053040695016007,4.0,2.9,4.012244068485495,200.0,205.0,201.5851242188691,104.08,100.13,98.06008738505312,36.72,35.56,32.50939897373368,8.6,9.1,7.952243052380227,19.2,20.1,18.912564141645078,68.6,69.8,64.74028349336993,5.779999999999999,7.470000000000001,5.225458517502414,3.8,5.2,3.4588223339938025,0.41479999999999995,0.38180000000000003,0.417286694101509,19.4,19.7,19.872885230909926,0.42560000000000003,0.3872,0.41869806431946355,8.2,7.7,8.308286338464667,55.3,53.15,53.01462683534015,35.8,35.1,35.80760046740843,0.6066,0.5664,0.5677407407407408,24.939999999999998,22.48,23.706990804247326,18.0,16.8,16.95783163135701,28.2,32.3,28.318091754305755,0.5433999999999999,0.48929999999999996,0.4699612863892699,15.2,15.6,13.381191891479961,0.5692,0.5746,0.5809398465681046,5.4,3.6,5.556317634506934
2010-01-06,"Holmes Convocation Center, Boone, North Carolina",Citadel,Appalachian State,Away,34.8,8,7.4,2,112.7,71.4,22,0.481,54,0.426,23,0.167,9,0.667,6,7,200.0,105.5,45.5,13,18,58,3.6,2,0.37,20.0,0.3,6.0,57.4,35,0.498,17.2,12,34.0,0.5,17.0,0.5,7,56.239999999999995,55.92727272727273,61.890909244864446,12.2,12.818181818181818,13.004149096513068,8.26,7.218181818181819,8.267328828599979,3.2,2.909090909090909,3.1879286694101516,111.78000000000002,105.38181818181819,113.54437670409324,70.97999999999999,69.10909090909091,69.82673542312318,25.4,25.181818181818183,24.236904943352137,0.5532,0.5257272727272727,0.5228300394587546,48.2,51.54545454545455,47.79398465681045,0.47519999999999996,0.4540909090909091,0.4506890379176617,22.8,23.09090909090909,21.459652153296418,0.4384,0.4374545454545454,0.43667967281410364,21.0,21.636363636363637,20.70275533878643,0.6798,0.7201818181818181,0.696701925519484,14.2,15.636363636363637,14.368693796677338,4.6,3.1818181818181817,4.674829378990331,200.0,204.54545454545453,201.0567494792461,101.34,99.57272727272726,96.70672492336875,34.86,36.02727272727273,35.23959931582246,8.2,9.0,7.968162034920152,17.6,19.727272727272727,17.941709427763385,67.2,69.18181818181819,64.16018899557996,4.5200000000000005,7.336363636363637,5.483639011668276,3.0,5.090909090909091,3.6392148893292022,0.396,0.38190909090909086,0.4058577960676727,18.8,19.545454545454547,19.24859015393995,0.3938,0.3721818181818182,0.3531320428796424,7.4,7.363636363636363,6.872190892309778,54.54,53.25454545454545,53.44308455689344,33.6,34.18181818181818,32.205066978272285,0.578,0.5635454545454546,0.5568271604938273,23.479999999999997,22.681818181818183,24.037993869498216,17.2,17.0,17.638554420904676,29.4,32.0,28.545394502870508,0.5214000000000001,0.4980909090909091,0.5086408575928466,15.4,15.727272727272727,14.587461260986641,0.5626,0.5712727272727273,0.5666265643787365,6.0,3.909090909090909,6.03754508967129
2010-01-09,"Belk Arena, Davidson, North Carolina",Appalachian State,Davidson,Away,16.0,4,6.3,2,101.5,69.0,29,0.606,47,0.532,25,0.511,24,0.875,21,7,200.0,116.4,55.6,10,18,78,10.4,7,0.319,15.0,0.467,7.0,65.0,39,0.668,23.8,17,32.0,0.563,18.0,0.533,8,54.92,54.166666666666664,52.86060616324296,11.4,12.416666666666666,11.33609939767538,7.840000000000001,7.233333333333333,7.978219219066653,2.8,2.8333333333333335,2.7919524462734344,110.7,105.99166666666667,113.26291780272884,69.53999999999999,69.3,70.3511569487488,25.4,24.916666666666668,23.49126996223476,0.541,0.522,0.5088866929725031,47.0,51.75,49.86265643787364,0.4638,0.45175000000000004,0.44245935861177443,21.6,23.083333333333332,21.973101435530946,0.38839999999999997,0.41491666666666666,0.34678644854273577,17.8,20.583333333333332,16.80183689252429,0.6772,0.71575,0.686801283679656,12.0,14.833333333333334,11.579129197784892,5.2,3.5,5.449886252660221,200.0,204.16666666666666,200.70449965283075,99.66,100.06666666666666,99.63781661557917,35.96,36.81666666666667,38.65973287721498,8.0,9.333333333333334,9.645441356613436,17.4,19.583333333333332,17.961139618508923,62.4,68.25,62.10679266371997,4.119999999999999,7.0249999999999995,4.855759341112185,2.6,4.833333333333333,3.092809926219468,0.41340000000000005,0.3809166666666666,0.39390519737844853,19.4,19.583333333333332,19.499060102626636,0.3714,0.3661666666666667,0.33542136191976163,7.2,7.25,6.581460594873186,54.6,53.6,54.7620563712623,33.4,34.25,33.13671131884819,0.5636,0.5580833333333334,0.5372181069958849,23.44,22.224999999999998,21.758662579665476,16.6,16.583333333333332,15.759036280603118,27.6,32.166666666666664,30.363596335247006,0.519,0.49825,0.5057605717285645,14.4,15.833333333333334,15.391640840657761,0.5626,0.5653333333333334,0.5444177095858244,6.6,4.166666666666667,6.358363393114193
2010-01-13,"Holmes Convocation Center, Boone, North Carolina",Elon,Appalachian State,Home,57.1,16,9.7,3,97.0,90.3,29,0.583,54,0.519,28,0.63,34,0.765,26,7,200.0,132.8,34.5,9,13,89,9.0,6,0.315,17.0,0.412,7.0,63.3,38,0.634,9.2,6,37.0,0.568,21.0,0.562,9,52.2,51.23076923076923,40.573737442161985,10.6,11.76923076923077,8.890732931783587,8.58,7.161538461538462,7.418812812711102,3.0,2.769230769230769,2.5279682975156232,107.62,105.64615384615385,109.34194520181923,69.06,69.27692307692308,69.90077129916587,26.0,25.23076923076923,25.327513308156508,0.5146,0.5284615384615384,0.5412577953150021,48.0,51.38461538461539,48.90843762524909,0.44160000000000005,0.45792307692307693,0.47230623907451635,21.2,23.23076923076923,22.9820676236873,0.3764,0.42230769230769233,0.4015242990284905,17.8,20.846153846153847,19.201224595016193,0.7272000000000001,0.728,0.7495341891197707,13.2,15.307692307692308,14.71941946518993,5.8,3.769230769230769,5.966590835106814,200.0,203.84615384615384,200.46966643522052,99.24,101.32307692307693,105.22521107705279,39.08,38.26153846153846,44.30648858480998,8.6,9.384615384615385,9.763627571075624,17.6,19.46153846153846,17.97409307900595,62.6,69.0,67.40452844247999,6.2,7.2846153846153845,6.703839560741457,4.0,5.0,4.395206617479646,0.40099999999999997,0.3761538461538461,0.3689367982522991,19.2,19.23076923076923,17.999373401751093,0.3648,0.3739230769230769,0.3792809079465078,7.0,7.230769230769231,6.720973729915458,55.6,54.47692307692308,58.1747042475082,34.6,34.61538461538461,35.09114087923213,0.5529999999999999,0.5665384615384615,0.58081207133059,22.68,22.346153846153847,22.439108386443653,16.2,16.615384615384617,16.17269085373541,28.8,32.15384615384615,30.909064223498007,0.4854,0.5032307692307693,0.5248403811523763,14.2,16.0,16.261093893771843,0.558,0.5628461538461539,0.5406118063905496,7.2,4.461538461538462,6.905575595409463
2010-01-16,"Holmes Convocation Center, Boone, North Carolina",UNC Greensboro,Appalachian State,Home,52.2,12,12.5,6,95.5,73.8,32,0.5,52,0.442,23,0.558,29,0.69,20,7,200.0,107.5,44.8,12,10,72,6.0,4,0.365,19.0,0.316,6.0,62.0,44,0.547,16.7,12,33.0,0.515,17.0,0.588,10,47.42,51.65,46.08249162810799,10.4,12.071428571428571,11.260488621189058,7.959999999999999,7.3428571428571425,8.179208541807402,2.6,2.7857142857142856,2.685312198343749,111.02000000000001,105.02857142857144,105.22796346787949,74.06,70.77857142857142,76.70051419944392,24.8,25.5,26.551675538771008,0.5206,0.5323571428571429,0.5551718635433347,49.4,51.57142857142857,50.6056250834994,0.45600000000000007,0.4622857142857143,0.4878708260496776,22.6,23.571428571428573,24.654711749124868,0.4258,0.43714285714285717,0.4776828660189937,21.0,21.785714285714285,24.134149730010797,0.7358,0.730642857142857,0.7546894594131806,15.8,16.071428571428573,18.479612976793288,6.4,4.0,6.311060556737877,200.0,203.57142857142858,200.3131109568137,105.8,103.57142857142857,114.41680738470187,40.6,37.99285714285714,41.037659056539994,9.6,9.357142857142858,9.50908504738375,17.0,19.0,16.316062052670635,67.4,70.42857142857143,74.60301896165333,6.459999999999999,7.4071428571428575,7.469226373827639,4.2,5.071428571428571,4.930137744986431,0.36619999999999997,0.3717857142857143,0.35095786550153274,18.0,19.071428571428573,17.66624893450073,0.36019999999999996,0.3766428571428571,0.39018727196433856,6.4,7.214285714285714,6.813982486610305,57.85999999999999,55.107142857142854,59.88313616500547,34.4,34.857142857142854,36.06076058615476,0.5628,0.5713571428571428,0.59854138088706,20.0,21.407142857142855,18.026072257629103,14.2,15.857142857142858,12.781793902490275,31.4,32.5,32.939376148998676,0.5074,0.5078571428571428,0.5392269207682509,16.2,16.357142857142858,17.840729262514564,0.5431999999999999,0.5627857142857143,0.5477412042603664,7.6,4.785714285714286,7.603717063606309
2010-01-20,"Hanner Fieldhouse, Statesboro, Georgia",Appalachian State,Georgia Southern,Home,26.9,7,17.6,6,94.4,75.9,23,0.423,65,0.4,26,0.308,20,0.5,10,8,200.0,90.3,43.2,15,16,65,9.7,7,0.169,11.0,0.273,3.0,57.6,38,0.436,15.9,14,54.0,0.426,23.0,0.556,10,45.36,51.68666666666666,48.12166108540533,10.8,12.066666666666666,11.506992414126039,9.24,7.6866666666666665,9.619472361204934,3.4,3.0,3.790208132229166,108.8,104.39333333333335,101.98530897858633,75.64000000000001,70.98,75.73367613296261,25.8,25.933333333333334,28.36778369251401,0.5317999999999999,0.5302,0.5367812423622231,50.8,51.6,51.070416722332936,0.4732,0.4609333333333333,0.47258055069978505,24.0,23.533333333333335,24.103141166083248,0.4796,0.4452,0.5044552440126625,24.2,22.266666666666666,25.7560998200072,0.7354,0.7279333333333333,0.7331263062754537,18.0,16.333333333333332,18.986408651195525,6.8,4.2,6.540707037825252,200.0,203.33333333333334,200.2087406378758,111.24000000000001,103.83333333333333,112.11120492313458,44.22,38.44666666666667,42.29177270436,10.4,9.533333333333333,10.339390031589167,15.0,18.4,14.210708035113758,72.0,70.53333333333333,73.73534597443556,7.0,7.3133333333333335,6.979484249218427,4.6,5.0,4.620091829990955,0.35040000000000004,0.37133333333333335,0.35563857700102186,17.8,19.066666666666666,18.110832623000487,0.34340000000000004,0.3726,0.3654581813095591,6.0,7.133333333333334,6.542654991073538,60.4,55.56666666666667,60.58875744333698,36.2,35.46666666666667,38.70717372410317,0.5763999999999999,0.5697333333333333,0.5813609205913735,18.32,21.09333333333333,17.584048171752734,13.2,15.6,12.521195934993518,33.0,32.53333333333333,32.95958409933245,0.5464,0.5083333333333333,0.5311512805121673,18.0,16.4,17.56048617500971,0.5442,0.5644666666666667,0.5611608028402443,8.2,5.133333333333334,8.402478042404207
2010-01-23,"Holmes Convocation Center, Boone, North Carolina",Western Carolina,Appalachian State,Home,62.5,15,4.7,2,101.4,56.8,27,0.6,45,0.533,24,0.956,43,0.767,33,8,200.0,119.2,30.4,5,27,87,8.2,6,0.311,14.0,0.429,6.0,47.8,32,0.665,19.0,15,31.0,0.581,18.0,0.579,11,37.4,50.1375,41.04777405693689,9.4,11.75,10.00466160941736,10.7,8.30625,12.27964824080329,3.8,3.1875,4.526805421486111,100.22,103.76875,99.4568726523909,76.08,71.2875,75.78911742197508,27.0,25.75,26.57852246167601,0.5186,0.5235,0.49885416157481544,54.4,52.4375,55.71361114822196,0.4638,0.457125,0.4483870337998568,25.0,23.6875,24.735427444055503,0.43479999999999996,0.436625,0.43897016267510836,23.2,22.125,23.837399880004803,0.6994,0.7136875,0.6554175375169692,16.6,15.9375,15.990939100797018,7.2,4.4375,7.027138025216836,200.0,203.125,200.13916042525054,110.5,102.9875,104.84080328208972,44.72,38.74375,42.594515136240005,11.8,9.875,11.892926687726112,15.0,18.25,14.807138690075838,72.4,70.1875,70.82356398295704,7.74,7.4625,7.886322832812285,5.2,5.125,5.4133945533273025,0.3076,0.3586875,0.2934257180006813,16.4,18.5625,15.740555082000325,0.3536,0.366375,0.3346387875397061,5.8,6.875,5.361769994049026,61.05999999999999,55.69375,59.59250496222465,38.8,35.625,38.47144914940212,0.5566000000000001,0.561375,0.532907280394249,16.56,20.76875,17.02269878116849,12.2,15.5,13.014130623329013,38.0,33.875,39.97305606622164,0.5144,0.5031875,0.4961008536747782,19.2,16.8125,19.373657450006476,0.5478,0.5639375,0.5594405352268296,8.8,5.4375,8.934985361602806
2010-01-28,"Pete Hanna Center, Birmingham, Alabama",Appalachian State,Samford,Away,45.8,11,8.3,1,94.8,69.0,22,0.596,47,0.511,24,0.362,17,0.706,12,8,200.0,117.2,51.9,12,20,68,12.1,7,0.383,18.0,0.444,8.0,60.7,34,0.617,23.8,16,29.0,0.552,16.0,0.6,12,42.94,50.86470588235294,48.19851603795793,10.8,11.941176470588236,11.66977440627824,10.16,8.094117647058823,9.753098827202194,3.8,3.1176470588235294,3.6845369476574077,97.96000000000001,103.62941176470588,100.1045817682606,73.16,70.43529411764706,69.45941161465005,28.0,25.823529411764707,26.719014974450676,0.5424,0.5279999999999999,0.532569441049877,52.6,52.0,52.14240743214798,0.4852,0.4615882352941177,0.4765913558665712,25.2,23.705882352941178,24.490284962703672,0.5926,0.4671764705882353,0.6113134417834056,30.0,23.352941176470587,30.224933253336538,0.7194,0.7168235294117647,0.6926116916779794,22.0,16.941176470588236,21.660626067198013,7.4,4.647058823529412,7.351425350144558,200.0,202.94117647058823,200.0927736168337,113.24000000000001,103.94117647058823,109.62720218805983,41.7,38.252941176470586,38.52967675749334,10.2,9.588235294117647,9.595284458484075,16.8,18.764705882352942,18.871425793383892,78.2,71.17647058823529,76.21570932197136,8.66,7.5058823529411764,7.990881888541523,6.0,5.176470588235294,5.608929702218202,0.2958,0.3558823529411765,0.2992838120004542,15.2,18.294117647058822,15.160370054666885,0.3794,0.3700588235294118,0.3660925250264707,5.8,6.823529411764706,5.574513329366018,59.14,55.22941176470588,55.661669974816434,38.2,35.411764705882355,36.314299432934746,0.5900000000000001,0.5674705882352942,0.5769381869294994,16.919999999999998,20.66470588235294,17.681799187445662,12.8,15.470588235294118,13.676087082219343,37.4,33.705882352941174,36.98203737748109,0.5306,0.5077647058823529,0.5244005691165188,19.4,16.88235294117647,18.915771633337652,0.5635999999999999,0.5648235294117647,0.5659603568178864,9.6,5.764705882352941,9.623323574401871
