date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-25,"Virgin Islands Sport & Fitness Center , St. Thomas",Fordham,Western Kentucky,Home,44.4,12,13.3,4,101.5,69.2,18,0.517,59,0.458,27,0.119,7,0.429,3,2,200,94.1,10.7,3,16,64,7.4,5,0.373,22,0.318,7,38.9,21,0.513,11.4,8,37,0.541,20,0.667,4,57.339999999999996,57.339999999999996,54.414814814814825,12.0,12.0,11.777777777777779,3.8599999999999994,3.8599999999999994,2.879012345679013,1.2,1.2,0.8641975308641976,84.36,84.36,87.08765432098767,79.92,79.92,81.14567901234568,24.0,24.0,23.370370370370374,0.4568,0.4568,0.46780246913580253,54.2,54.2,55.049382716049394,0.3892,0.3892,0.396567901234568,21.2,21.2,21.97530864197531,0.389,0.389,0.3780740740740742,20.8,20.8,20.395061728395063,0.6083999999999999,0.6083999999999999,0.6290123456790124,12.2,12.2,12.271604938271608,0.4,0.4,0.5555555555555556,200.0,200.0,200.0,93.28,93.28,96.0358024691358,31.560000000000002,31.560000000000002,31.04074074074074,10.6,10.6,10.382716049382717,15.4,15.4,15.037037037037038,61.8,61.8,63.92592592592594,10.98,10.98,9.486419753086421,7.2,7.2,6.23456790123457,0.3798,0.3798,0.3852716049382716,20.4,20.4,21.0,0.3532,0.3532,0.3674320987654321,7.2,7.2,7.703703703703704,53.879999999999995,53.879999999999995,53.866666666666674,34.6,34.6,33.75308641975309,0.48279999999999995,0.48279999999999995,0.4940370370370371,16.240000000000002,16.240000000000002,15.60740740740741,12.2,12.2,11.765432098765434,33.8,33.8,34.04938271604939,0.4044,0.4044,0.40802469135802477,14.0,14.0,14.271604938271606,0.9099999999999999,0.9099999999999999,0.877777777777778,2.6,2.6,2.8395061728395063
2019-12-01,"Rose Hill Gym, Bronx, New York",Maryland-Eastern Shore,Fordham,Home,66.7,16,25.9,7,63.4,91.2,31,0.474,58,0.414,24,0.224,13,0.846,11,2,200,93.0,33.3,10,13,66,12.7,9,0.345,20,0.35,7,64.1,41,0.514,21.1,17,38,0.447,17,0.714,5,55.38000000000001,55.18333333333334,51.076543209876554,11.8,12.0,11.851851851851853,6.5200000000000005,5.433333333333334,6.352674897119343,2.0,1.6666666666666667,1.9094650205761319,87.3,87.21666666666665,91.89176954732511,76.84,78.13333333333334,77.16378600823046,23.2,23.0,21.58024691358025,0.4638,0.4668333333333334,0.48420164609053506,54.6,55.0,56.366255144032934,0.39659999999999995,0.40066666666666667,0.41704526748971205,21.8,22.166666666666668,23.650205761316876,0.304,0.34400000000000003,0.29171604938271617,16.0,18.5,15.930041152263378,0.6104,0.5785,0.5623415637860083,10.2,10.666666666666666,9.18106995884774,0.8,0.6666666666666666,1.037037037037037,200.0,200.0,200.0,92.1,93.41666666666667,95.39053497942388,27.7,28.083333333333332,24.260493827160495,8.8,9.333333333333334,7.9218106995884785,16.2,15.5,15.358024691358025,61.0,62.166666666666664,63.950617283950635,9.52,10.383333333333333,8.790946502057615,6.2,6.833333333333333,5.823045267489714,0.3948,0.37866666666666665,0.3811810699588478,21.4,20.666666666666668,21.333333333333336,0.33440000000000003,0.3473333333333333,0.3509547325102881,7.2,7.166666666666667,7.469135802469136,51.36,51.38333333333333,48.87777777777778,32.0,32.333333333333336,29.502057613168727,0.4906,0.48783333333333334,0.5003580246913581,16.26,15.433333333333335,14.204938271604941,12.0,11.5,10.510288065843623,33.2,34.333333333333336,35.03292181069959,0.4276,0.42716666666666664,0.4523497942386832,14.6,15.0,16.181069958847736,0.8434000000000001,0.8695,0.8075185185185187,3.2,2.8333333333333335,3.226337448559671
2019-12-07,"Rose Hill Gym, Bronx, New York",Manhattan,Fordham,Away,36.8,7,16.7,4,77.1,71.8,28,0.364,59,0.322,19,0.322,19,0.526,10,3,225,75.7,24.4,10,18,53,14.3,10,0.339,20,0.25,5,47.5,38,0.39,15.1,12,39,0.359,14,0.625,5,55.720000000000006,56.82857142857143,56.28436213991771,12.4,12.571428571428571,13.23456790123457,10.58,8.357142857142858,12.868449931412895,3.0,2.4285714285714284,3.606310013717421,85.06,83.81428571428572,82.39451303155008,80.88000000000001,80.0,81.84252400548698,25.0,24.142857142857142,24.7201646090535,0.48,0.46785714285714286,0.48080109739369004,55.0,55.42857142857143,56.91083676268863,0.40800000000000003,0.4025714285714286,0.4160301783264747,22.6,22.428571428571427,23.76680384087792,0.288,0.3268571428571429,0.26914403292181077,15.2,17.714285714285715,14.953360768175585,0.6738,0.6167142857142858,0.6568943758573389,10.6,10.714285714285714,9.78737997256516,1.2,0.8571428571428571,1.3580246913580247,200.0,200.0,200.0,94.88,93.35714285714286,94.59368998628258,28.419999999999998,28.82857142857143,27.27366255144033,8.6,9.428571428571429,8.61454046639232,15.8,15.142857142857142,14.572016460905353,63.6,62.714285714285715,64.6337448559671,8.48,10.714285714285714,10.093964334705078,5.6,7.142857142857143,6.882030178326477,0.39239999999999997,0.37385714285714283,0.3691207133058986,21.4,20.571428571428573,20.888888888888893,0.36439999999999995,0.34771428571428575,0.35063648834019207,7.8,7.142857142857143,7.312757201646091,54.48,53.199999999999996,53.951851851851856,33.6,33.57142857142857,33.33470507544582,0.5105999999999999,0.49157142857142855,0.5049053497942388,17.080000000000002,16.242857142857144,16.503292181069963,12.8,12.285714285714286,12.673525377229083,33.6,34.857142857142854,36.02194787379973,0.4282,0.43,0.45056652949245546,14.8,15.285714285714286,16.454046639231827,0.7862,0.8472857142857143,0.7763456790123459,3.8,3.142857142857143,3.817558299039781
2019-12-10,"Rose Hill Gym, Bronx, New York",Bryant,Fordham,Away,40.9,9,10.7,3,97.2,68.0,17,0.424,59,0.373,22,0.339,20,0.55,11,4,200,85.9,25.7,9,21,61,9.9,7,0.39,23,0.261,6,43.3,26,0.445,17.1,14,36,0.444,16,0.556,5,49.4,54.325,49.78957475994515,11.2,11.875,11.156378600823047,11.98,9.4,14.145633287608598,3.2,2.625,3.737540009144948,86.82000000000001,82.975,80.62967535436673,79.64,78.975,78.49501600365798,24.2,24.625,25.813443072702334,0.46099999999999997,0.45487500000000003,0.44186739826246,57.0,55.875,57.60722450845909,0.3948,0.3925,0.3846867855509832,22.6,22.0,22.177869227251946,0.27480000000000004,0.32625,0.2867626886145406,15.2,17.875,16.30224051211706,0.6422,0.605375,0.613262917238226,10.0,10.625,9.858253315043441,1.8,1.125,1.9053497942386832,205.0,203.125,208.33333333333334,90.67999999999999,91.15,88.2957933241884,24.339999999999996,28.275,26.315775034293555,8.0,9.5,9.076360310928214,15.4,15.5,15.71467764060357,62.6,61.5,60.75582990397807,8.68,11.1625,11.495976223136719,6.0,7.5,7.921353452217652,0.3868,0.3695,0.35908047553726574,21.8,20.5,20.592592592592595,0.33659999999999995,0.3355,0.3170909922267947,7.4,6.875,6.541838134430728,51.11999999999999,52.4875,51.80123456790125,32.2,34.125,34.88980338363055,0.4885999999999999,0.478875,0.4666035665294926,16.4,16.1,16.03552812071331,12.6,12.25,12.449016918152724,35.2,35.375,37.01463191586649,0.4226,0.42112499999999997,0.42004435299497034,15.2,15.125,15.636031092821218,0.7112,0.8195,0.725897119341564,4.2,3.375,4.211705532693188
2019-12-15,"Rose Hill Gym, Bronx, New York",Tennessee State,Fordham,Away,50.0,12,12.5,5,103.1,51.6,16,0.45,60,0.4,24,0.183,11,0.636,7,5,200,95.3,33.3,11,17,61,17.2,11,0.35,21,0.286,6,42.2,27,0.468,12.2,9,39,0.462,18,0.5,5,47.0,52.833333333333336,46.82638317329677,11.2,11.555555555555555,10.437585733882031,13.319999999999999,9.544444444444444,12.997088858405734,3.6,2.6666666666666665,3.4916933394299656,85.42,84.55555555555556,86.15311690291117,76.2,77.75555555555555,74.99667733577199,23.0,23.77777777777778,22.875628715134894,0.4542,0.4514444444444444,0.43591159884164005,59.2,56.22222222222222,58.071483005639394,0.39859999999999995,0.3903333333333333,0.3807911903673221,23.6,22.0,22.118579484834633,0.2468,0.32766666666666666,0.3041751257430271,14.6,18.11111111111111,17.53482700807804,0.6130000000000001,0.5992222222222222,0.5921752781588174,9.0,10.666666666666666,10.238835543362296,2.4,1.4444444444444444,2.6035665294924555,205.0,202.77777777777777,205.55555555555557,90.96,90.56666666666666,87.49719554945894,25.479999999999997,27.98888888888889,26.11051668952904,8.6,9.444444444444445,9.050906873952144,16.4,16.11111111111111,17.476451760402384,62.8,61.44444444444444,60.83721993598539,10.38,11.022222222222222,10.963984148757813,7.2,7.444444444444445,7.614235634811768,0.36479999999999996,0.37177777777777776,0.3693869836915105,21.6,20.77777777777778,21.395061728395063,0.3054,0.3272222222222222,0.29839399481786316,6.6,6.777777777777778,6.36122542295382,49.6,51.46666666666667,48.967489711934164,31.6,33.22222222222222,31.926535589087038,0.4758,0.4751111111111111,0.4594023776863284,15.3,16.211111111111112,16.39035208047554,12.0,12.444444444444445,12.966011278768484,37.6,35.44444444444444,36.67642127724433,0.45299999999999996,0.42366666666666664,0.42802956866331354,17.0,15.222222222222221,15.757354061880815,0.6724,0.7902222222222223,0.6692647462277094,4.6,3.5555555555555554,4.474470355128792
2019-12-20,"Rose Hill Gym, Bronx, New York",James Madison,Fordham,Away,54.2,13,7.9,3,101.4,69.7,23,0.539,51,0.471,24,0.392,20,0.7,14,6,200,93.2,10.7,3,20,69,10.8,8,0.412,21,0.333,7,42.6,26,0.57,20.1,15,30,0.567,17,0.455,5,47.76,52.55,47.884255448864515,11.2,11.6,10.958390489254688,15.819999999999999,9.84,12.83139257227049,4.6,2.9,3.994462226286644,88.46,86.41,91.80207793527411,70.36,75.14,67.19778489051467,22.0,23.0,20.583752476756597,0.44580000000000003,0.4513,0.4406077325610934,59.0,56.6,58.7143220037596,0.3934,0.3913,0.3871941269115481,23.2,22.2,22.745719656556425,0.2374,0.31320000000000003,0.26378341716201803,14.0,17.4,15.356551338718694,0.5974,0.6029,0.606783518772545,8.4,10.3,9.159223695574864,3.2,1.8,3.402377686328304,205.0,202.5,203.70370370370372,88.8,91.03999999999999,90.09813036630597,25.479999999999997,28.52,28.507011126352694,8.6,9.6,9.700604582634764,17.0,16.2,17.317634506934922,61.0,61.4,60.8914799573236,12.3,11.64,13.042656099171875,8.4,7.8,8.74282375654118,0.3594,0.3696,0.36292465579434036,21.2,20.8,21.26337448559671,0.293,0.3231,0.29426266321190875,6.2,6.7,6.240816948635881,47.2,50.54,46.71165980795611,30.6,32.6,30.28435705939136,0.466,0.4744,0.4622682517908856,15.38,15.809999999999999,14.993568053650362,12.0,12.1,11.64400751917899,37.8,35.8,37.45094751816289,0.4506,0.42750000000000005,0.43935304577554235,17.0,15.5,16.504902707920543,0.6124,0.7612,0.6128431641518063,4.8,3.7,4.649646903419195
2019-12-30,"Rose Hill Gym, Bronx, New York",Coppin State,Fordham,Home,63.2,12,16.7,5,77.8,79.4,27,0.412,57,0.333,19,0.368,21,0.714,15,6,200,86.1,27.5,11,15,62,13.9,10,0.474,27,0.333,9,51.4,38,0.463,17.4,14,30,0.333,10,0.5,6,49.72,52.7,49.989503632576344,11.4,11.727272727272727,11.63892699283646,14.74,9.663636363636364,11.187595048180327,4.4,2.909090909090909,3.6629748175244297,88.44,87.77272727272727,95.00138529018275,70.46,74.64545454545454,68.03185659367645,23.0,23.0,21.389168317837733,0.45020000000000004,0.4592727272727272,0.473405155040729,57.4,56.09090909090909,56.14288133583974,0.396,0.3985454545454546,0.4151294179410321,22.6,22.363636363636363,23.163813104370952,0.292,0.32036363636363635,0.306522278108012,16.6,17.636363636363637,16.904367559145797,0.6516,0.6117272727272728,0.6378556791816967,10.6,10.636363636363637,10.772815797049908,4.0,2.1818181818181817,4.268251790885536,205.0,202.27272727272728,202.46913580246917,88.62,91.23636363636363,91.13208691087065,25.479999999999997,26.9,22.571340750901797,8.6,9.0,7.46706972175651,17.8,16.545454545454547,18.211756337956615,62.0,62.09090909090909,63.59431997154907,12.98,11.563636363636364,12.295104066114584,9.0,7.818181818181818,8.49521583769412,0.36719999999999997,0.37345454545454543,0.37928310386289354,21.0,20.818181818181817,21.175582990397807,0.296,0.324,0.3071751088079392,6.2,6.7272727272727275,6.493877965757254,47.940000000000005,49.81818181818182,45.341106538637405,31.6,32.0,28.856238039594245,0.4774,0.48309090909090907,0.4981788345272571,17.119999999999997,16.200000000000003,16.69571203576691,13.4,12.363636363636363,12.76267167945266,36.4,35.27272727272727,34.96729834544193,0.4558,0.4401818181818182,0.4819020305170283,16.4,15.636363636363637,16.669935138613695,0.5700000000000001,0.7333636363636363,0.5602287761012043,5.0,3.8181818181818183,4.76643126894613
2020-01-02,"Stuart Siegel Center, Richmond, Virginia",Fordham,VCU,Home,70.6,12,12.5,4,103.2,73.5,25,0.43,43,0.395,17,0.349,15,0.6,9,7,200,74.2,16.0,4,19,46,6.5,4,0.233,10,0.3,3,49.2,29,0.459,23.2,15,33,0.424,14,0.462,6,49.019999999999996,53.574999999999996,54.39300242171757,10.6,11.75,11.759284661890973,12.9,10.25,13.025063365453551,4.0,3.0833333333333335,4.10864987834962,91.32000000000001,86.94166666666666,89.26759019345516,68.1,75.04166666666667,71.82123772911764,22.2,23.333333333333332,23.259445545225155,0.4378,0.45533333333333337,0.45293677002715266,57.2,56.166666666666664,56.4285875572265,0.3798,0.3930833333333333,0.38775294529402143,21.6,22.083333333333332,21.775875402913968,0.32080000000000003,0.3243333333333333,0.32701485207200803,18.2,17.916666666666668,18.269578372763867,0.6252,0.62025,0.6632371194544645,11.4,11.0,12.181877198033273,4.8,2.5,4.845501193923691,205.0,202.08333333333334,201.64609053497946,87.24,90.80833333333334,89.4547246072471,24.32,26.95,24.214227167267865,8.8,9.166666666666666,8.644713147837674,18.2,16.416666666666668,17.14117089197108,61.2,62.083333333333336,63.062879981032715,13.219999999999999,11.758333333333333,12.830069377409723,9.2,8.0,8.996810558462748,0.39299999999999996,0.3818333333333333,0.4108554025752624,22.4,21.333333333333332,23.117055326931872,0.2926,0.32475,0.31578340587195947,6.6,6.916666666666667,7.329251977171503,45.4,49.949999999999996,47.36073769242494,31.0,32.5,31.904158693062833,0.46719999999999995,0.48141666666666666,0.48645255635150475,16.380000000000003,16.3,16.930474690511275,12.8,12.5,13.17511445296844,34.8,34.833333333333336,33.311532230294624,0.433,0.43124999999999997,0.43226802034468553,15.0,15.166666666666666,14.446623425742466,0.5272,0.7139166666666666,0.5401525174008028,5.2,4.0,5.177620845964087
2020-01-05,"Rose Hill Gym, Bronx, New York",La Salle,Fordham,Away,42.9,9,13.6,3,101.5,70.8,17,0.453,53,0.396,21,0.358,19,0.632,12,8,200,92.3,23.5,8,16,60,16.9,11,0.396,21,0.286,6,43.1,25,0.484,15.2,11,32,0.469,15,0.429,6,55.779999999999994,54.88461538461539,59.79533494781172,11.6,11.76923076923077,11.839523107927317,12.059999999999999,10.423076923076923,12.850042243635702,4.0,3.1538461538461537,4.072433252233081,96.53999999999999,88.1923076923077,93.91172679563678,68.44,74.92307692307692,72.3808251527451,21.6,23.46153846153846,23.839630363483437,0.45099999999999996,0.4533846153846154,0.4452911800181018,54.0,55.15384615384615,51.95239170481767,0.3944,0.3932307692307692,0.39016863019601433,21.2,21.692307692307693,20.18391693527598,0.3262,0.3262307692307692,0.33434323471467203,17.4,17.692307692307693,17.17971891517591,0.64,0.6186923076923077,0.6421580796363097,11.2,10.846153846153847,11.121251465355517,5.6,2.8461538461538463,5.563667462615793,200.0,201.92307692307693,201.09739368998632,86.94,89.53076923076924,84.36981640483141,22.639999999999997,26.107692307692307,21.476151444845243,7.6,8.76923076923077,7.096475431891783,18.4,16.615384615384617,17.760780594647386,59.8,60.84615384615385,57.375253320688486,11.66,11.353846153846153,10.720046251606483,8.0,7.6923076923076925,7.331207038975165,0.3718,0.37038461538461537,0.3515702683835083,20.4,20.46153846153846,18.744703551287916,0.3026,0.32284615384615384,0.3105222705813063,6.2,6.615384615384615,5.886167984781003,45.74,49.892307692307696,47.973825128283295,29.2,32.23076923076923,30.936105795375227,0.481,0.4796923076923077,0.4773017042343365,18.0,16.83076923076923,19.02031646034085,13.4,12.692307692307692,13.783409635312294,33.6,34.69230769230769,33.20768815352975,0.446,0.4306923076923077,0.4295120135631237,15.0,15.076923076923077,14.297748950494977,0.4946,0.6945384615384615,0.5141016782672019,5.4,4.153846153846154,5.4517472306427255
2020-01-11,"Reilly Center, St. Bonaventure, New York",Fordham,St. Bonaventure,Home,69.2,9,0.0,0,101.6,76.2,16,0.324,54,0.241,13,0.222,12,0.75,9,9,200,69.8,19.4,7,17,44,11.1,7,0.741,40,0.225,9,40.4,23,0.369,16.8,12,14,0.286,4,0.4,6,56.17999999999999,54.028571428571425,54.16355663187448,11.6,11.571428571428571,10.893015405284878,12.64,10.65,13.100028162423802,4.0,3.142857142857143,3.714955501488721,97.4,89.14285714285714,96.44115119709119,69.0,74.62857142857142,71.85388343516341,21.6,23.0,21.559753575655627,0.45680000000000004,0.4533571428571429,0.4478607866787345,52.8,55.0,52.30159446987845,0.399,0.3934285714285714,0.39211242013067626,21.0,21.642857142857142,20.455944623517322,0.32999999999999996,0.3285,0.3422288231431147,17.2,17.785714285714285,17.786479276783943,0.6564,0.6196428571428572,0.6387720530908731,11.4,10.928571428571429,11.414167643570345,6.4,3.2142857142857144,6.3757783084105295,200.0,201.78571428571428,200.73159579332423,88.22,89.72857142857143,87.01321093655429,22.2,25.92142857142857,22.15076762989683,7.4,8.714285714285714,7.397650287927856,17.4,16.571428571428573,17.173853729764925,59.6,60.785714285714285,58.25016888045899,13.060000000000002,11.75,12.780030834404322,8.8,7.928571428571429,8.554138025983445,0.37299999999999994,0.3722142857142857,0.3663801789223389,20.0,20.5,19.496469034191946,0.3076,0.3202142857142857,0.3023481803875375,6.2,6.571428571428571,5.924111989854002,45.7,49.40714285714286,46.349216752188866,29.0,31.714285714285715,28.957403863583487,0.4888,0.48,0.4795344694895577,17.619999999999997,16.714285714285715,17.746877640227233,12.8,12.571428571428571,12.85560642354153,32.8,34.5,32.805125435686506,0.45099999999999996,0.4334285714285714,0.44267467570874913,14.8,15.071428571428571,14.531832633663319,0.4692,0.6755714285714286,0.4857344521781346,5.6,4.285714285714286,5.634498153761817
2020-01-15,"CONSOL Energy Center, Pittsburgh, Pennsylvania",Fordham,Duquesne,Home,57.1,12,19.2,5,89.2,74.2,23,0.449,59,0.356,21,0.085,5,0.6,3,10,225,86.2,23.5,8,19,56,7.7,5,0.458,27,0.407,11,47.7,31,0.456,16.4,12,32,0.313,10,0.375,6,60.02,55.04,59.17570442124966,11.0,11.4,10.262010270189919,10.14,9.94,8.733352108282537,3.0,2.933333333333333,2.476637000992481,97.1,89.97333333333333,98.16076746472746,73.92,74.73333333333333,73.30258895677561,21.6,22.533333333333335,19.70650238377042,0.4316,0.44473333333333337,0.40657385778582306,51.6,54.93333333333333,52.86772964658564,0.36719999999999997,0.38326666666666664,0.34174161342045084,18.8,21.066666666666666,17.97062974901155,0.3378,0.32139999999999996,0.3021525487620765,17.4,17.4,15.857652851189297,0.6792,0.6283333333333334,0.6758480353939155,11.8,10.8,10.609445095713564,7.2,3.6,7.250518872273687,200.0,201.66666666666666,200.48773052888282,83.12,88.4,81.27547395770287,19.419999999999998,25.486666666666668,21.23384508659789,6.6,8.6,7.2651001919519045,17.4,16.6,17.115902486509952,56.2,59.666666666666664,53.50011258697266,11.84,11.706666666666667,12.220020556269548,8.0,7.866666666666666,8.036092017322296,0.45120000000000005,0.3968,0.4912534526148926,23.8,21.8,26.330979356127962,0.2954,0.3138666666666667,0.2765654535916917,6.8,6.733333333333333,6.949407993236002,45.34,48.806666666666665,44.366144501459246,28.2,31.133333333333333,26.97160257572233,0.469,0.4726,0.4426896463263718,18.54,16.720000000000002,17.43125176015149,13.4,12.533333333333333,12.570404282361022,27.8,33.13333333333333,26.536750290457675,0.41579999999999995,0.42360000000000003,0.3904497838058328,12.0,14.333333333333334,11.021221755775548,0.4492,0.6572,0.45715630145208974,5.8,4.4,5.756332102507878
2020-01-19,"Rose Hill Gym, Bronx, New York",Davidson,Fordham,Away,75.0,18,10.0,2,115.6,78.3,18,0.519,54,0.444,24,0.148,8,0.75,6,11,200,96.9,11.1,3,15,62,12.5,8,0.426,23,0.348,8,42.0,21,0.536,14.8,10,31,0.516,16,0.353,6,60.6,55.16875,58.483802947499775,10.8,11.4375,10.841340180126613,12.4,10.51875,12.222234738855025,3.4,3.0625,3.3177580006616543,94.66,89.925,95.17384497648499,74.82,74.7,73.60172597118375,21.6,22.5625,20.804334922513615,0.4136,0.445,0.42071590519054874,53.2,55.1875,54.91181976439043,0.3442,0.3815625,0.34649440894696726,18.2,21.0625,18.980419832674368,0.27640000000000003,0.306625,0.22976836584138433,14.4,16.625,12.238435234126198,0.6592,0.6265625,0.650565356929277,9.6,10.3125,8.072963397142377,8.0,4.0,8.167012581515792,205.0,203.125,208.65848701925523,81.72,88.2625,82.9169826384686,21.979999999999997,25.3625,21.989230057731927,7.6,8.5625,7.510066794634604,17.2,16.75,17.743934991006636,53.6,59.4375,54.33340839131511,11.22,11.45625,10.713347037513033,7.4,7.6875,7.024061344881531,0.46040000000000003,0.400625,0.48016896840992845,25.0,22.125,26.553986237418645,0.31020000000000003,0.3196875,0.3200436357277945,7.6,7.0,8.299605328824002,46.36,48.7375,45.4774296676395,29.2,31.125,28.314401717148222,0.4462,0.4715625,0.44712643088424786,17.8,16.7,17.087501173434326,12.8,12.5,12.380269521574016,28.2,33.0625,28.35783352697179,0.365,0.4166875,0.36463318920388854,10.6,14.0625,10.680814503850366,0.4332,0.6395625,0.42977086763472655,6.0,4.5,5.837554735005252
