date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-23,"Stuart Siegel Center, Richmond, Virginia",Florida Gulf Coast,VCU,Home,73.7,14,15.2,7,111.4,62.2,28,0.45,50,0.38,19,0.08,4,0.75,3,5,200,68.6,23.3,7,8,48,7.1,5,0.34,17,0.412,7,46.7,35,0.462,27.9,20,33,0.364,12,0.167,1,59.779999999999994,59.779999999999994,56.27407407407409,12.6,12.6,12.814814814814818,9.42,9.42,9.820987654320989,3.6,3.6,3.80246913580247,99.36,99.36,99.38641975308644,67.72,67.72,68.00987654320988,22.6,22.6,21.271604938271608,0.4598,0.4598,0.48051851851851857,55.2,55.2,56.91358024691358,0.39180000000000004,0.39180000000000004,0.413567901234568,21.8,21.8,23.7283950617284,0.3306,0.3306,0.2764444444444445,18.0,18.0,15.432098765432102,0.6934,0.6934,0.6883703703703704,12.4,12.4,10.716049382716053,2.8,2.8,3.0617283950617287,205.0,205.0,208.33333333333334,86.58,86.58,87.61975308641976,23.48,23.48,23.779012345679014,8.0,8.0,7.864197530864199,19.8,19.8,19.98765432098766,63.4,63.4,65.62962962962965,9.84,9.84,11.47283950617284,7.4,7.4,8.814814814814817,0.4314,0.4314,0.4050740740740741,23.4,23.4,22.55555555555556,0.314,0.314,0.3274320987654322,7.4,7.4,7.456790123456792,45.52,45.52,45.345679012345684,30.6,30.6,29.135802469135808,0.499,0.499,0.5120493827160495,21.380000000000003,21.380000000000003,22.219753086419757,17.2,17.2,18.24691358024692,31.8,31.8,34.358024691358025,0.4452,0.4452,0.4643580246913581,14.4,14.4,16.271604938271608,0.04,0.04,0.06666666666666667,0.2,0.2,0.3333333333333333
2019-11-26,"Alico Arena, Fort Myers, Florida","Florida Tech
			",Florida Gulf Coast,Home,69.0,20,16.7,6,81.9,78.8,26,0.479,73,0.397,29,0.082,6,0.5,3,5,200,101.4,34.1,14,17,73,6.9,5,0.356,26,0.462,12,54.1,40,0.481,12.7,11,47,0.362,17,0.286,2,61.17999999999999,62.1,62.08271604938274,12.2,12.833333333333334,13.20987654320988,10.180000000000001,10.383333333333333,11.613991769547326,4.0,4.166666666666667,4.868312757201647,96.55999999999999,101.36666666666667,103.39094650205763,69.58000000000001,66.8,66.0732510288066,24.6,23.5,23.514403292181072,0.4344,0.45816666666666667,0.4703456790123457,54.8,54.333333333333336,54.60905349794239,0.3754,0.3898333333333333,0.40237860082304533,20.8,21.333333333333332,22.1522633744856,0.312,0.28883333333333333,0.21096296296296302,17.0,15.666666666666666,11.621399176954736,0.6878,0.7028333333333334,0.7089135802469136,11.6,10.833333333333334,8.144032921810702,3.6,3.1666666666666665,3.7078189300411526,205.0,204.16666666666666,205.55555555555557,81.42,83.58333333333333,81.27983539094652,24.14,23.45,23.619341563786012,8.4,7.833333333333333,7.5761316872428,18.2,17.833333333333332,15.991769547325106,59.6,60.833333333333336,59.7530864197531,10.139999999999999,9.383333333333333,10.01522633744856,7.6,7.0,7.543209876543212,0.39559999999999995,0.41616666666666663,0.3833827160493828,21.4,22.333333333333332,20.70370370370371,0.3076,0.3303333333333333,0.3556213991769548,6.4,7.333333333333333,7.304526748971195,47.06,45.71666666666667,45.79711934156379,33.0,31.333333333333332,31.09053497942387,0.47240000000000004,0.4928333333333333,0.495366255144033,22.1,22.46666666666667,24.113168724279838,17.6,17.666666666666668,18.831275720164612,33.4,32.0,33.90534979423869,0.422,0.43166666666666664,0.4309053497942388,14.4,14.0,14.847736625514406,0.07339999999999999,0.06116666666666667,0.10011111111111112,0.4,0.3333333333333333,0.5555555555555556
2019-11-29,"Alico Arena, Fort Myers, Florida",North Dakota,Florida Gulf Coast,Away,52.4,11,7.9,3,109.9,63.0,17,0.453,53,0.396,21,0.358,19,0.789,15,6,200,88.7,18.8,6,17,63,15.5,11,0.358,19,0.316,6,39.0,23,0.508,17.5,13,34,0.441,15,0.25,2,62.48,63.08571428571429,64.38847736625516,14.2,13.857142857142858,15.473251028806587,11.76,11.285714285714286,13.309327846364884,4.6,4.428571428571429,5.245541838134431,94.36,98.58571428571429,96.22729766803843,71.86,68.51428571428572,70.31550068587106,24.0,23.857142857142858,24.342935528120716,0.46040000000000003,0.46114285714285713,0.47323045267489716,58.8,57.0,60.739368998628265,0.3944,0.3908571428571429,0.4005857338820302,23.4,22.428571428571427,24.434842249657066,0.1888,0.2592857142857143,0.16797530864197535,10.8,14.285714285714286,9.747599451303158,0.658,0.6738571428571429,0.6392757201646091,7.4,9.714285714285714,6.429355281207135,4.2,3.4285714285714284,4.138545953360769,205.0,203.57142857142858,203.70370370370372,84.28,86.12857142857142,87.98655692729768,24.46,24.97142857142857,27.112894375857344,8.6,8.714285714285714,9.717421124828533,16.4,17.714285714285715,16.327846364883406,62.0,62.57142857142857,64.1687242798354,10.38,9.028571428571428,8.97681755829904,7.8,6.714285714285714,6.695473251028808,0.3762,0.40757142857142853,0.37425514403292187,21.8,22.857142857142858,22.46913580246914,0.35840000000000005,0.34914285714285714,0.3910809327846365,7.8,8.0,8.86968449931413,47.760000000000005,46.91428571428572,48.56474622770919,32.6,32.57142857142857,34.06035665294925,0.4822,0.49114285714285716,0.49057750342935535,21.479999999999997,21.071428571428573,20.308779149519893,17.2,16.714285714285715,16.220850480109743,37.0,34.142857142857146,38.270233196159126,0.41859999999999997,0.4217142857142857,0.4079368998628259,15.6,14.428571428571429,15.565157750342937,0.1306,0.09328571428571429,0.1620740740740741,0.8,0.5714285714285714,1.037037037037037
2019-11-30,"Alico Arena, Fort Myers, Florida",Campbell,Florida Gulf Coast,Away,41.7,5,6.9,2,78.5,77.4,24,0.245,55,0.218,12,0.4,22,0.864,19,7,200,70.8,35.3,12,14,46,12.3,8,0.455,25,0.12,3,55.4,36,0.351,19.8,16,30,0.3,9,0.222,2,58.839999999999996,61.75,60.39231824417011,14.0,13.5,13.982167352537726,11.959999999999999,10.8625,11.506218564243257,4.8,4.25,4.497027892089621,99.67999999999999,100.0,100.78486511202564,69.2,67.825,67.87700045724738,21.6,23.0,21.89529035208048,0.46900000000000003,0.460125,0.4664869684499314,59.4,56.5,58.15957933241884,0.4056,0.3915,0.39905715592135355,24.2,22.25,23.289894833104714,0.2124,0.271625,0.23131687242798357,12.2,14.875,12.831732967535439,0.6824000000000001,0.68825,0.6891838134430728,8.8,10.375,9.28623685413809,4.8,3.75,4.759030635573846,205.0,203.125,202.46913580246917,87.18,86.45,88.22437128486513,25.72,24.2,24.341929583904896,9.0,8.375,8.47828074988569,16.6,17.625,16.55189757658894,64.8,62.625,63.779149519890275,11.959999999999999,9.8375,11.151211705532692,9.0,7.25,8.130315500685873,0.3438,0.401375,0.3688367626886146,20.4,22.375,21.312757201646093,0.3678,0.34500000000000003,0.3660539551897577,7.6,7.75,7.913122999542755,46.14,45.925000000000004,45.37649748513947,30.6,31.375,30.37357110196617,0.4958,0.49324999999999997,0.49638500228623694,20.94,20.625,19.372519433013263,17.0,16.25,15.147233653406495,39.0,34.125,36.84682213077275,0.4234,0.424125,0.4189579332418839,16.6,14.5,15.376771833561959,0.1806,0.112875,0.19138271604938273,1.2,0.75,1.3580246913580247
2019-12-01,"Alico Arena, Fort Myers, Florida",Georgia Southern,Florida Gulf Coast,Away,57.1,12,18.9,7,97.3,67.7,21,0.431,58,0.362,21,0.19,11,0.636,7,8,200,77.0,21.2,7,18,57,6.8,5,0.5,29,0.276,8,43.8,28,0.451,24.1,20,29,0.448,13,0.2,2,55.36,59.522222222222226,54.16154549611341,12.4,12.555555555555555,10.988111568358484,11.559999999999999,10.422222222222222,9.970812376162172,4.4,4.0,3.664685261393081,93.84,97.61111111111111,93.35657674135044,70.76,68.88888888888889,71.05133363816492,23.2,23.11111111111111,22.59686023472032,0.4286,0.43622222222222223,0.39265797896662097,59.0,56.333333333333336,57.10638622161257,0.372,0.37222222222222223,0.3387047706142357,22.2,21.11111111111111,19.526596555403145,0.2152,0.28588888888888886,0.2875445816186557,12.2,15.666666666666666,15.88782197835696,0.7006,0.7077777777777778,0.7474558756287153,9.2,11.333333333333334,12.524157902758727,5.4,4.111111111111111,5.506020423715897,205.0,202.77777777777777,201.64609053497946,83.9,84.71111111111111,82.41624752324343,27.920000000000005,25.433333333333334,27.994619722603264,9.6,8.777777777777779,9.65218716659046,16.2,17.22222222222222,15.701265051059293,60.4,60.77777777777778,57.852766346593526,11.860000000000001,10.11111111111111,11.534141137021795,8.6,7.333333333333333,8.08687700045725,0.3612,0.4073333333333333,0.39755784179240977,21.2,22.666666666666668,22.54183813443073,0.32520000000000004,0.32,0.28403597012650517,6.8,7.222222222222222,6.275415333028504,48.88,46.97777777777778,48.717664990092985,32.8,31.88888888888889,32.24904740131078,0.4652,0.4774444444444444,0.4479233348574913,20.1,20.533333333333335,19.515012955342176,16.0,16.22222222222222,15.431489102270998,37.8,33.666666666666664,34.564548087181834,0.4,0.4103333333333333,0.37930528882792264,15.4,13.88888888888889,13.25118122237464,0.225,0.125,0.20158847736625518,1.6,0.8888888888888888,1.57201646090535
2019-12-04,"FIU Arena, Miami, Florida",Florida Gulf Coast,Florida International,Home,52.6,10,18.5,5,89.9,73.2,30,0.316,68,0.279,19,0.206,14,0.714,10,9,200,67.1,38.3,18,12,53,8.9,7,0.485,33,0.152,5,54.5,48,0.355,23.7,23,35,0.4,14,0.182,2,58.779999999999994,59.279999999999994,55.141030330742275,12.4,12.5,11.32540771223899,13.12,11.27,12.947208250774782,5.0,4.3,4.77645684092872,95.8,97.58000000000001,94.6710511609003,69.82000000000001,68.77000000000001,69.93422242544328,23.2,22.9,22.064573489813547,0.41159999999999997,0.43570000000000003,0.40543865264441403,57.8,56.5,57.40425748107505,0.3506,0.37120000000000003,0.34646984707615713,20.4,21.1,20.01773103693543,0.22199999999999998,0.2763,0.2550297210791038,12.4,15.2,14.258547985571308,0.7078,0.7006,0.7103039170858102,9.4,10.9,10.682771935172486,6.2,4.5,6.337346949143932,200.0,202.5,201.09739368998632,81.3,83.94,80.61083168216229,26.54,25.009999999999998,25.72974648173551,9.2,8.6,8.768124777726975,14.8,17.3,16.467510034039528,57.4,60.4,57.56851089772902,9.719999999999999,9.78,9.956094091347865,6.8,7.1,7.057918000304834,0.4018,0.4166,0.4317052278616066,23.2,23.3,24.694558756287154,0.31720000000000004,0.3156,0.2813573134176701,7.2,7.3,6.85027688868567,47.8,46.660000000000004,47.07844332672866,32.4,31.5,30.832698267540522,0.4506,0.4748,0.4489488899049942,20.4,20.89,21.04334197022812,16.0,16.6,16.954326068180666,34.6,33.2,32.70969872478789,0.383,0.4141,0.4022035258852818,13.2,13.8,13.16745414824976,0.225,0.1325,0.2010589849108368,1.8,1.0,1.7146776406035666
2019-12-07,"Alico Arena, Fort Myers, Florida",Robert Morris,Florida Gulf Coast,Away,77.3,17,18.8,6,97.0,76.7,23,0.456,57,0.386,22,0.158,9,0.778,7,10,200,89.4,24.2,8,21,59,6.1,4,0.614,35,0.229,8,49.2,31,0.481,15.3,11,22,0.636,14,0.167,2,54.56,58.67272727272727,54.29402022049485,11.6,12.272727272727273,10.88360514149266,13.779999999999998,11.927272727272726,14.798138833849855,4.6,4.363636363636363,4.850971227285814,91.50000000000001,96.88181818181819,93.08070077393354,72.02000000000001,69.17272727272727,71.02281495029553,23.6,23.545454545454547,24.709715659875698,0.3848,0.4248181818181818,0.3756257684296094,61.4,57.54545454545455,60.936171654050035,0.3304,0.3628181818181818,0.32397989805077143,20.4,20.90909090909091,19.678487357956953,0.2472,0.2699090909090909,0.23868648071940254,14.4,15.090909090909092,14.172365323714207,0.7006,0.7018181818181818,0.7115359447238735,10.8,10.818181818181818,10.455181290114991,7.0,4.909090909090909,7.224897966095955,200.0,202.27272727272728,200.73159579332423,81.0,82.4090909090909,76.10722112144153,29.54,26.218181818181815,29.919830987823676,11.4,9.454545454545455,11.845416518484651,15.6,16.818181818181817,14.97834002269302,58.4,59.72727272727273,56.04567393181935,10.080000000000002,9.700000000000001,9.604062727565243,7.2,7.090909090909091,7.038612000203223,0.43079999999999996,0.4228181818181818,0.44947015190773776,26.4,24.181818181818183,27.463039170858107,0.2652,0.30072727272727273,0.23823820894511344,6.8,7.090909090909091,6.233517925790448,49.36,47.372727272727275,49.55229555115244,35.0,33.0,36.55513217836035,0.42919999999999997,0.4639090909090909,0.41763259326999613,19.560000000000002,21.145454545454545,21.928894646818748,16.6,17.181818181818183,18.969550712120444,35.0,33.36363636363637,33.47313248319193,0.3902,0.41281818181818186,0.4014690172568546,13.6,13.818181818181818,13.444969432166507,0.22800000000000004,0.137,0.19470598994055788,2.0,1.0909090909090908,1.8097850937357114
2019-12-18,"Frost Arena, Brookings, South Dakota",Florida Gulf Coast,South Dakota State,Home,50.0,11,14.7,5,119.0,57.1,16,0.464,56,0.393,22,0.143,8,0.5,4,11,200,88.9,30.6,11,19,56,11.1,7,0.464,26,0.308,8,42.2,27,0.468,17.9,13,30,0.467,14,0.154,2,56.220000000000006,60.225,61.96268014699657,11.0,12.666666666666666,12.922403427661774,14.2,12.5,16.132092555899906,4.6,4.5,5.233980818190543,94.52000000000001,96.89166666666667,94.38713384928903,71.6,69.8,72.91520996686369,23.0,23.5,24.139810439917134,0.3802,0.4274166666666666,0.40241717895307294,58.2,57.5,59.62411443603336,0.3282,0.36474999999999996,0.344653265367181,19.0,21.0,20.452324905304636,0.2624,0.26058333333333333,0.21179098714626837,15.0,14.583333333333334,12.448243549142806,0.7562,0.7081666666666666,0.7336906298159157,11.6,10.5,9.303454193409994,8.0,5.333333333333333,8.149931977397303,200.0,202.08333333333334,200.48773052888282,78.6,82.99166666666666,80.53814741429436,27.560000000000002,26.05,28.01322065854912,10.2,9.333333333333334,10.5636110123231,16.4,17.166666666666668,16.985560015128684,55.6,59.666666666666664,57.03044928787957,9.919999999999998,9.4,8.436041818376829,7.0,6.833333333333333,6.025741333468815,0.4824,0.43875,0.5043134346051585,28.2,25.083333333333332,29.975359447238738,0.2186,0.29475,0.235158805963409,6.0,7.166666666666667,6.822345283860299,48.38,47.525,49.4348637007683,33.2,32.833333333333336,34.703421452240235,0.42919999999999997,0.4653333333333333,0.43875506217999743,20.080000000000002,20.658333333333335,19.719263097879164,16.6,16.666666666666668,16.3130338080803,30.0,32.416666666666664,29.64875498879462,0.445,0.4314166666666666,0.47964601150456976,13.0,13.833333333333334,13.629979621444338,0.2042,0.13949999999999999,0.18547065996037193,2.0,1.1666666666666667,1.8731900624904743
2019-12-21,"Alico Arena, Fort Myers, Florida","St. Thomas (FL)
			",Florida Gulf Coast,Home,72.4,21,17.6,6,78.5,77.1,27,0.558,60,0.483,29,0.433,26,0.654,17,11,200,106.3,31.4,11,18,84,7.6,6,0.433,26,0.346,9,54.3,38,0.581,15.4,13,34,0.588,20,0.214,3,55.739999999999995,59.43846153846154,57.97512009799772,11.0,12.538461538461538,12.28160228510785,15.559999999999999,12.669230769230769,15.654728370599937,5.0,4.538461538461538,5.1559872121270285,96.34,98.5923076923077,102.59142256619269,70.42,68.82307692307693,67.64347331124246,22.8,22.923076923076923,21.42654029327809,0.38239999999999996,0.43023076923076925,0.4229447859687153,58.8,57.38461538461539,58.416076290688906,0.3276,0.36692307692307696,0.36076884357812067,19.2,21.076923076923077,20.968216603536426,0.21939999999999998,0.25153846153846154,0.18886065809751226,12.8,14.076923076923077,10.965495699428537,0.6984,0.6921538461538461,0.6557937532106105,9.4,10.0,7.535636128939997,9.0,5.769230769230769,9.099954651598203,200.0,201.92307692307693,200.3251536859219,78.64,83.44615384615385,83.32543160952957,29.919999999999998,26.4,28.87548043903275,11.2,9.461538461538462,10.709074008215401,16.8,17.307692307692307,17.65704001008579,54.2,59.38461538461539,56.686966191919716,9.04,9.53076923076923,9.324027878917887,6.2,6.846153846153846,6.350494222312544,0.5035999999999999,0.4406923076923077,0.49087562307010574,29.6,25.153846153846153,28.650239631492497,0.217,0.2957692307692308,0.259439203975606,6.4,7.230769230769231,7.214896855906867,49.02,47.11538461538461,47.023242467178875,34.0,32.38461538461539,32.13561430149349,0.42119999999999996,0.4655384615384615,0.448503374786665,20.16,20.446153846153848,19.112842065252778,16.6,16.384615384615383,15.208689205386868,29.2,32.23076923076923,29.765836659196417,0.4502,0.43415384615384617,0.47543067433637987,12.8,13.846153846153847,13.75331974762956,0.185,0.14061538461538461,0.17498043997358131,2.0,1.2307692307692308,1.9154600416603165
2019-12-29,"Galen Center, Los Angeles, California",Florida Gulf Coast,USC,Home,66.7,16,0.0,0,102.9,67.9,19,0.483,59,0.407,24,0.102,6,0.167,1,12,200,84.1,27.0,10,17,58,20.3,14,0.475,28,0.321,9,44.6,29,0.469,20.6,16,31,0.484,15,0.2,3,61.879999999999995,60.364285714285714,62.78341339866515,14.2,13.142857142857142,15.187734856738567,17.7,13.021428571428572,16.303152247066627,5.8,4.642857142857143,5.437324808084686,96.34,97.15714285714286,94.56094837746181,70.36,69.41428571428571,70.79564887416164,23.4,23.214285714285715,23.28436019551873,0.445,0.43935714285714284,0.46796319064581027,59.8,57.57142857142857,58.94405086045928,0.3806,0.3752142857142857,0.4015125623854138,22.6,21.642857142857142,23.645477735690953,0.22599999999999998,0.2645,0.2702404387316748,13.6,14.928571428571429,15.97699713295236,0.6564,0.6894285714285715,0.6551958354737404,9.0,10.5,10.690424085959997,9.8,6.142857142857143,9.73330310106547,200.0,201.78571428571428,200.21676912394793,85.74,85.07857142857142,90.98362107301972,29.139999999999997,26.75714285714286,29.716986959355168,11.0,9.571428571428571,10.806049338810269,17.6,17.357142857142858,17.77136000672386,61.8,61.142857142857146,65.79131079461314,8.1,9.392857142857142,8.749351919278592,5.8,6.785714285714286,6.2336628148750295,0.4991999999999999,0.4401428571428571,0.47158374871340386,29.8,25.214285714285715,27.766826420995002,0.2622,0.2993571428571428,0.288292802650404,7.6,7.357142857142857,7.809931237271245,48.8,47.628571428571426,49.44882831145259,34.4,32.785714285714285,34.090409534329,0.46719999999999995,0.4737857142857143,0.4926689165244434,19.28,20.085714285714285,17.875228043501853,16.0,16.142857142857142,14.472459470257913,30.0,32.357142857142854,31.17722443946428,0.5078,0.4451428571428572,0.51295378289092,15.0,14.285714285714286,15.835546498419706,0.1834,0.14585714285714285,0.18798695998238757,2.2,1.3571428571428572,2.2769733611068776
2020-01-02,"Alico Arena, Fort Myers, Florida",Liberty,Florida Gulf Coast,Away,62.5,10,12.9,4,105.4,81.8,18,0.463,40,0.4,16,0.275,11,0.818,9,13,200,82.1,22.7,5,10,46,7.1,4,0.475,19,0.263,5,52.3,23,0.509,27.5,17,21,0.524,11,0.188,3,63.8,60.78666666666666,64.08894226577678,15.0,13.333333333333334,15.458489904492378,13.920000000000002,12.153333333333334,10.868768164711087,4.4,4.333333333333333,3.624883205389791,97.46000000000001,97.54,97.34063225164121,70.4,69.31333333333333,69.83043258277443,23.0,22.933333333333334,21.85624013034582,0.4554,0.4422666666666667,0.4729754604305402,60.0,57.666666666666664,58.96270057363952,0.3896,0.37733333333333335,0.40334170825694254,23.2,21.8,23.76365182379397,0.2084,0.25366666666666665,0.21416029248778323,12.6,14.333333333333334,12.65133142196824,0.5626,0.6546000000000001,0.49246389031582694,7.8,9.866666666666667,7.460282723973331,10.6,6.533333333333333,10.488868734043647,200.0,201.66666666666666,200.14451274929863,87.16,85.01333333333334,88.68908071534648,30.3,26.773333333333333,28.811324639570113,11.6,9.6,10.537366225873512,17.4,17.333333333333332,17.514240004482573,62.0,60.93333333333333,63.19420719640877,10.8,10.120000000000001,12.59956794618573,7.6,7.266666666666667,8.822441876583353,0.49420000000000003,0.4424666666666666,0.47272249914226927,29.6,25.4,27.844550947330003,0.2712,0.3008,0.29919520176693604,7.8,7.466666666666667,8.206620824847498,48.959999999999994,47.42666666666666,47.83255220763506,34.6,32.53333333333333,32.39360635621934,0.4708,0.4734666666666667,0.4847792776829623,18.580000000000002,20.12,18.78348536233457,15.2,16.133333333333333,14.981639646838609,30.4,32.266666666666666,31.11814962630952,0.515,0.44773333333333337,0.50330252192728,15.4,14.333333333333334,15.557030998946471,0.1834,0.14946666666666666,0.1919913066549251,2.4,1.4666666666666666,2.5179822407379184
2020-01-04,"Alico Arena, Fort Myers, Florida",Lipscomb,Florida Gulf Coast,Home,53.8,14,8.3,3,89.7,71.1,27,0.635,48,0.542,26,0.271,13,0.538,7,13,200,100.0,28.0,7,13,68,7.4,5,0.417,20,0.45,9,54.0,34,0.628,26.1,19,28,0.607,17,0.235,4,65.78,60.89375,63.55929484385119,15.0,13.125,13.638993269661587,12.8,12.2,11.545845443140724,4.2,4.3125,3.7499221369265276,100.56,98.03125,100.02708816776081,72.11999999999999,70.09375,73.8202883885163,20.6,22.625,20.570826753563882,0.48480000000000006,0.4435625,0.4696503069536935,54.4,56.5625,52.641800382426354,0.4138,0.37875000000000003,0.40222780550462844,22.6,21.4375,21.175767882529314,0.2222,0.255,0.2344401949918555,12.0,14.125,12.100887614645494,0.5833999999999999,0.6648125,0.6009759268772179,7.6,9.8125,7.973521815982221,11.4,6.9375,11.325912489362432,200.0,201.5625,200.09634183286576,90.16,84.83125,86.49272047689766,27.18,26.51875,26.77421642638008,9.0,9.3125,8.691577483915676,17.0,16.875,15.009493336321718,60.6,60.0,57.462804797605855,10.44,9.93125,10.766378630790488,7.0,7.0625,7.214961251055569,0.49219999999999997,0.4445,0.4734816660948462,26.8,25.0,24.896367298220003,0.2934,0.2984375,0.2871301345112907,7.8,7.3125,7.137747216565,48.52,47.73125,49.32170147175671,29.6,31.9375,29.262404237479558,0.5016,0.4756875,0.4928528517886416,19.340000000000003,20.58125,21.688990241556382,14.0,16.1875,15.65442643122574,27.6,31.5625,27.74543308420635,0.5398,0.4525,0.5102016812848533,14.8,14.125,14.038020665964314,0.18460000000000001,0.151875,0.1906608711032834,2.6,1.5625,2.6786548271586126
2020-01-09,"UNF Arena , Jacksonville, Florida",Florida Gulf Coast,North Florida,Home,55.2,16,10.3,3,127.1,73.3,22,0.516,62,0.468,29,0.226,14,0.714,10,14,200,105.7,29.4,10,17,74,7.1,5,0.226,14,0.429,6,50.0,32,0.539,13.9,11,48,0.479,23,0.222,4,61.08,60.47647058823529,60.306196562567465,14.4,13.176470588235293,13.759328846441058,10.7,11.970588235294118,10.463896962093816,3.6,4.235294117647059,3.499948091284352,99.1,97.54117647058824,96.58472544517389,71.0,70.15294117647058,72.9135255923442,21.4,22.88235294117647,22.713884502375922,0.5206,0.45482352941176474,0.5247668713024624,52.6,56.05882352941177,51.09453358828424,0.44499999999999995,0.3883529411764706,0.4488185370030857,23.4,21.705882352941178,22.783845255019543,0.2448,0.2559411764705882,0.24662679666123705,12.8,14.058823529411764,12.400591743096996,0.5354,0.6573529411764706,0.5799839512514786,7.6,9.647058823529411,7.649014543988148,12.0,7.294117647058823,11.883941659574955,200.0,201.47058823529412,200.0642278885772,92.28,85.7235294117647,90.99514698459845,27.939999999999998,26.605882352941176,27.182810950920054,8.8,9.176470588235293,8.127718322610452,15.4,16.647058823529413,14.339662224214479,62.4,60.470588235294116,60.975203198403904,10.7,9.782352941176471,9.644252420526993,7.2,6.9411764705882355,6.476640834037047,0.4528,0.44288235294117645,0.45465444406323086,23.8,24.705882352941178,23.264244865480002,0.3376,0.30735294117647055,0.3414200896741938,8.0,7.411764705882353,7.758498144376667,49.480000000000004,48.1,50.88113431450448,30.2,32.05882352941177,30.841602824986374,0.531,0.48464705882352943,0.5379019011924278,21.5,20.905882352941177,23.159326827704255,15.6,16.352941176470587,16.76961762081716,28.8,31.352941176470587,27.830288722804234,0.534,0.46158823529411763,0.5424677875232355,15.4,14.294117647058824,15.025347110642876,0.1982,0.15676470588235294,0.2054405807355223,3.0,1.7058823529411764,3.119103218105742
